t (ms),a_x,a_y,a_z,g_x,g_y,g_z
778505,-4.942,1.310,-8.135,-0.055,0.025,-0.021
778608,-4.803,1.314,-8.253,0.010,0.023,-0.002
778711,-4.798,1.322,-8.279,0.014,0.025,-0.027
778814,-4.870,1.298,-8.102,-0.069,0.057,-0.008
778917,-4.985,1.396,-8.150,0.055,0.043,-0.038
779021,-4.932,1.226,-8.080,0.014,0.016,-0.007
779125,-4.820,1.341,-8.217,-0.037,0.029,-0.044
779228,-4.841,1.336,-8.205,-0.007,0.008,-0.004
779332,-4.803,1.358,-8.198,0.010,-0.002,-0.011
779435,-4.872,1.276,-8.150,0.025,-0.009,-0.025
779539,-4.779,1.310,-8.262,0.010,0.021,-0.006
779643,-4.829,1.290,-8.219,-0.002,0.009,-0.022
779747,-4.853,1.305,-8.231,0.005,0.001,-0.038
779851,-4.841,1.252,-8.167,-0.003,0.018,-0.024
779955,-4.815,1.276,-8.250,-0.006,0.021,-0.023
780059,-4.803,1.298,-8.234,-0.005,0.015,-0.030
780162,-4.815,1.389,-8.246,-0.049,0.076,-0.031
780266,-4.743,1.324,-8.320,-0.000,-0.022,-0.030
780369,-4.966,1.377,-8.040,-0.015,0.010,-0.018
780473,-4.954,1.267,-8.234,0.001,0.004,-0.041
780576,-4.774,1.358,-8.320,0.023,-0.079,-0.048
780680,-4.865,1.240,-8.305,0.018,-0.225,-0.063
780783,-5.217,1.279,-8.375,0.064,-0.568,-0.125
780887,-5.938,0.924,-7.417,0.258,-0.896,-0.254
780990,-6.723,0.402,-6.507,0.158,-0.547,-0.083
781094,-7.068,0.433,-6.510,0.020,-0.294,-0.036
781198,-7.199,0.486,-6.270,-0.092,-0.136,-0.018
781302,-7.144,0.773,-6.323,-0.057,-0.018,-0.003
781406,-7.058,0.819,-6.460,0.002,0.073,-0.006
781510,-6.972,0.781,-6.601,-0.020,0.080,0.003
781614,-6.888,0.733,-6.531,-0.025,0.192,0.000
781718,-6.807,0.807,-6.809,-0.079,0.369,-0.044
781822,-6.589,0.709,-7.070,0.042,0.606,-0.031
781926,-5.983,0.656,-7.592,-0.002,0.582,0.025
782030,-5.420,0.790,-8.159,0.017,0.434,0.017
782134,-5.016,0.620,-8.025,-0.114,0.288,0.026
782237,-5.409,0.998,-7.977,0.124,0.198,-0.045
782341,-4.872,0.450,-8.523,-0.162,0.030,-0.016
782444,-5.112,1.283,-8.040,-0.068,-0.017,-0.064
782548,-5.030,0.737,-8.066,0.131,-0.075,0.023
782651,-5.152,0.716,-7.932,0.054,0.005,-0.030
782755,-5.085,0.661,-8.188,0.017,0.042,-0.037
782858,-5.090,0.649,-8.088,-0.015,0.026,-0.012
782962,-5.181,0.706,-8.047,-0.055,0.039,-0.021
783065,-5.114,0.857,-8.049,-0.057,0.065,-0.017
783169,-4.961,0.886,-8.255,-0.027,0.009,0.000
783272,-4.863,0.903,-8.339,-0.068,-0.095,-0.024
783376,-5.162,0.867,-8.243,-0.097,-0.319,-0.006
783479,-5.586,1.080,-8.200,0.007,-0.687,-0.107
783582,-6.314,0.974,-6.974,0.098,-0.811,-0.180
783685,-6.979,0.488,-6.673,0.055,-0.542,-0.104
783788,-7.130,0.644,-6.309,-0.076,-0.329,-0.018
783891,-6.852,0.773,-6.069,-0.103,-0.032,0.041
783994,-7.185,0.764,-6.019,-0.152,0.206,0.073
784097,-7.039,1.025,-6.558,-0.120,0.422,0.043
784200,-6.603,1.199,-6.914,0.049,0.472,-0.002
784304,-6.213,1.140,-7.302,0.083,0.614,0.037
784407,-5.748,1.207,-7.784,-0.005,0.543,0.052
784510,-5.394,1.250,-7.939,0.082,0.354,-0.002
784613,-5.188,0.986,-8.164,-0.027,0.385,-0.007
784717,-4.901,1.283,-8.102,-0.046,0.138,-0.105
784820,-4.994,1.159,-8.164,0.018,0.131,-0.040
784923,-4.626,1.176,-8.543,0.044,0.012,-0.033
785026,-4.606,0.915,-8.258,0.085,0.002,-0.030
785129,-4.748,0.927,-8.305,0.029,0.024,-0.057
785232,-4.796,0.876,-8.289,-0.007,0.033,-0.017
785335,-4.788,0.879,-8.234,0.007,0.030,0.005
785438,-4.702,0.958,-8.315,-0.010,0.062,-0.002
785541,-4.578,1.058,-8.291,-0.130,0.177,-0.064
785644,-4.501,1.065,-8.535,-0.104,0.076,-0.031
785747,-4.535,1.319,-8.533,0.033,-0.035,0.033
785850,-4.458,1.041,-8.657,-0.009,-0.207,0.007
785953,-4.841,1.314,-8.715,-0.046,-0.649,-0.055
