t (ms),a_x,a_y,a_z,g_x,g_y,g_z
690439,-8.715,0.950,-3.886,0.055,0.079,0.017
690542,-8.890,0.814,-3.948,0.075,0.074,-0.006
690645,-8.904,0.905,-3.871,0.054,0.028,-0.010
690748,-8.940,0.912,-3.807,0.020,0.023,-0.014
690851,-8.942,0.687,-3.843,-0.020,-0.014,-0.037
690954,-8.878,0.994,-3.847,-0.067,0.000,0.001
691058,-8.871,0.929,-3.879,0.006,-0.003,-0.046
691161,-8.918,0.895,-3.792,-0.009,0.001,-0.039
691264,-8.940,0.833,-3.809,-0.007,-0.009,-0.037
691367,-8.930,0.819,-3.792,-0.014,0.017,-0.024
691470,-8.882,0.891,-3.836,-0.003,0.028,-0.014
691573,-8.897,0.867,-3.847,0.007,0.032,-0.013
691676,-8.863,0.855,-3.881,0.007,0.031,-0.013
691780,-8.835,0.905,-3.950,-0.021,0.023,-0.018
691884,-8.863,0.943,-3.903,-0.013,0.015,-0.021
691987,-8.911,0.888,-3.843,0.010,0.034,-0.010
692090,-8.842,0.893,-3.907,-0.006,0.098,-0.026
692194,-8.866,1.053,-4.070,0.041,-0.039,-0.015
692298,-8.849,1.008,-3.924,0.053,-0.212,-0.050
692402,-8.926,0.821,-3.642,0.072,-0.358,-0.082
692506,-9.151,0.668,-3.445,-0.016,-0.481,-0.061
692610,-9.256,0.541,-2.612,-0.051,-0.664,-0.091
692713,-9.476,0.694,-1.949,0.005,-0.431,-0.072
692817,-9.524,0.342,-1.765,0.020,-0.351,0.002
692920,-9.807,0.749,-1.192,-0.017,-0.202,-0.052
693024,-9.708,0.754,-0.934,-0.026,-0.067,-0.048
693128,-9.756,0.670,-0.974,-0.009,0.120,0.049
693232,-9.759,0.745,-1.209,-0.029,0.200,0.015
693336,-9.639,0.893,-1.580,-0.017,0.264,-0.059
693440,-9.565,0.364,-1.956,-0.033,0.477,0.046
693544,-9.409,0.998,-2.638,0.061,0.620,0.107
693648,-9.194,1.058,-3.122,-0.042,0.500,0.039
693751,-9.225,0.879,-3.373,0.006,0.448,0.015
693855,-9.002,1.188,-3.649,-0.019,0.327,-0.034
693959,-8.921,0.996,-4.003,-0.042,0.261,0.021
694063,-8.586,0.958,-4.259,0.010,0.151,-0.006
694167,-8.569,1.030,-4.432,-0.078,0.123,-0.050
694271,-8.595,1.171,-4.444,-0.026,0.064,-0.054
694375,-8.519,1.111,-4.523,0.023,0.028,-0.002
694479,-8.497,1.003,-4.496,0.044,0.002,-0.045
694583,-8.686,1.197,-4.168,0.080,0.063,-0.063
694687,-8.423,0.646,-4.798,-0.020,-0.323,-0.060
694790,-8.899,0.927,-3.773,-0.070,-0.496,-0.095
694894,-9.067,0.797,-3.534,-0.035,-0.529,-0.076
694998,-9.266,0.706,-2.796,-0.086,-0.778,-0.075
695102,-9.584,0.790,-2.090,0.044,-0.675,-0.063
695206,-9.797,0.608,-1.152,0.017,-0.411,-0.037
695309,-9.742,0.725,-1.111,-0.001,-0.224,-0.026
695413,-9.668,0.783,-0.752,-0.001,-0.014,0.009
695516,-9.809,0.917,-0.991,0.031,0.130,-0.002
695620,-9.663,0.831,-1.140,-0.014,0.200,0.004
695723,-9.632,0.730,-1.530,-0.037,0.418,0.016
695826,-9.716,0.867,-2.069,-0.030,0.659,0.094
695930,-9.383,0.905,-2.768,0.010,0.621,0.055
696033,-9.357,1.008,-3.239,0.078,0.576,0.096
696136,-8.808,1.559,-3.821,0.202,0.363,0.055
696239,-8.894,0.704,-3.850,0.080,0.126,0.016
696343,-8.727,0.891,-4.003,0.038,0.152,-0.052
696446,-8.844,0.852,-4.104,-0.161,0.119,-0.065
696549,-8.650,1.022,-4.197,-0.149,0.095,-0.057
696652,-8.633,1.192,-4.173,-0.124,0.047,-0.025
696755,-8.710,1.279,-4.259,0.025,0.067,0.043
696858,-8.595,0.970,-4.326,0.037,0.007,-0.019
696962,-8.602,1.264,-4.254,-0.023,-0.001,-0.062
697065,-8.607,1.164,-4.393,0.042,-0.096,-0.096
697168,-8.689,0.931,-4.156,-0.033,-0.364,-0.103
697271,-9.024,0.946,-3.618,-0.036,-0.506,-0.179
697374,-9.301,0.781,-3.134,0.013,-0.431,-0.069
697477,-9.364,0.821,-2.986,0.031,-0.547,-0.036
697580,-9.651,0.735,-2.030,0.073,-0.527,-0.049
697683,-9.665,0.532,-1.654,0.027,-0.407,-0.057
697786,-9.764,0.869,-1.300,0.078,-0.298,-0.070
697889,-9.613,0.814,-0.934,0.118,-0.176,-0.051
697993,-9.809,0.467,-0.824,0.081,-0.048,-0.019
698096,-9.637,0.467,-0.840,-0.066,0.096,-0.019
698199,-9.687,0.476,-1.192,-0.034,0.177,-0.004
698302,-9.754,0.670,-1.279,-0.025,0.339,-0.003
698406,-9.467,0.783,-1.607,0.031,0.412,0.026
698509,-9.428,0.697,-2.274,-0.048,0.623,0.014
698613,-9.261,0.709,-3.282,0.015,0.555,0.034
698716,-9.270,0.646,-3.220,-0.016,0.479,0.112
698819,-8.957,0.924,-3.718,-0.096,0.515,-0.025
698923,-8.531,0.953,-4.286,-0.131,0.331,-0.039
699026,-8.657,1.140,-4.405,-0.104,0.158,-0.022
699129,-8.595,1.085,-4.434,-0.021,0.085,-0.062
699232,-8.689,1.070,-4.391,0.028,0.023,0.007
699335,-8.564,0.960,-4.475,0.035,0.011,-0.006
699438,-8.531,0.970,-4.568,-0.076,0.083,0.000
699541,-8.432,1.192,-4.630,0.015,0.027,-0.044
699644,-8.420,0.996,-4.659,0.041,0.041,-0.032
699747,-8.442,0.927,-4.630,0.011,0.010,-0.034
699851,-8.471,0.970,-4.688,-0.015,-0.043,-0.041
699954,-8.598,0.965,-4.506,-0.018,-0.231,-0.072
700057,-8.681,0.929,-4.211,0.054,-0.314,-0.096
700160,-8.780,0.833,-3.984,0.039,-0.400,-0.084
700263,-9.155,0.766,-3.452,0.023,-0.574,-0.108
700366,-9.340,0.579,-2.816,0.035,-0.535,-0.115
700470,-9.491,0.441,-2.346,-0.025,-0.447,-0.124
700573,-9.653,0.261,-1.899,-0.079,-0.401,-0.031
700676,-9.704,0.654,-1.621,-0.004,-0.286,-0.064
700779,-9.627,0.606,-1.293,0.004,-0.172,-0.059
700882,-9.742,0.505,-1.130,-0.044,-0.075,-0.014
700985,-9.699,0.532,-1.164,0.042,0.097,0.013
701088,-9.783,0.397,-1.142,0.005,0.145,-0.013
701191,-9.618,0.496,-1.597,0.011,0.191,-0.002
701294,-9.572,0.551,-1.705,0.034,0.217,-0.004
701397,-9.665,0.515,-1.817,-0.009,0.400,0.018
701500,-9.407,0.622,-2.648,-0.012,0.526,0.078
701603,-9.301,0.797,-2.854,0.018,0.345,0.001
701706,-9.131,0.412,-3.282,-0.044,0.401,0.014
701809,-9.088,0.795,-3.558,0.036,0.245,0.025
701913,-8.978,0.888,-3.543,-0.042,0.227,-0.020
702016,-8.988,0.642,-3.867,0.059,0.221,-0.020
702119,-8.724,0.709,-4.132,-0.057,0.189,0.040
702222,-8.765,0.852,-4.209,-0.010,0.137,-0.006
702326,-8.705,0.917,-4.247,0.012,0.092,-0.018
702430,-8.619,0.778,-4.436,-0.017,0.079,-0.048
702534,-8.564,0.979,-4.544,-0.052,0.040,0.033
702638,-8.581,0.860,-4.355,0.023,0.044,-0.019
702742,-8.502,0.946,-4.666,0.037,-0.102,-0.070
702846,-8.701,0.807,-4.266,0.025,-0.255,-0.072
702949,-8.775,0.826,-4.123,-0.013,-0.330,-0.064
703053,-8.940,0.816,-3.855,-0.011,-0.481,-0.047
703156,-9.261,0.781,-3.024,-0.017,-0.600,-0.054
703260,-9.436,0.742,-2.330,-0.013,-0.553,-0.134
703363,-9.622,0.539,-1.903,-0.019,-0.362,-0.079
703467,-9.637,0.508,-1.659,0.034,-0.257,-0.028
703570,-9.620,0.558,-1.415,-0.011,-0.120,-0.034
703674,-9.653,0.524,-1.269,0.009,0.051,-0.017
703777,-9.658,0.589,-1.386,-0.027,0.165,-0.033
703881,-9.680,0.594,-1.623,-0.025,0.237,-0.011
703984,-9.572,0.711,-1.853,-0.052,0.267,0.019
704088,-9.505,0.752,-2.241,0.040,0.433,0.009
704191,-9.311,0.599,-2.722,0.018,0.527,0.056
704295,-9.163,0.441,-3.381,0.127,0.471,0.053
704398,-8.892,0.910,-3.867,0.033,0.454,0.015
704502,-8.717,0.668,-4.314,0.007,0.373,-0.009
704605,-8.619,0.778,-4.257,0.011,0.205,-0.010
704709,-8.610,0.639,-4.453,-0.013,0.115,-0.043
704812,-8.550,0.790,-4.518,-0.024,0.071,0.012
704916,-8.590,0.771,-4.444,0.023,0.010,-0.011
705019,-8.602,0.682,-4.489,-0.004,0.039,-0.029
705123,-8.499,0.764,-4.638,-0.019,0.047,-0.013
705226,-8.487,0.828,-4.597,-0.037,0.049,0.005
705330,-8.495,0.848,-4.633,-0.026,0.006,-0.007
