t (ms),a_x,a_y,a_z,g_x,g_y,g_z
222633,-7.173,1.425,-6.220,-0.005,0.014,-0.024
222736,-7.180,1.429,-6.199,-0.005,0.015,-0.022
222840,-7.195,1.425,-6.199,-0.000,0.013,-0.016
222943,-7.156,1.444,-6.263,-0.005,0.018,-0.019
223047,-7.190,1.439,-6.208,0.000,0.007,-0.019
223150,-7.202,1.448,-6.182,0.001,0.009,-0.018
223254,-7.168,1.444,-6.235,-0.001,0.012,-0.019
223357,-7.185,1.460,-6.201,-0.001,0.012,-0.018
223461,-7.173,1.456,-6.213,-0.003,0.012,-0.020
223564,-7.178,1.446,-6.227,0.000,0.010,-0.021
223667,-7.192,1.451,-6.213,-0.000,0.012,-0.020
223770,-7.199,1.460,-6.191,-0.003,0.015,-0.018
223873,-7.168,1.453,-6.220,-0.003,0.006,-0.019
223976,-7.185,1.465,-6.211,-0.002,0.005,-0.020
224080,-7.204,1.468,-6.187,-0.003,0.009,-0.018
224183,-7.190,1.465,-6.196,-0.001,0.010,-0.018
224287,-7.183,1.456,-6.215,0.000,0.006,-0.020
224390,-7.197,1.456,-6.201,-0.003,0.004,-0.022
224493,-7.207,1.458,-6.184,-0.002,0.008,-0.021
224596,-7.190,1.453,-6.211,-0.002,0.010,-0.020
224700,-7.209,1.480,-6.167,-0.003,0.023,-0.019
224803,-7.190,1.460,-6.208,-0.001,0.015,-0.021
224907,-7.202,1.463,-6.206,-0.001,0.017,-0.022
225010,-7.197,1.477,-6.203,-0.004,0.019,-0.021
225113,-7.183,1.465,-6.213,-0.003,0.015,-0.019
225216,-7.180,1.468,-6.213,-0.002,0.015,-0.020
225320,-7.180,1.458,-6.201,-0.003,0.016,-0.021
225423,-7.183,1.465,-6.203,-0.001,0.015,-0.020
225527,-7.163,1.465,-6.225,0.000,0.017,-0.018
225630,-7.185,1.472,-6.201,0.000,0.018,-0.018
225734,-7.147,1.468,-6.237,-0.002,0.013,-0.019
225837,-7.166,1.451,-6.230,-0.001,0.012,-0.021
225940,-7.180,1.468,-6.215,-0.001,0.014,-0.018
226043,-7.137,1.470,-6.244,0.001,0.012,-0.018
226147,-7.161,1.477,-6.225,-0.000,0.010,-0.019
226250,-7.166,1.472,-6.213,-0.001,0.011,-0.019
226353,-7.180,1.468,-6.211,0.000,0.012,-0.019
226457,-7.171,1.482,-6.235,-0.001,0.013,-0.020
226560,-7.173,1.472,-6.232,-0.001,0.013,-0.019
226663,-7.163,1.475,-6.237,-0.001,0.012,-0.020
226767,-7.156,1.494,-6.261,-0.007,0.019,-0.018
226871,-7.144,1.477,-6.258,-0.004,0.009,-0.020
226975,-7.173,1.465,-6.235,-0.003,0.007,-0.020
227078,-7.173,1.477,-6.225,-0.003,0.012,-0.019
227182,-7.166,1.492,-6.237,-0.002,0.009,-0.018
227286,-7.175,1.468,-6.230,-0.002,0.007,-0.021
227390,-7.159,1.482,-6.218,-0.004,0.007,-0.022
227493,-7.161,1.470,-6.223,-0.003,0.005,-0.023
227597,-7.195,1.475,-6.187,-0.003,0.006,-0.022
227700,-7.187,1.468,-6.208,-0.001,0.007,-0.022
227804,-7.195,1.484,-6.203,-0.006,0.020,-0.018
227907,-7.161,1.460,-6.208,-0.004,0.013,-0.019
228011,-7.178,1.475,-6.218,-0.003,0.014,-0.022
228114,-7.190,1.487,-6.206,-0.003,0.019,-0.021
228218,-7.163,1.504,-6.215,-0.008,0.010,-0.021
228321,-7.180,1.477,-6.203,-0.002,0.012,-0.022
228425,-7.178,1.463,-6.218,-0.004,0.014,-0.023
228528,-7.163,1.484,-6.206,-0.001,0.017,-0.021
228632,-7.187,1.456,-6.230,-0.001,0.016,-0.019
228735,-7.151,1.484,-6.237,-0.003,0.019,-0.018
228839,-7.166,1.492,-6.225,-0.001,0.011,-0.021
228943,-7.178,1.475,-6.211,0.001,0.013,-0.020
229047,-7.159,1.472,-6.244,0.002,0.015,-0.019
229151,-7.159,1.477,-6.239,0.002,0.011,-0.019
229255,-7.171,1.480,-6.223,-0.001,0.011,-0.020
229358,-7.151,1.463,-6.220,-0.002,0.017,-0.022
229462,-7.149,1.477,-6.232,-0.005,0.012,-0.023
229566,-7.171,1.465,-6.223,0.000,0.011,-0.021
229670,-7.159,1.482,-6.244,-0.003,0.018,-0.018
229774,-7.149,1.484,-6.244,-0.002,0.008,-0.020
229878,-7.163,1.475,-6.218,-0.002,0.006,-0.021
229982,-7.159,1.484,-6.244,-0.001,0.010,-0.021
230086,-7.166,1.494,-6.235,-0.002,0.007,-0.019
230190,-7.173,1.470,-6.223,-0.002,0.005,-0.022
230294,-7.190,1.480,-6.218,-0.003,0.005,-0.022
230398,-7.175,1.484,-6.213,0.000,0.005,-0.022
230501,-7.195,1.487,-6.213,-0.005,0.002,-0.021
230605,-7.171,1.494,-6.239,-0.009,0.014,-0.019
230708,-7.183,1.482,-6.206,-0.003,0.008,-0.020
230811,-7.190,1.475,-6.165,0.001,0.013,-0.021
230914,-7.183,1.492,-6.213,0.001,0.021,-0.021
231017,-7.168,1.484,-6.215,0.000,0.016,-0.020
231120,-7.183,1.465,-6.213,-0.002,0.014,-0.022
231224,-7.161,1.487,-6.206,-0.004,0.016,-0.021
231328,-7.178,1.463,-6.201,0.001,0.017,-0.021
231431,-7.149,1.482,-6.268,-0.003,0.017,-0.020
231535,-7.168,1.477,-6.213,-0.001,0.012,-0.020
231638,-7.183,1.468,-6.215,0.001,0.011,-0.019
231742,-7.159,1.482,-6.237,0.002,0.013,-0.019
231845,-7.163,1.489,-6.218,0.001,0.011,-0.019
231949,-7.156,1.480,-6.239,-0.001,0.011,-0.021
232052,-7.175,1.482,-6.215,-0.001,0.010,-0.021
232156,-7.168,1.472,-6.225,-0.000,0.013,-0.020
232259,-7.151,1.484,-6.235,-0.000,0.012,-0.019
232363,-7.175,1.480,-6.227,-0.003,0.020,-0.017
232466,-7.132,1.492,-6.268,-0.002,0.013,-0.017
232570,-7.151,1.484,-6.246,-0.002,0.010,-0.020
232673,-7.183,1.499,-6.225,0.000,0.017,-0.018
232777,-7.144,1.504,-6.244,0.001,0.020,-0.016
232880,-7.142,1.477,-6.227,0.004,0.020,-0.015
232984,-7.151,1.523,-6.239,-0.006,0.022,-0.013
233087,-7.128,1.496,-6.263,-0.003,0.025,-0.018
233191,-7.123,1.499,-6.282,-0.003,0.022,-0.016
233294,-7.120,1.496,-6.290,-0.001,0.019,-0.015
