t (ms),a_x,a_y,a_z,g_x,g_y,g_z
306751,-6.9,1.805,-6.776,-0.074,-0.007,-0.037
306854,-7.017,1.743,-6.543,-0.025,-0.044,-0.061
306956,-7.104,1.697,-6.493,-0.026,0,-0.035
307058,-7.029,1.863,-6.596,-0.073,0.062,-0.005
307160,-6.917,1.769,-6.651,0.068,-0.024,0.038
307263,-6.943,1.709,-6.699,0.034,0.004,0.046
307365,-7.027,1.781,-6.539,-0.006,0.017,0.001
307467,-7.087,1.937,-6.498,0.048,0.039,0.001
307570,-6.919,1.882,-6.627,0.022,0.023,-0.026
307672,-6.955,1.709,-6.675,0.038,0.046,-0.003
307774,-6.859,1.475,-6.833,0.019,0.044,-0.002
307876,-6.864,1.647,-6.802,-0.037,0.036,-0.016
307978,-6.821,1.865,-6.8,-0.048,0.012,-0.031
308081,-6.823,1.906,-6.682,-0.032,0.017,-0.02
308183,-6.85,1.748,-6.783,-0.001,-0.004,-0.017
308285,-6.931,1.719,-6.699,0.012,0.007,-0.031
308387,-6.943,1.63,-6.73,-0.001,0.001,-0.009
308489,-6.924,1.748,-6.67,-0.011,0.026,0.008
308592,-6.886,1.721,-6.783,-0.023,0.025,-0.007
308695,-6.955,1.853,-6.644,0.087,0.035,0.006
308797,-6.847,1.626,-6.84,0.026,0,-0.013
308900,-6.838,1.573,-6.838,-0.033,0.039,0.002
309003,-6.902,1.642,-6.694,-0.03,-0.009,0.03
309105,-6.845,1.669,-6.792,0.026,0.047,0.02
309208,-6.831,1.76,-6.804,0.01,0.063,-0.007
309311,-6.711,1.793,-6.962,-0.058,0.048,-0.051
309413,-6.732,1.774,-6.888,-0.077,-0.002,-0.044
309516,-6.864,1.769,-6.747,-0.069,-0.023,-0.027
309619,-6.802,1.721,-6.79,-0.082,-0.001,0.019
309722,-6.812,1.913,-6.804,0.001,-0.027,0.052
309825,-6.867,1.884,-6.732,0.013,-0.017,0.029
309928,-6.879,1.834,-6.653,-0.006,0.018,-0.026
310030,-6.823,1.951,-6.711,0.12,0.073,-0.028
310133,-6.826,1.765,-6.845,0.131,0.094,-0.001
310236,-6.747,1.547,-6.888,0.008,0.084,-0.012
310339,-6.62,1.707,-7.053,-0.048,0.088,-0.005
310441,-6.553,1.664,-7.094,-0.005,0.012,-0.038
310543,-6.613,1.595,-7.053,-0.013,-0.007,-0.019
310646,-6.646,1.75,-6.936,-0.008,-0.023,-0.019
310748,-6.701,1.626,-6.914,-0.03,0.014,-0.031
310851,-6.725,1.676,-6.941,-0.038,0.014,-0.025
310954,-6.721,1.666,-6.864,-0.044,0.021,-0.026
311057,-6.718,1.676,-6.981,-0.035,0.032,-0.02
311160,-6.711,1.709,-6.936,-0.034,0.003,-0.003
311263,-6.644,1.757,-6.946,-0.027,0.007,-0.007
311366,-6.701,1.776,-6.905,-0.036,0.022,-0.035
311469,-6.677,1.772,-6.958,-0.027,0.01,-0.019
311572,-6.673,1.765,-6.946,-0.012,0.005,0.002
311675,-6.692,1.774,-6.929,-0.019,0.007,-0.013
311778,-6.699,1.786,-6.888,-0.019,0.005,-0.019
311881,-6.709,1.793,-6.902,-0.021,0.018,-0.01
311984,-6.709,1.836,-6.876,-0.019,0.032,-0.022
312087,-6.721,1.803,-6.922,-0.025,0.05,-0.038
312190,-6.591,1.788,-6.986,-0.02,0.025,-0.018
312292,-6.622,1.791,-6.996,-0.015,0.03,-0.018
312395,-6.656,1.772,-6.996,-0.031,0.024,-0.039
312498,-6.625,1.765,-6.989,-0.006,0.008,-0.016
312601,-6.658,1.714,-6.989,-0.006,0.005,0.004
312704,-6.668,1.786,-6.946,-0.023,0.022,-0.011
312807,-6.685,1.834,-6.929,-0.016,0.024,-0.018
312910,-6.632,1.822,-6.965,-0.002,0.022,-0.002
313013,-6.646,1.815,-6.948,0.009,0.033,0.002
313115,-6.57,1.803,-7.046,0.002,0.025,-0.023
313218,-6.565,1.769,-7.034,-0.002,0.028,-0.037
313321,-6.608,1.733,-7.025,-0.01,0.015,-0.022
313424,-6.606,1.721,-7.015,-0.019,0.016,-0.019
313527,-6.61,1.753,-7.015,-0.014,0.021,-0.012
313630,-6.606,1.714,-7.025,-0.017,0.016,-0.016
313733,-6.601,1.781,-7.034,-0.017,0.02,-0.004
313836,-6.567,1.738,-7.058,-0.027,0.027,0.002
313939,-6.603,1.774,-6.991,-0.023,0.019,-0.012
314042,-6.555,1.822,-7.068,-0.013,0.021,-0.013
314145,-6.56,1.81,-7.003,-0.013,0.011,-0.015
314247,-6.57,1.791,-7.037,-0.013,0.006,-0.016
314350,-6.582,1.8,-7.034,-0.014,0.014,-0.017
314452,-6.572,1.772,-7.013,-0.017,0.016,-0.022
314555,-6.543,1.798,-7.08,-0.022,0.015,-0.023
314657,-6.563,1.774,-7.032,-0.012,0.011,-0.015
314760,-6.584,1.788,-7.037,-0.014,0.008,-0.01
314862,-6.57,1.81,-7.039,-0.018,0.009,-0.01
314965,-6.579,1.82,-7.032,-0.015,0.011,-0.012
315068,-6.563,1.836,-7.044,-0.016,0.025,-0.012
315171,-6.548,1.82,-7.034,-0.013,0.012,-0.018
315273,-6.541,1.803,-7.056,-0.013,0.007,-0.019
315376,-6.591,1.796,-7.034,-0.012,0.009,-0.018
315478,-6.574,1.815,-7.005,-0.017,0.008,-0.011
315581,-6.57,1.815,-7.022,-0.01,0.01,-0.017
315683,-6.565,1.822,-7.037,-0.014,0.014,-0.017
315786,-6.572,1.82,-7.032,-0.014,0.014,-0.017
315888,-6.603,1.788,-7.005,-0.018,0.017,-0.022
315990,-6.572,1.815,-7.02,-0.01,0.007,-0.017
316093,-6.558,1.803,-7.068,-0.017,0.028,-0.012
316196,-6.563,1.805,-7.034,-0.012,0.01,-0.014
316298,-6.553,1.822,-7.041,-0.011,0.015,-0.013
316401,-6.572,1.798,-7.053,-0.017,0.019,-0.018
316503,-6.555,1.841,-7.022,-0.016,0.012,-0.018
316606,-6.56,1.812,-7.034,-0.01,0.014,-0.017
316709,-6.548,1.834,-7.037,-0.011,0.026,-0.021
316812,-6.527,1.805,-7.082,-0.011,0.012,-0.019
316914,-6.548,1.81,-7.049,-0.02,0.006,-0.019
317017,-6.539,1.82,-7.08,-0.012,0.012,-0.017
317119,-6.567,1.817,-7.046,-0.019,0.025,-0.016
317222,-6.546,1.817,-7.058,-0.017,0.006,-0.016
317324,-6.539,1.788,-7.082,-0.018,0.016,-0.015
317427,-6.574,1.82,-7.029,-0.018,0.014,-0.014
317529,-6.558,1.822,-7.034,-0.019,0.009,-0.01
317632,-6.558,1.836,-7.056,-0.015,0.014,-0.014
317735,-6.551,1.836,-7.027,-0.015,0.013,-0.017
317838,-6.553,1.829,-7.041,-0.014,0.014,-0.016
