ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.131,-0.003,-0.933,-0.012,0.014,-0.015
-0.137,-0.001,-0.972,-0.013,0.014,-0.015
-0.136,-0.002,-0.977,-0.012,0.014,-0.015
-0.137,-0.001,-0.973,-0.012,0.014,-0.015
-0.136,-0.002,-0.974,-0.012,0.014,-0.015
-0.137,-0.003,-0.974,-0.013,0.015,-0.015
-0.138,-0.003,-0.975,-0.012,0.014,-0.015
-0.137,-0.003,-0.975,-0.013,0.014,-0.016
-0.136,-0.003,-0.976,-0.013,0.014,-0.015
-0.137,-0.003,-0.975,-0.012,0.014,-0.015
-0.138,-0.003,-0.975,-0.013,0.014,-0.015
-0.138,-0.001,-0.974,-0.013,0.014,-0.015
-0.137,-0.002,-0.974,-0.012,0.014,-0.015
-0.137,-0.002,-0.974,-0.012,0.014,-0.015
-0.137,-0.003,-0.975,-0.013,0.014,-0.015
-0.136,-0.002,-0.974,-0.012,0.014,-0.015
-0.137,-0.003,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.977,-0.012,0.014,-0.015
-0.136,-0.002,-0.976,-0.012,0.014,-0.015
-0.138,-0.003,-0.974,-0.013,0.014,-0.015
-0.137,-0.003,-0.975,-0.013,0.014,-0.015
-0.137,-0.002,-0.975,-0.013,0.014,-0.015
-0.137,-0.003,-0.975,-0.012,0.014,-0.015
-0.138,-0.002,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.973,-0.012,0.014,-0.015
-0.137,-0.003,-0.975,-0.012,0.014,-0.015
-0.137,-0.003,-0.977,-0.013,0.014,-0.015
-0.137,-0.002,-0.977,-0.013,0.014,-0.015
-0.138,-0.003,-0.975,-0.012,0.014,-0.015
-0.137,-0.003,-0.975,-0.013,0.014,-0.015
-0.137,-0.003,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.975,-0.013,0.014,-0.015
-0.137,-0.001,-0.975,-0.013,0.014,-0.015
-0.137,-0.002,-0.975,-0.012,0.014,-0.015
-0.137,-0.004,-0.975,-0.012,0.014,-0.015
-0.137,-0.004,-0.978,-0.012,0.014,-0.015
-0.137,-0.003,-0.976,-0.012,0.014,-0.015
-0.136,-0.002,-0.974,-0.013,0.014,-0.015
-0.136,-0.002,-0.975,-0.012,0.014,-0.015
-0.136,-0.003,-0.974,-0.013,0.014,-0.015
-0.137,-0.001,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.972,-0.012,0.014,-0.015
-0.137,-0.002,-0.974,-0.012,0.014,-0.015
-0.136,-0.003,-0.976,-0.013,0.014,-0.015
-0.136,-0.002,-0.975,-0.012,0.014,-0.015
-0.137,-0.002,-0.975,-0.013,0.014,-0.015
-0.136,-0.002,-0.974,-0.013,0.014,-0.015
-0.137,-0.003,-0.974,-0.012,0.014,-0.015
-0.138,-0.003,-0.975,-0.012,0.014,-0.015
-0.138,-0.002,-0.973,-0.012,0.014,-0.015
-0.138,-0.002,-0.976,-0.012,0.014,-0.015
-0.136,-0.003,-0.974,-0.012,0.014,-0.015
