a_x,a_y,a_z,g_x,g_y,g_z
-1.286,-0.034,-9.148,-0.012,0.014,-0.015
-1.343,-0.012,-9.531,-0.013,0.014,-0.015
-1.338,-0.017,-9.577,-0.012,0.014,-0.015
-1.348,-0.014,-9.541,-0.012,0.014,-0.015
-1.338,-0.022,-9.55,-0.012,0.014,-0.015
-1.346,-0.031,-9.55,-0.013,0.015,-0.015
-1.35,-0.034,-9.558,-0.012,0.014,-0.015
-1.341,-0.029,-9.565,-0.013,0.014,-0.016
-1.336,-0.031,-9.57,-0.013,0.014,-0.015
-1.346,-0.034,-9.565,-0.012,0.014,-0.015
-1.355,-0.026,-9.565,-0.013,0.014,-0.015
-1.35,-0.012,-9.553,-0.013,0.014,-0.015
-1.343,-0.017,-9.548,-0.012,0.014,-0.015
-1.348,-0.017,-9.553,-0.012,0.014,-0.015
-1.341,-0.026,-9.558,-0.013,0.014,-0.015
-1.338,-0.024,-9.548,-0.012,0.014,-0.015
-1.343,-0.029,-9.562,-0.012,0.014,-0.015
-1.341,-0.022,-9.579,-0.012,0.014,-0.015
-1.338,-0.019,-9.57,-0.012,0.014,-0.015
-1.353,-0.026,-9.55,-0.013,0.014,-0.015
-1.348,-0.026,-9.558,-0.013,0.014,-0.015
-1.341,-0.024,-9.565,-0.013,0.014,-0.015
-1.346,-0.029,-9.558,-0.012,0.014,-0.015
-1.35,-0.019,-9.558,-0.012,0.014,-0.015
-1.346,-0.022,-9.541,-0.012,0.014,-0.015
-1.346,-0.029,-9.56,-0.012,0.014,-0.015
-1.348,-0.029,-9.577,-0.013,0.014,-0.015
-1.348,-0.024,-9.577,-0.013,0.014,-0.015
-1.35,-0.034,-9.558,-0.012,0.014,-0.015
-1.346,-0.031,-9.562,-0.013,0.014,-0.015
-1.343,-0.026,-9.565,-0.012,0.014,-0.015
-1.348,-0.017,-9.562,-0.013,0.014,-0.015
-1.346,-0.014,-9.562,-0.013,0.014,-0.015
-1.348,-0.017,-9.56,-0.012,0.014,-0.015
-1.341,-0.036,-9.565,-0.012,0.014,-0.015
-1.346,-0.036,-9.589,-0.012,0.014,-0.015
-1.348,-0.031,-9.572,-0.012,0.014,-0.015
-1.338,-0.019,-9.553,-0.013,0.014,-0.015
-1.338,-0.019,-9.565,-0.012,0.014,-0.015
-1.338,-0.029,-9.553,-0.013,0.014,-0.015
-1.346,-0.014,-9.562,-0.012,0.014,-0.015
-1.341,-0.022,-9.558,-0.012,0.014,-0.015
-1.346,-0.019,-9.536,-0.012,0.014,-0.015
-1.343,-0.019,-9.548,-0.012,0.014,-0.015
-1.338,-0.029,-9.57,-0.013,0.014,-0.015
-1.338,-0.024,-9.562,-0.012,0.014,-0.015
-1.343,-0.019,-9.558,-0.013,0.014,-0.015
-1.338,-0.019,-9.55,-0.013,0.014,-0.015
-1.343,-0.031,-9.55,-0.012,0.014,-0.015
-1.35,-0.026,-9.56,-0.012,0.014,-0.015
