Feature_Index,ReliefF_Weight
8,0.153457
15,0.137750
14,0.137578
34,0.137434
16,0.133741
67,0.121471
65,0.117369
69,0.117236
70,0.117172
72,0.111192
11,0.108305
1,0.103650
64,0.102875
63,0.099207
10,0.096204
13,0.088179
68,0.086914
9,0.080873
12,0.079624
35,0.076779
17,0.076322
18,0.076092
19,0.074752
3,0.074517
32,0.074191
56,0.073827
50,0.072887
22,0.071117
36,0.070054
24,0.069795
21,0.069692
20,0.068233
4,0.066580
44,0.066097
49,0.063640
47,0.063311
61,0.063149
58,0.062473
62,0.061511
30,0.059192
45,0.058178
46,0.057224
41,0.056413
27,0.055711
29,0.054042
53,0.053301
25,0.052490
57,0.052323
55,0.051655
59,0.051064
51,0.049784
23,0.048649
43,0.048180
40,0.047632
71,0.046751
73,0.045089
52,0.042619
37,0.042195
2,0.038044
39,0.037498
31,0.036459
28,0.033589
75,0.033044
66,0.030443
38,0.022617
33,0.021756
60,0.018490
26,0.018069
54,0.016747
42,0.016157
74,0.010770
7,0.008449
48,0.004095
5,0.000000
6,0.000000
