t (ms),a_x,a_y,a_z,g_x,g_y,g_z
503344,-3.651,1.247,-8.969,-0.03,-0.014,-0.03
503447,-3.749,1.293,-8.892,-0.04,-0.04,-0.029
503550,-3.876,1.312,-8.796,-0.037,-0.046,-0.027
503653,-3.974,1.338,-8.748,-0.022,-0.04,-0.02
503755,-4.037,1.36,-8.727,-0.015,-0.025,-0.025
503858,-4.082,1.369,-8.669,0.007,0.0,-0.037
503961,-4.063,1.298,-8.727,0.012,0.017,-0.044
504064,-4.029,1.255,-8.756,-0.007,0.03,-0.032
504167,-3.982,1.223,-8.787,-0.042,0.048,-0.033
504270,-3.826,1.259,-8.875,-0.11,0.045,-0.036
504373,-3.855,1.408,-8.801,-0.132,0.026,-0.033
504476,-3.915,1.523,-8.727,-0.071,0.018,-0.021
504579,-3.881,1.535,-8.796,-0.041,0.008,-0.024
504682,-3.991,1.537,-8.72,-0.023,0.011,-0.013
504785,-3.965,1.549,-8.732,-0.074,0.021,-0.014
504888,-3.898,1.678,-8.746,-0.037,0.023,0.0
504991,-3.869,1.712,-8.748,0.013,0.041,-0.019
505094,-3.874,1.621,-8.736,0.037,0.046,-0.037
505197,-3.792,1.635,-8.811,0.088,0.067,-0.044
505300,-3.84,1.353,-8.856,0.037,0.067,-0.008
505403,-3.759,1.348,-8.82,-0.001,0.024,0.001
505506,-3.632,1.374,-8.923,-0.001,0.057,-0.062
505609,-3.646,1.439,-8.957,0.021,0.02,-0.026
505712,-3.68,1.348,-8.938,-0.019,0.001,-0.017
505815,-3.749,1.437,-8.82,-0.033,-0.007,-0.015
505918,-3.79,1.396,-8.842,-0.024,0.007,0.006
506021,-3.742,1.465,-8.861,-0.019,0.019,0.015
506124,-3.725,1.415,-8.88,-0.019,0.014,0.003
506227,-3.685,1.513,-8.868,-0.048,0.024,-0.015
506330,-3.682,1.542,-8.904,-0.066,0.022,-0.013
506433,-3.721,1.587,-8.851,-0.066,-0.004,-0.002
506536,-3.809,1.563,-8.732,-0.072,0.01,-0.008
506638,-3.759,1.707,-8.823,0.017,0.095,0.042
506741,-3.575,1.796,-8.892,0.142,-0.004,0.157
506844,-3.469,1.64,-8.894,0.129,-0.08,0.12
506947,-3.601,1.389,-8.94,0.055,-0.073,0.042
507050,-3.783,1.487,-8.887,-0.053,-0.073,-0.028
507153,-4.025,1.626,-8.617,-0.058,-0.019,-0.057
507255,-3.919,1.614,-8.703,-0.013,0.074,-0.029
507358,-3.74,1.604,-8.861,-0.02,0.067,-0.013
507461,-3.685,1.623,-8.88,-0.037,0.04,-0.03
507564,-3.67,1.645,-8.856,-0.018,0.038,-0.036
507666,-3.728,1.616,-8.806,0.032,0.026,-0.031
507769,-3.685,1.487,-8.921,0.03,0.02,-0.042
507872,-3.704,1.437,-8.868,0.011,0.037,-0.052
507975,-3.682,1.432,-8.88,0.001,0.041,-0.05
508078,-3.716,1.446,-8.945,-0.017,0.035,-0.026
508181,-3.692,1.427,-8.875,-0.01,0.002,0.016
508284,-3.577,1.389,-8.866,0.021,0.101,-0.019
508387,-3.426,1.374,-9.036,-0.019,0.077,-0.078
508489,-3.448,1.413,-9.036,-0.012,0.027,-0.061
508592,-3.57,1.389,-8.935,0.002,-0.009,-0.03
508694,-3.567,1.279,-8.928,0.025,-0.013,0.005
508797,-3.587,1.305,-8.928,-0.037,0.005,-0.01
508899,-3.347,1.417,-8.904,-0.094,0.095,-0.051
509002,-3.548,1.563,-9.227,-0.078,-0.016,-0.187
509105,-3.752,1.544,-8.875,-0.044,-0.205,-0.086
509208,-3.977,1.571,-8.595,0.002,-0.177,0.001
509311,-4.01,1.317,-8.631,0.056,-0.059,-0.022
509414,-3.946,1.188,-8.818,-0.02,0.044,0.03
509517,-3.953,1.46,-8.847,0.019,-0.032,0.036
509620,-4.125,1.666,-8.586,-0.046,-0.146,0.027
509723,-4.254,1.638,-8.485,0.109,-0.077,0.015
509826,-4.238,1.176,-8.59,0.103,0.037,-0.019
509929,-4.032,1.279,-8.863,-0.035,0.098,-0.062
510032,-4.041,1.544,-8.617,-0.081,0.101,-0.036
510135,-3.845,1.331,-8.794,-0.094,0.058,-0.001
510238,-3.864,1.511,-8.854,-0.05,-0.021,-0.034
510341,-4.161,1.381,-8.564,-0.013,-0.028,-0.089
510444,-4.283,1.427,-8.624,-0.028,0.038,-0.029
510547,-4.25,1.523,-8.641,-0.079,0.035,-0.043
510650,-4.037,1.511,-8.708,-0.095,0.049,-0.04
510753,-3.886,1.652,-8.748,-0.106,0.052,-0.012
510856,-3.845,1.681,-8.698,-0.054,0.037,-0.032
510959,-3.895,1.721,-8.808,-0.07,0.058,-0.035
511062,-3.905,1.906,-8.729,-0.072,0.022,-0.039
511165,-3.915,1.863,-8.684,-0.052,0.013,-0.021
511268,-3.876,1.827,-8.758,-0.068,0.031,-0.015
511371,-3.869,1.915,-8.748,-0.034,0.001,-0.001
511474,-3.912,1.896,-8.693,0.006,0.003,0.008
511577,-3.924,1.796,-8.753,0.012,0.003,0.004
511680,-3.912,1.87,-8.72,0.067,-0.006,0.027
511783,-3.9,1.925,-8.667,0.038,0.005,-0.004
511886,-4.008,1.841,-8.653,0.017,0.017,-0.009
511989,-3.977,1.81,-8.724,-0.004,0.013,-0.015
512092,-3.962,1.779,-8.698,-0.015,0.014,-0.022
512195,-3.946,1.779,-8.739,-0.022,0.014,-0.022
512298,-3.893,1.791,-8.736,-0.014,0.015,-0.014
512401,-3.9,1.812,-8.701,-0.005,0.008,-0.015
512504,-3.941,1.82,-8.703,-0.005,0.025,-0.014
512607,-3.898,1.793,-8.727,-0.005,0.01,-0.023
512710,-3.912,1.781,-8.708,-0.012,0.017,-0.024
512813,-3.924,1.769,-8.734,-0.013,0.015,-0.024
512916,-3.931,1.762,-8.734,-0.013,0.01,-0.018
513018,-3.917,1.784,-8.722,-0.013,0.01,-0.018
513121,-3.91,1.798,-8.734,-0.014,0.009,-0.017
513223,-3.934,1.793,-8.727,-0.013,0.009,-0.02
513326,-3.919,1.781,-8.734,-0.008,0.006,-0.022
513428,-3.936,1.8,-8.727,-0.009,0.026,-0.017
513531,-3.905,1.774,-8.741,-0.007,0.007,-0.022
513633,-3.922,1.772,-8.701,-0.014,0.016,-0.022
513736,-3.915,1.779,-8.746,-0.015,0.015,-0.022
513839,-3.917,1.781,-8.701,-0.013,0.009,-0.019
513942,-3.91,1.781,-8.722,-0.015,0.015,-0.021
514044,-3.9,1.793,-8.724,-0.013,0.014,-0.02
514147,-3.931,1.786,-8.708,-0.014,0.012,-0.019
514250,-3.919,1.774,-8.722,-0.013,0.011,-0.019
514353,-3.924,1.791,-8.71,-0.013,0.012,-0.019
514455,-3.917,1.796,-8.72,-0.013,0.012,-0.019
514558,-3.929,1.805,-8.705,-0.009,0.025,-0.013
514661,-3.883,1.803,-8.758,-0.009,0.011,-0.019
514764,-3.912,1.788,-8.703,-0.012,0.016,-0.02
514866,-3.917,1.791,-8.736,-0.016,0.016,-0.019
514969,-3.919,1.786,-8.717,-0.013,0.008,-0.016
515071,-3.912,1.796,-8.736,-0.012,0.012,-0.019
515173,-3.91,1.817,-8.736,-0.012,0.013,-0.019
515276,-3.915,1.798,-8.734,-0.013,0.011,-0.019
515379,-3.912,1.784,-8.732,-0.014,0.012,-0.019
515481,-3.91,1.791,-8.712,-0.012,0.011,-0.018
515584,-3.91,1.796,-8.72,-0.011,0.011,-0.017
515686,-3.941,1.772,-8.693,-0.007,0.014,-0.015
515788,-3.898,1.791,-8.763,-0.01,0.016,-0.019
515891,-3.931,1.779,-8.705,-0.011,0.014,-0.021
515994,-3.915,1.798,-8.708,-0.013,0.011,-0.022
516097,-3.905,1.769,-8.741,-0.01,0.011,-0.021
516200,-3.903,1.791,-8.729,-0.012,0.01,-0.018
516303,-3.929,1.779,-8.739,-0.012,0.011,-0.019
516406,-3.915,1.788,-8.736,-0.014,0.01,-0.019
516509,-3.931,1.781,-8.715,-0.017,0.012,-0.02
516612,-3.929,1.798,-8.727,-0.014,0.014,-0.019
516715,-3.91,1.798,-8.724,-0.015,0.012,-0.02
516818,-3.953,1.76,-8.689,-0.016,-0.01,-0.02
516921,-3.955,1.741,-8.751,-0.026,-0.006,0.0
517024,-3.97,1.815,-8.643,-0.014,-0.002,0.003
517127,-3.938,1.899,-8.679,-0.013,0.01,-0.021
517230,-3.948,1.875,-8.717,-0.01,0.014,-0.027
517333,-3.955,1.832,-8.698,-0.011,0.015,-0.026
517436,-3.958,1.762,-8.712,-0.012,0.015,-0.027
517539,-3.943,1.805,-8.724,-0.009,0.013,-0.022
517642,-3.946,1.824,-8.703,-0.008,0.014,-0.019
517744,-3.948,1.822,-8.703,-0.008,0.011,-0.019
517847,-3.953,1.827,-8.712,-0.012,0.014,-0.023
517950,-3.97,1.786,-8.691,-0.007,0.022,-0.017
518053,-3.91,1.808,-8.727,-0.009,0.016,-0.021
518156,-3.96,1.793,-8.71,-0.01,0.016,-0.021
518259,-3.936,1.8,-8.696,-0.013,0.014,-0.018
518362,-3.96,1.798,-8.717,-0.012,0.01,-0.018
518465,-3.948,1.812,-8.732,-0.013,0.012,-0.018
518568,-3.941,1.798,-8.715,-0.01,0.013,-0.018
518671,-3.948,1.796,-8.698,-0.01,0.012,-0.018
518773,-3.948,1.808,-8.715,-0.012,0.012,-0.02
518876,-3.953,1.81,-8.703,-0.014,0.012,-0.02
518979,-3.938,1.798,-8.72,-0.01,0.013,-0.019
519082,-3.926,1.805,-8.727,-0.009,0.025,-0.018
519185,-3.934,1.81,-8.705,-0.008,0.01,-0.02
519288,-3.926,1.805,-8.72,-0.01,0.014,-0.021
519391,-3.936,1.796,-8.736,-0.012,0.016,-0.021
519494,-3.934,1.796,-8.705,-0.011,0.012,-0.017
519596,-3.922,1.781,-8.72,-0.012,0.013,-0.021
519699,-3.926,1.798,-8.722,-0.011,0.012,-0.019
519802,-3.97,1.769,-8.693,0.005,0.006,-0.02
519904,-3.934,1.839,-8.708,0.002,0.014,-0.038
520007,-3.979,1.796,-8.698,-0.003,0.022,-0.064
520109,-3.936,1.887,-8.669,0.022,0.086,-0.123
520212,-3.812,1.659,-8.904,0.068,-0.048,-0.109
520314,-4.089,1.379,-8.674,0.076,-0.157,-0.096
520417,-4.338,1.252,-8.519,0.0,-0.128,-0.098
520520,-4.345,1.341,-8.751,-0.015,-0.051,-0.092
520623,-4.413,1.329,-8.531,-0.013,-0.088,-0.054
520726,-4.355,1.279,-8.487,-0.085,-0.01,0.004
520829,-4.369,1.425,-8.574,-0.107,0.046,0.029
520932,-4.046,1.738,-9.074,-0.025,0.112,0.096
521035,-4.171,1.786,-8.677,0.045,-0.073,0.07
521138,-4.36,1.774,-8.485,0.022,-0.03,0.033
521241,-4.427,1.846,-8.452,0.002,-0.035,-0.004
521344,-4.405,1.645,-8.526,-0.011,-0.011,0.006
521447,-4.453,1.609,-8.454,-0.006,0.014,0.02
521550,-4.489,1.621,-8.509,-0.001,0.015,0.025
521653,-4.463,1.59,-8.559,-0.002,-0.035,0.04
521756,-4.511,1.671,-8.432,-0.004,-0.039,0.062
521859,-4.456,1.808,-8.401,-0.017,-0.01,0.017
521962,-4.463,1.815,-8.466,-0.012,-0.014,-0.002
522065,-4.499,1.796,-8.456,0.006,-0.001,-0.002
522168,-4.492,1.815,-8.468,-0.001,0.017,-0.016
522271,-4.518,1.81,-8.411,-0.038,0.031,-0.011
522373,-4.611,1.82,-8.363,-0.107,-0.076,-0.001
522476,-4.551,1.827,-8.404,-0.046,-0.007,-0.031
522579,-4.52,1.815,-8.404,-0.03,0.018,-0.027
522682,-4.492,1.863,-8.406,-0.004,0.022,-0.023
522785,-4.568,1.867,-8.382,0.014,0.031,-0.008
522888,-4.578,1.911,-8.375,0.002,0.032,-0.021
522991,-4.561,1.884,-8.394,-0.013,0.028,-0.035
523094,-4.556,1.817,-8.392,-0.023,0.03,-0.037
523196,-4.487,1.812,-8.459,-0.005,0.019,-0.027
523299,-4.506,1.846,-8.394,-0.02,0.005,-0.031
523402,-4.53,1.839,-8.408,-0.017,0.001,-0.037
523505,-4.602,1.781,-8.375,-0.025,0.023,-0.054
523607,-4.587,1.767,-8.411,-0.017,0.015,-0.029
523710,-4.501,1.875,-8.406,-0.011,0.022,-0.009
523813,-4.515,1.846,-8.418,-0.016,0.016,-0.021
523916,-4.547,1.832,-8.423,-0.021,0.018,-0.032
524018,-4.518,1.839,-8.459,-0.014,0.026,-0.02
524121,-4.515,1.844,-8.406,-0.012,0.014,-0.019
524224,-4.499,1.832,-8.428,-0.01,0.009,-0.018
524327,-4.537,1.86,-8.411,-0.018,0.011,-0.025
524430,-4.525,1.848,-8.399,-0.018,0.009,-0.019
524533,-4.525,1.824,-8.432,-0.014,0.013,-0.023
