t (ms),a_x,a_y,a_z,g_x,g_y,g_z
15250,-8.832,2.588,-3.428,-0.091,0.008,0.02
15353,-8.957,2.567,-3.249,-0.043,-0.03,-0.061
15455,-8.969,2.421,-3.203,-0.08,-0.064,-0.08
15558,-8.947,2.428,-3.134,-0.098,-0.055,-0.063
15661,-9.005,2.476,-3.084,-0.1,-0.072,-0.06
15764,-9.069,2.466,-2.835,-0.054,-0.039,-0.029
15867,-9.081,2.523,-2.808,0.025,-0.033,-0.003
15970,-9.117,2.454,-2.787,0.051,-0.042,-0.04
16073,-9.201,2.301,-2.674,0.019,-0.002,-0.051
16176,-9.179,2.313,-2.734,0.018,0.044,-0.023
16279,-9.041,2.313,-2.954,0.001,0.043,-0.016
16382,-9.117,2.356,-2.897,-0.012,0.061,0.001
16485,-9.093,2.375,-2.933,-0.035,0.031,-0.018
16588,-9.088,2.382,-2.933,-0.026,0.04,-0.023
16691,-9.069,2.365,-2.974,0.001,0.02,-0.023
16794,-9.074,2.315,-2.986,0.013,0.015,-0.018
16897,-9.052,2.33,-3.024,-0.006,0.012,-0.015
17000,-9.067,2.349,-3.0,-0.006,0.008,-0.009
17102,-9.115,2.351,-2.919,0.0,0.014,-0.006
17205,-9.031,2.37,-3.017,-0.009,0.01,-0.015
17308,-9.074,2.361,-2.974,-0.013,0.015,-0.014
17411,-9.076,2.392,-2.952,-0.011,0.006,-0.01
17513,-9.091,2.334,-2.993,0.001,0.025,-0.006
17616,-9.062,2.397,-2.976,-0.008,0.021,-0.009
17719,-9.052,2.377,-2.981,-0.004,0.02,-0.017
17822,-9.036,2.401,-3.014,-0.01,0.014,-0.008
17925,-9.041,2.416,-3.029,-0.01,0.005,-0.021
18028,-9.067,2.354,-2.952,-0.017,0.011,-0.034
18131,-9.024,2.354,-3.072,-0.023,0.014,-0.028
18234,-9.06,2.342,-3.005,-0.022,0.014,-0.018
18336,-9.052,2.377,-3.01,-0.022,0.001,-0.013
18438,-9.086,2.385,-2.969,-0.011,-0.002,-0.008
18540,-9.074,2.411,-2.94,-0.007,0.005,-0.001
18642,-9.072,2.401,-2.954,-0.013,0.011,-0.009
18744,-9.055,2.433,-2.995,-0.015,0.017,-0.012
18847,-9.045,2.447,-2.974,-0.01,0.006,-0.014
18949,-9.076,2.418,-2.933,-0.006,0.023,-0.01
19052,-9.019,2.423,-3.017,-0.019,0.005,-0.028
19155,-9.057,2.401,-2.995,-0.011,0.014,-0.022
19258,-9.079,2.418,-2.957,-0.016,0.008,-0.016
19361,-9.081,2.413,-2.931,-0.014,0.001,-0.013
19464,-9.122,2.382,-2.892,-0.015,0.008,-0.021
19567,-9.024,2.435,-3.002,-0.026,-0.007,-0.026
19670,-9.033,2.428,-2.978,-0.022,-0.02,-0.024
19773,-9.081,2.399,-2.928,-0.018,-0.031,-0.021
19875,-9.124,2.397,-2.844,-0.019,-0.011,-0.015
19978,-9.1,2.397,-2.801,-0.033,-0.039,-0.026
20081,-9.136,2.409,-2.727,-0.032,-0.042,-0.025
20183,-9.155,2.406,-2.71,-0.025,-0.046,-0.032
20286,-9.177,2.382,-2.638,-0.033,-0.074,-0.038
20389,-9.175,2.368,-2.531,-0.022,-0.046,-0.023
20492,-9.213,2.373,-2.507,-0.015,0.009,-0.013
20595,-9.222,2.399,-2.502,-0.021,0.022,-0.011
20698,-9.21,2.428,-2.533,-0.008,0.035,-0.002
20801,-9.177,2.413,-2.559,-0.025,-0.008,-0.029
20904,-9.227,2.375,-2.514,-0.021,-0.02,-0.042
21007,-9.239,2.349,-2.483,-0.016,-0.041,-0.039
21109,-9.275,2.342,-2.418,-0.024,-0.041,-0.029
21211,-9.258,2.361,-2.349,-0.024,-0.037,-0.025
21314,-9.28,2.363,-2.284,-0.023,-0.031,-0.03
21417,-9.29,2.37,-2.241,-0.021,-0.015,-0.037
21520,-9.242,2.349,-2.334,-0.008,0.003,-0.034
21623,-9.266,2.298,-2.296,-0.015,-0.02,-0.027
21726,-9.313,2.282,-2.234,-0.014,-0.024,-0.021
21829,-9.311,2.274,-2.2,-0.017,-0.033,-0.017
21932,-9.369,2.303,-2.059,-0.016,-0.025,-0.014
22035,-9.359,2.286,-2.042,-0.007,-0.001,-0.022
22138,-9.38,2.308,-2.061,-0.021,-0.001,-0.021
22241,-9.359,2.318,-2.033,-0.01,-0.005,-0.028
22344,-9.369,2.239,-2.049,0.013,0.027,-0.019
22447,-9.335,2.236,-2.109,-0.02,0.021,-0.012
22550,-9.347,2.303,-2.088,-0.02,0.016,-0.011
22653,-9.354,2.296,-2.09,-0.013,0.018,-0.01
22756,-9.335,2.33,-2.107,-0.013,0.019,-0.011
22859,-9.33,2.32,-2.126,-0.009,0.015,-0.013
22962,-9.311,2.332,-2.128,-0.013,0.018,-0.009
23065,-9.342,2.33,-2.116,-0.016,0.01,-0.021
23168,-9.361,2.279,-2.037,-0.009,0.016,-0.023
23271,-9.306,2.313,-2.157,-0.017,0.024,-0.019
23374,-9.33,2.298,-2.107,-0.01,0.021,-0.016
23477,-9.325,2.296,-2.143,-0.004,0.035,-0.002
23580,-9.321,2.344,-2.167,-0.013,0.021,-0.003
23683,-9.309,2.363,-2.152,-0.016,0.018,-0.021
23786,-9.304,2.351,-2.191,-0.013,0.015,-0.024
23889,-9.304,2.354,-2.169,-0.014,0.022,-0.02
23991,-9.306,2.327,-2.195,-0.011,0.014,-0.021
24094,-9.337,2.294,-2.133,-0.014,0.021,-0.018
24197,-9.282,2.33,-2.255,-0.01,0.033,-0.01
24300,-9.306,2.339,-2.207,-0.01,0.023,-0.01
24403,-9.282,2.363,-2.222,-0.007,0.022,-0.006
24506,-9.294,2.361,-2.224,-0.013,0.02,-0.009
24609,-9.306,2.365,-2.222,-0.015,0.025,-0.009
24712,-9.285,2.358,-2.243,-0.012,0.015,-0.013
24815,-9.268,2.373,-2.265,-0.011,0.031,0.0
24918,-9.285,2.409,-2.263,-0.003,0.037,0.003
25020,-9.258,2.399,-2.274,-0.013,0.04,-0.012
25123,-9.225,2.442,-2.43,-0.009,0.059,-0.005
25226,-9.222,2.447,-2.38,-0.015,0.035,-0.009
25328,-9.215,2.488,-2.399,-0.015,0.037,-0.012
25431,-9.21,2.464,-2.433,-0.007,0.031,-0.019
25534,-9.215,2.425,-2.454,-0.009,0.043,-0.022
25637,-9.172,2.375,-2.569,-0.01,0.052,-0.025
25740,-9.167,2.423,-2.574,-0.022,0.018,-0.028
25843,-9.199,2.456,-2.497,-0.011,0.004,-0.02
25946,-9.268,2.447,-2.394,-0.007,0.006,-0.016
26049,-9.175,2.425,-2.497,-0.027,-0.003,-0.034
26152,-9.215,2.394,-2.492,-0.019,-0.002,-0.035
26255,-9.23,2.373,-2.459,-0.016,0.012,-0.021
26357,-9.242,2.413,-2.447,-0.019,-0.002,-0.023
26459,-9.256,2.354,-2.394,-0.013,0.008,-0.024
26561,-9.22,2.382,-2.418,-0.016,0.015,-0.017
26664,-9.244,2.382,-2.397,-0.016,0.033,-0.017
26766,-9.273,2.349,-2.442,-0.005,0.04,0.0
