t (ms),a_x,a_y,a_z,g_x,g_y,g_z
45917,-3.979,0.757,-8.82,-0.02,0.014,-0.019
46020,-3.955,0.749,-8.825,-0.023,0.015,-0.022
46123,-3.97,0.766,-8.827,-0.017,0.013,-0.02
46227,-3.982,0.754,-8.825,-0.022,0.023,-0.016
46330,-3.946,0.773,-8.815,-0.011,0.012,-0.018
46433,-3.955,0.757,-8.866,-0.015,0.014,-0.016
46536,-3.979,0.759,-8.832,-0.022,0.018,-0.02
46639,-3.955,0.776,-8.823,-0.023,0.018,-0.017
46742,-3.922,0.771,-8.835,-0.017,0.022,-0.015
46845,-3.924,0.773,-8.844,-0.015,0.013,-0.022
46948,-3.943,0.776,-8.851,-0.016,0.01,-0.022
47051,-3.946,0.771,-8.835,-0.017,0.011,-0.02
47155,-3.974,0.749,-8.825,-0.019,0.02,-0.017
47258,-3.895,0.759,-8.861,-0.012,0.013,-0.017
47361,-3.926,0.754,-8.835,-0.012,0.012,-0.011
47465,-3.972,0.759,-8.83,-0.011,0.014,-0.015
47569,-3.926,0.785,-8.83,-0.022,0.017,-0.019
47673,-3.926,0.795,-8.844,-0.025,0.016,-0.014
47776,-3.924,0.783,-8.839,-0.021,0.011,-0.018
47879,-3.924,0.776,-8.851,-0.017,0.014,-0.021
47982,-3.915,0.773,-8.82,-0.015,0.009,-0.018
48085,-3.962,0.757,-8.808,-0.014,0.015,-0.015
48188,-3.9,0.781,-8.859,-0.013,0.015,-0.018
48291,-3.903,0.785,-8.837,-0.018,0.019,-0.015
48394,-3.934,0.792,-8.835,-0.016,0.011,-0.015
48497,-3.915,0.785,-8.851,-0.019,0.016,-0.019
48600,-3.912,0.792,-8.83,-0.023,0.017,-0.019
48703,-3.905,0.8,-8.842,-0.017,0.012,-0.018
48806,-3.922,0.792,-8.842,-0.018,0.013,-0.019
48909,-3.91,0.8,-8.842,-0.02,0.014,-0.018
49012,-3.912,0.814,-8.835,-0.024,0.014,-0.019
49115,-3.931,0.788,-8.837,-0.018,0.018,-0.016
49218,-3.864,0.809,-8.873,-0.013,0.015,-0.017
49321,-3.888,0.788,-8.863,-0.017,0.016,-0.015
49424,-3.912,0.833,-8.842,-0.015,0.012,-0.015
49528,-3.905,0.812,-8.861,-0.018,0.016,-0.019
49631,-3.879,0.828,-8.863,-0.018,0.015,-0.019
49734,-3.886,0.814,-8.851,-0.016,0.011,-0.018
49837,-3.912,0.819,-8.851,-0.017,0.011,-0.02
49940,-3.905,0.8,-8.839,-0.018,0.016,-0.018
50043,-3.891,0.816,-8.856,-0.02,0.014,-0.019
50146,-3.893,0.816,-8.866,-0.015,0.013,-0.018
50249,-3.883,0.843,-8.882,-0.017,0.022,-0.018
50352,-3.876,0.831,-8.844,-0.011,0.011,-0.015
50455,-3.862,0.838,-8.878,-0.014,0.012,-0.019
50558,-3.903,0.819,-8.863,-0.017,0.014,-0.021
50661,-3.869,0.833,-8.859,-0.019,0.014,-0.019
50764,-3.879,0.819,-8.871,-0.015,0.011,-0.017
50867,-3.888,0.828,-8.863,-0.017,0.01,-0.019
50970,-3.91,0.821,-8.851,-0.016,0.01,-0.017
51073,-3.895,0.816,-8.868,-0.021,0.013,-0.018
51176,-3.888,0.833,-8.873,-0.019,0.014,-0.017
51279,-3.881,0.843,-8.882,-0.02,0.023,-0.013
51382,-3.883,0.843,-8.823,-0.013,0.012,-0.014
51485,-3.862,0.836,-8.878,-0.017,0.019,-0.016
51588,-3.881,0.848,-8.866,-0.025,0.021,-0.018
51691,-3.847,0.871,-8.861,-0.02,0.015,-0.019
51794,-3.845,0.848,-8.897,-0.013,0.01,-0.019
51897,-3.876,0.836,-8.844,-0.013,0.009,-0.023
52000,-3.871,0.831,-8.873,-0.011,0.01,-0.023
52103,-3.883,0.824,-8.866,-0.012,0.008,-0.022
52206,-3.874,0.826,-8.868,-0.011,0.008,-0.022
52309,-3.893,0.816,-8.859,-0.017,0.019,-0.019
52412,-3.859,0.819,-8.851,-0.009,0.008,-0.017
52515,-3.867,0.809,-8.868,-0.011,0.012,-0.016
52618,-3.924,0.802,-8.82,-0.017,0.01,-0.018
52721,-3.879,0.812,-8.854,-0.019,0.013,-0.017
52824,-3.879,0.807,-8.894,-0.015,0.01,-0.019
52927,-3.886,0.795,-8.866,-0.014,0.002,-0.017
53030,-3.907,0.816,-8.835,-0.014,0.008,-0.017
53133,-3.9,0.8,-8.863,-0.017,0.014,-0.019
53236,-3.907,0.807,-8.878,-0.018,0.01,-0.017
53339,-3.915,0.831,-8.83,-0.022,0.006,-0.015
53442,-3.941,0.79,-8.827,-0.014,0.015,-0.009
53545,-3.864,0.812,-8.878,-0.004,-0.005,-0.008
53648,-3.912,0.778,-8.854,0.007,-0.015,0.003
53751,-3.96,0.785,-8.83,0.005,-0.021,0.009
53854,-3.962,0.718,-8.849,0.014,-0.023,0.026
53957,-3.974,0.682,-8.892,0.026,-0.048,0.044
54060,-4.068,0.749,-8.782,0.048,-0.081,0.052
54163,-4.164,0.759,-8.753,0.063,-0.106,0.059
54266,-4.228,0.551,-8.746,0.014,-0.12,0.079
54369,-4.417,0.8,-8.559,-0.023,-0.087,0.075
54472,-4.492,0.74,-8.547,-0.068,-0.009,-0.016
54575,-4.444,0.85,-8.653,-0.167,0.012,-0.089
54678,-4.556,0.984,-8.423,-0.059,-0.011,0.009
54781,-4.487,1.087,-8.468,0.181,0.055,0.024
54884,-4.365,0.764,-8.677,0.115,0.02,-0.061
54987,-4.331,0.594,-8.629,0.001,-0.019,-0.063
55090,-4.448,0.611,-8.631,0.002,-0.017,-0.006
55193,-4.532,0.596,-8.514,0.038,-0.017,-0.043
55296,-4.513,0.577,-8.61,0.015,0.002,-0.102
55399,-4.477,0.342,-8.648,0.019,-0.004,-0.068
55502,-4.559,0.335,-8.619,0.042,-0.016,-0.018
55605,-4.633,0.424,-8.533,0.074,0.008,-0.013
55708,-4.556,0.204,-8.564,0.108,-0.008,0.014
55811,-4.64,-0.029,-8.473,0.088,0.023,0.032
55914,-4.652,0.045,-8.533,0.037,0.037,0.028
56017,-4.568,0.002,-8.557,0.016,0.042,0.039
56120,-4.503,0.034,-8.588,-0.014,0.033,0.039
56223,-4.46,0.177,-8.617,-0.047,0.026,0.038
56326,-4.441,0.256,-8.665,-0.029,0.022,0.011
56429,-4.405,0.22,-8.669,0.009,-0.02,-0.016
56532,-4.484,0.103,-8.557,-0.042,-0.064,-0.037
56635,-4.551,0.28,-8.535,-0.13,-0.055,-0.088
56738,-4.705,0.352,-8.509,-0.103,-0.031,-0.092
56841,-4.786,0.297,-8.485,-0.038,-0.028,-0.07
56944,-4.843,0.23,-8.384,-0.018,0.003,-0.046
57047,-4.779,0.259,-8.435,-0.014,0.025,-0.03
57150,-4.697,0.235,-8.483,-0.016,0.025,-0.027
57253,-4.719,0.23,-8.468,-0.029,0.033,-0.024
57356,-4.714,0.247,-8.485,-0.026,0.033,-0.027
57459,-4.652,0.29,-8.495,-0.04,0.047,-0.027
57562,-4.614,0.352,-8.54,-0.047,0.055,-0.041
57665,-4.587,0.309,-8.578,-0.022,0.043,-0.029
57768,-4.585,0.263,-8.54,-0.022,0.03,-0.032
57871,-4.578,0.271,-8.581,-0.019,0.049,-0.026
57974,-4.523,0.273,-8.588,-0.005,0.024,-0.024
58077,-4.477,0.242,-8.61,-0.006,0.029,-0.024
58180,-4.52,0.292,-8.595,-0.018,0.012,-0.031
58284,-4.506,0.285,-8.586,-0.029,0.014,-0.027
58387,-4.506,0.294,-8.593,-0.037,0.009,-0.029
58490,-4.511,0.283,-8.581,-0.039,0.018,-0.03
58593,-4.53,0.306,-8.6,-0.037,0.024,-0.032
58696,-4.539,0.278,-8.554,-0.018,0.021,-0.024
58799,-4.503,0.309,-8.61,-0.012,0.025,-0.012
58902,-4.494,0.333,-8.607,-0.022,0.033,-0.014
59005,-4.444,0.328,-8.624,-0.017,0.019,-0.016
59109,-4.453,0.326,-8.65,-0.02,0.017,-0.022
59212,-4.46,0.321,-8.602,-0.021,0.007,-0.021
59315,-4.465,0.335,-8.617,-0.021,0.007,-0.018
59418,-4.487,0.323,-8.602,-0.016,0.011,-0.017
59521,-4.489,0.316,-8.612,-0.015,0.011,-0.018
59624,-4.48,0.328,-8.6,-0.013,0.007,-0.019
59728,-4.492,0.328,-8.598,-0.012,0.009,-0.018
59831,-4.472,0.328,-8.602,-0.02,0.011,-0.021
59934,-4.52,0.323,-8.562,-0.013,0.018,-0.018
60037,-4.434,0.33,-8.617,-0.02,0.019,-0.019
60141,-4.475,0.333,-8.593,-0.024,0.026,-0.02
60244,-4.494,0.342,-8.598,-0.02,0.021,-0.019
60348,-4.444,0.333,-8.629,-0.018,0.022,-0.016
60451,-4.446,0.357,-8.619,-0.013,0.025,-0.016
60554,-4.456,0.326,-8.622,-0.01,0.016,-0.018
60657,-4.422,0.338,-8.633,-0.02,0.022,-0.022
60761,-4.413,0.338,-8.645,-0.021,0.015,-0.021
60864,-4.439,0.347,-8.612,-0.022,0.019,-0.025
60967,-4.456,0.369,-8.631,-0.017,0.029,-0.014
61071,-4.365,0.352,-8.679,-0.019,0.026,-0.019
61175,-4.374,0.359,-8.679,-0.014,0.023,-0.017
61278,-4.384,0.342,-8.633,-0.015,0.012,-0.018
61382,-4.391,0.345,-8.66,-0.016,0.014,-0.017
61485,-4.372,0.35,-8.662,-0.016,0.015,-0.017
61588,-4.384,0.354,-8.65,-0.017,0.013,-0.019
61691,-4.377,0.354,-8.657,-0.016,0.014,-0.018
61795,-4.381,0.357,-8.643,-0.013,0.012,-0.016
61899,-4.398,0.352,-8.645,-0.015,0.017,-0.018
62003,-4.405,0.335,-8.624,-0.015,0.018,-0.016
62107,-4.377,0.352,-8.679,-0.016,0.035,-0.014
62211,-4.336,0.342,-8.665,-0.009,0.035,-0.014
62314,-4.283,0.335,-8.715,-0.016,0.034,-0.016
62417,-4.305,0.352,-8.715,-0.02,0.032,-0.02
62520,-4.281,0.366,-8.698,-0.019,0.031,-0.017
62623,-4.281,0.362,-8.715,-0.019,0.034,-0.018
62726,-4.247,0.362,-8.734,-0.026,0.034,-0.022
62829,-4.183,0.376,-8.78,-0.021,0.024,-0.02
62932,-4.216,0.373,-8.741,-0.015,0.011,-0.019
63035,-4.214,0.388,-8.741,-0.014,0.006,-0.023
63138,-4.25,0.369,-8.703,-0.016,0.007,-0.02
63241,-4.302,0.362,-8.691,-0.014,0.013,-0.02
63344,-4.199,0.347,-8.746,-0.015,0.012,-0.022
63447,-4.245,0.354,-8.732,-0.013,0.011,-0.018
63550,-4.252,0.352,-8.732,-0.015,0.013,-0.019
63653,-4.264,0.364,-8.717,-0.014,0.019,-0.019
63756,-4.228,0.357,-8.76,-0.011,0.023,-0.015
63859,-4.216,0.342,-8.727,-0.01,0.017,-0.014
63962,-4.219,0.35,-8.746,-0.017,0.016,-0.019
64065,-4.238,0.347,-8.746,-0.017,0.013,-0.019
64168,-4.211,0.342,-8.739,-0.016,0.013,-0.018
64271,-4.226,0.352,-8.724,-0.017,0.013,-0.017
64374,-4.228,0.354,-8.739,-0.015,0.014,-0.018
64477,-4.269,0.335,-8.724,-0.008,0.022,-0.015
64580,-4.185,0.347,-8.763,-0.01,0.012,-0.021
64683,-4.197,0.35,-8.724,-0.013,0.017,-0.018
64786,-4.257,0.302,-8.701,-0.026,0.024,-0.025
64889,-4.209,0.369,-8.741,-0.024,0.03,-0.018
64992,-4.173,0.388,-8.775,-0.014,0.029,-0.009
65095,-4.149,0.35,-8.765,-0.015,0.029,-0.014
65198,-4.123,0.357,-8.799,-0.02,0.023,-0.02
65301,-4.116,0.359,-8.801,-0.018,0.014,-0.019
65404,-4.132,0.342,-8.796,-0.017,0.007,-0.041
65507,-4.173,0.335,-8.77,-0.017,0.011,-0.021
65610,-4.149,0.39,-8.77,-0.01,0.007,-0.024
65713,-4.197,0.354,-8.732,-0.018,0.017,-0.04
65816,-4.173,0.29,-8.763,-0.013,0.01,-0.019
65919,-4.178,0.306,-8.77,-0.015,0.01,-0.015
66022,-4.18,0.34,-8.768,-0.017,0.005,-0.019
66125,-4.154,0.323,-8.763,-0.014,0.005,-0.019
66228,-4.199,0.318,-8.736,-0.023,0.009,-0.023
66331,-4.219,0.335,-8.744,-0.021,0.009,-0.02
66434,-4.192,0.326,-8.76,-0.014,0.008,-0.017
66537,-4.216,0.342,-8.751,-0.017,0.02,-0.014
66640,-4.149,0.338,-8.77,-0.014,0.011,-0.016
