t (ms),a_x,a_y,a_z,g_x,g_y,g_z
446.0,-0.05,-0.11,-9.182,-0.011,0.015,-0.017
545.0,-0.065,-0.115,-9.598,-0.011,0.014,-0.016
645.0,-0.069,-0.11,-9.615,-0.011,0.014,-0.016
745.0,-0.053,-0.11,-9.618,-0.011,0.015,-0.016
845.0,-0.062,-0.113,-9.622,-0.011,0.014,-0.016
945.0,-0.077,-0.101,-9.629,-0.011,0.015,-0.016
1045.0,-0.069,-0.113,-9.622,-0.011,0.014,-0.016
1145.0,-0.067,-0.105,-9.613,-0.011,0.014,-0.016
1245.0,-0.072,-0.117,-9.622,-0.011,0.015,-0.016
1345.0,-0.072,-0.115,-9.608,-0.011,0.014,-0.016
1445.0,-0.069,-0.108,-9.629,-0.011,0.014,-0.016
1545.0,-0.072,-0.101,-9.618,-0.012,0.014,-0.017
1645.0,-0.079,-0.113,-9.608,-0.011,0.014,-0.016
1745.0,-0.067,-0.12,-9.608,-0.011,0.014,-0.016
1845.0,-0.069,-0.115,-9.62,-0.011,0.014,-0.016
1945.0,-0.06,-0.108,-9.615,-0.011,0.014,-0.016
2045.0,-0.072,-0.105,-9.603,-0.011,0.014,-0.016
2145.0,-0.072,-0.108,-9.639,-0.011,0.014,-0.016
2245.0,-0.069,-0.113,-9.632,-0.011,0.014,-0.015
2345.0,-0.067,-0.105,-9.627,-0.011,0.014,-0.017
2445.0,-0.069,-0.105,-9.627,-0.011,0.014,-0.016
2545.0,-0.06,-0.117,-9.625,-0.011,0.014,-0.016
2645.0,-0.06,-0.115,-9.618,-0.011,0.014,-0.016
2745.0,-0.062,-0.105,-9.622,-0.011,0.014,-0.016
2845.0,-0.067,-0.108,-9.618,-0.011,0.014,-0.016
2945.0,-0.067,-0.11,-9.615,-0.011,0.013,-0.016
3045.0,-0.065,-0.11,-9.627,-0.011,0.014,-0.016
3145.0,-0.067,-0.105,-9.615,-0.012,0.014,-0.017
3245.0,-0.069,-0.11,-9.613,-0.011,0.014,-0.016
3345.0,-0.069,-0.113,-9.622,-0.012,0.014,-0.017
3445.0,-0.072,-0.115,-9.622,-0.011,0.014,-0.016
3545.0,-0.062,-0.108,-9.62,-0.011,0.014,-0.016
3645.0,-0.062,-0.117,-9.622,-0.011,0.014,-0.016
3745.0,-0.069,-0.105,-9.629,-0.011,0.014,-0.016
3845.0,-0.067,-0.115,-9.622,-0.011,0.014,-0.016
3945.0,-0.069,-0.113,-9.637,-0.011,0.014,-0.016
4045.0,-0.074,-0.12,-9.62,-0.012,0.014,-0.016
4145.0,-0.067,-0.117,-9.622,-0.011,0.014,-0.016
4245.0,-0.067,-0.093,-9.613,-0.011,0.014,-0.016
4345.0,-0.074,-0.108,-9.639,-0.011,0.014,-0.016
4445.0,-0.069,-0.11,-9.618,-0.011,0.014,-0.016
4545.0,-0.065,-0.108,-9.634,-0.011,0.014,-0.017
4645.0,-0.06,-0.117,-9.625,-0.011,0.014,-0.016
4745.0,-0.067,-0.115,-9.618,-0.011,0.014,-0.016
4845.0,-0.065,-0.117,-9.622,-0.011,0.014,-0.016
