t (ms),a_x,a_y,a_z,g_x,g_y,g_z
458,0.057,-0.551,-9.989,-0.029,-0.005,-0.01
560,0.072,-0.567,-10.384,-0.032,-0.005,-0.009
663,0.062,-0.57,-10.388,-0.031,-0.005,-0.008
766,0.057,-0.565,-10.393,-0.032,-0.005,-0.009
869,0.057,-0.567,-10.4,-0.031,-0.004,-0.008
972,0.057,-0.558,-10.398,-0.031,-0.005,-0.009
1075,0.057,-0.56,-10.393,-0.031,-0.005,-0.009
1178,0.069,-0.572,-10.393,-0.031,-0.005,-0.009
1281,0.062,-0.567,-10.4,-0.031,-0.005,-0.009
1384,0.053,-0.56,-10.408,-0.031,-0.005,-0.009
1487,0.062,-0.565,-10.405,-0.031,-0.005,-0.009
1590,0.067,-0.553,-10.393,-0.031,-0.005,-0.009
1693,0.057,-0.558,-10.398,-0.031,-0.005,-0.009
1796,0.055,-0.551,-10.396,-0.031,-0.005,-0.009
1899,0.062,-0.563,-10.41,-0.031,-0.005,-0.009
2002,0.057,-0.565,-10.388,-0.031,-0.005,-0.009
2105,0.053,-0.563,-10.398,-0.031,-0.005,-0.009
2208,0.053,-0.56,-10.393,-0.031,-0.005,-0.009
2311,0.065,-0.563,-10.403,-0.031,-0.005,-0.009
2414,0.053,-0.57,-10.398,-0.031,-0.005,-0.009
2517,0.057,-0.563,-10.396,-0.031,-0.005,-0.008
2620,0.057,-0.565,-10.391,-0.031,-0.005,-0.009
2723,0.065,-0.56,-10.398,-0.031,-0.005,-0.009
2826,0.057,-0.56,-10.408,-0.031,-0.005,-0.008
2929,0.057,-0.565,-10.403,-0.031,-0.005,-0.009
3032,0.069,-0.555,-10.405,-0.031,-0.005,-0.009
3135,0.065,-0.56,-10.393,-0.032,-0.005,-0.009
3238,0.057,-0.567,-10.4,-0.031,-0.005,-0.009
3341,0.062,-0.563,-10.391,-0.031,-0.005,-0.009
3444,0.057,-0.572,-10.403,-0.031,-0.005,-0.009
3547,0.062,-0.56,-10.391,-0.031,-0.005,-0.009
3650,0.072,-0.563,-10.386,-0.031,-0.005,-0.008
3753,0.06,-0.572,-10.393,-0.031,-0.005,-0.009
3856,0.062,-0.553,-10.386,-0.031,-0.005,-0.009
3959,0.062,-0.57,-10.384,-0.031,-0.005,-0.009
4062,0.062,-0.575,-10.4,-0.031,-0.006,-0.009
4165,0.057,-0.565,-10.4,-0.032,-0.005,-0.009
4268,0.06,-0.563,-10.396,-0.031,-0.005,-0.009
4371,0.055,-0.565,-10.398,-0.031,-0.005,-0.009
4474,0.062,-0.558,-10.398,-0.031,-0.005,-0.009
4577,0.06,-0.567,-10.4,-0.031,-0.005,-0.009
4680,0.065,-0.555,-10.415,-0.031,-0.005,-0.009
4783,0.06,-0.558,-10.405,-0.031,-0.005,-0.009
4886,0.06,-0.565,-10.398,-0.031,-0.005,-0.009
4989,0.069,-0.567,-10.4,-0.031,-0.005,-0.009
5092,0.057,-0.56,-10.398,-0.031,-0.005,-0.009
