t (ms),a_x,a_y,a_z,g_x,g_y,g_z
449.0,-9.299,-0.091,0.778,-0.006,0.008,-0.005
553.0,-9.687,-0.093,0.807,-0.006,0.007,-0.005
656.0,-9.689,-0.086,0.816,-0.006,0.007,-0.005
759.0,-9.697,-0.091,0.826,-0.006,0.007,-0.005
862.0,-9.701,-0.091,0.828,-0.006,0.007,-0.006
965.0,-9.699,-0.101,0.804,-0.006,0.007,-0.005
1068.0,-9.689,-0.096,0.812,-0.006,0.007,-0.005
1171.0,-9.692,-0.103,0.812,-0.005,0.007,-0.005
1274.0,-9.689,-0.091,0.819,-0.006,0.007,-0.005
1377.0,-9.697,-0.091,0.824,-0.005,0.008,-0.005
1480.0,-9.687,-0.103,0.809,-0.005,0.007,-0.005
1583.0,-9.699,-0.096,0.804,-0.005,0.007,-0.005
1686.0,-9.689,-0.098,0.812,-0.005,0.007,-0.005
1789.0,-9.689,-0.11,0.819,-0.006,0.007,-0.005
1892.0,-9.694,-0.101,0.807,-0.005,0.007,-0.005
1995.0,-9.697,-0.096,0.819,-0.005,0.007,-0.005
2098.0,-9.685,-0.101,0.816,-0.006,0.008,-0.005
2201.0,-9.692,-0.096,0.824,-0.006,0.007,-0.005
2304.0,-9.697,-0.098,0.797,-0.006,0.007,-0.005
2407.0,-9.689,-0.093,0.812,-0.006,0.007,-0.005
2510.0,-9.692,-0.096,0.802,-0.006,0.007,-0.005
2613.0,-9.694,-0.103,0.816,-0.005,0.007,-0.005
2716.0,-9.697,-0.105,0.8,-0.006,0.007,-0.005
2819.0,-9.701,-0.096,0.797,-0.005,0.007,-0.005
2922.0,-9.685,-0.098,0.812,-0.006,0.007,-0.005
3025.0,-9.699,-0.081,0.816,-0.006,0.007,-0.005
3128.0,-9.694,-0.089,0.804,-0.005,0.007,-0.005
3231.0,-9.697,-0.093,0.821,-0.006,0.007,-0.005
3334.0,-9.697,-0.103,0.804,-0.006,0.007,-0.005
3437.0,-9.689,-0.096,0.828,-0.005,0.007,-0.005
3540.0,-9.697,-0.093,0.814,-0.006,0.007,-0.005
3643.0,-9.697,-0.101,0.809,-0.005,0.007,-0.005
3746.0,-9.699,-0.108,0.816,-0.005,0.007,-0.006
3849.0,-9.694,-0.098,0.819,-0.006,0.007,-0.005
3952.0,-9.694,-0.101,0.802,-0.005,0.007,-0.005
4055.0,-9.697,-0.103,0.824,-0.006,0.007,-0.005
4158.0,-9.694,-0.098,0.809,-0.006,0.007,-0.005
4261.0,-9.694,-0.11,0.809,-0.005,0.007,-0.005
4364.0,-9.687,-0.093,0.804,-0.006,0.007,-0.005
4467.0,-9.689,-0.084,0.795,-0.006,0.006,-0.005
4570.0,-9.675,-0.091,0.788,-0.006,0.007,-0.006
4673.0,-9.689,-0.096,0.819,-0.006,0.007,-0.005
4776.0,-9.682,-0.098,0.809,-0.006,0.007,-0.006
4879.0,-9.694,-0.096,0.804,-0.006,0.007,-0.006
4982.0,-9.687,-0.11,0.807,-0.007,0.007,-0.005
5085.0,-9.694,-0.101,0.807,-0.006,0.007,-0.006
5188.0,-9.687,-0.103,0.824,-0.005,0.007,-0.005
5291.0,-9.692,-0.096,0.812,-0.006,0.007,-0.005
5394.0,-9.692,-0.101,0.807,-0.006,0.007,-0.005
5497.0,-9.699,-0.098,0.797,-0.006,0.007,-0.006
5600.0,-9.704,-0.105,0.795,-0.006,0.007,-0.006
5703.0,-9.697,-0.101,0.804,-0.006,0.007,-0.005
5806.0,-9.692,-0.096,0.819,-0.005,0.007,-0.005
5909.0,-9.697,-0.096,0.828,-0.006,0.007,-0.006
6012.0,-9.692,-0.103,0.812,-0.006,0.007,-0.005
6115.0,-9.694,-0.101,0.824,-0.006,0.007,-0.005
6218.0,-9.687,-0.105,0.807,-0.006,0.007,-0.005
6321.0,-9.692,-0.098,0.824,-0.006,0.007,-0.006
6424.0,-9.699,-0.098,0.802,-0.006,0.007,-0.005
6527.0,-9.689,-0.101,0.807,-0.006,0.007,-0.005
6630.0,-9.697,-0.101,0.792,-0.006,0.007,-0.005
6733.0,-9.694,-0.098,0.814,-0.005,0.007,-0.005
6836.0,-9.699,-0.103,0.804,-0.006,0.007,-0.005
6939.0,-9.711,-0.091,0.833,-0.005,0.007,-0.006
7042.0,-9.697,-0.108,0.809,-0.006,0.007,-0.006
7145.0,-9.701,-0.103,0.821,-0.006,0.007,-0.005
7248.0,-9.687,-0.098,0.8,-0.006,0.008,-0.005
7351.0,-9.697,-0.098,0.824,-0.006,0.007,-0.005
7454.0,-9.699,-0.098,0.814,-0.006,0.007,-0.005
7557.0,-9.692,-0.101,0.802,-0.005,0.007,-0.005
7660.0,-9.694,-0.098,0.802,-0.005,0.007,-0.006
7763.0,-9.704,-0.096,0.804,-0.006,0.007,-0.006
7866.0,-9.701,-0.101,0.819,-0.006,0.007,-0.005
7969.0,-9.694,-0.108,0.807,-0.005,0.007,-0.005
8072.0,-9.694,-0.091,0.812,-0.006,0.007,-0.006
8175.0,-9.692,-0.098,0.824,-0.005,0.007,-0.005
8278.0,-9.697,-0.101,0.809,-0.005,0.007,-0.005
