time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
656,0.541,-0.239,-9.517,-0.007,0.013,-0.019
759,0.553,-0.237,-9.515,-0.007,0.012,-0.02
862,0.527,-0.237,-9.515,-0.007,0.013,-0.019
965,0.541,-0.23,-9.522,-0.007,0.013,-0.02
1068,0.543,-0.247,-9.519,-0.007,0.012,-0.019
1171,0.548,-0.239,-9.519,-0.008,0.012,-0.019
1274,0.532,-0.232,-9.515,-0.007,0.012,-0.02
1377,0.536,-0.247,-9.524,-0.007,0.012,-0.019
1480,0.532,-0.237,-9.527,-0.008,0.012,-0.02
1583,0.539,-0.244,-9.527,-0.007,0.013,-0.02
1686,0.541,-0.249,-9.517,-0.007,0.012,-0.019
1789,0.534,-0.242,-9.522,-0.007,0.012,-0.02
1892,0.539,-0.249,-9.524,-0.008,0.012,-0.019
1995,0.541,-0.244,-9.522,-0.007,0.012,-0.019
2098,0.532,-0.242,-9.524,-0.007,0.012,-0.02
2201,0.536,-0.237,-9.527,-0.008,0.012,-0.019
2304,0.534,-0.239,-9.534,-0.008,0.011,-0.019
2407,0.553,-0.247,-9.531,-0.007,0.012,-0.019
2510,0.532,-0.242,-9.524,-0.007,0.012,-0.019
2613,0.541,-0.247,-9.531,-0.007,0.013,-0.019
2716,0.536,-0.256,-9.534,-0.007,0.012,-0.02
2819,0.532,-0.259,-9.534,-0.007,0.012,-0.019
2922,0.541,-0.247,-9.543,-0.008,0.013,-0.019
3025,0.539,-0.244,-9.519,-0.008,0.012,-0.019
3128,0.527,-0.239,-9.531,-0.007,0.012,-0.019
3231,0.529,-0.239,-9.529,-0.007,0.013,-0.019
3334,0.548,-0.237,-9.529,-0.008,0.012,-0.019
3437,0.541,-0.242,-9.515,-0.007,0.012,-0.019
3540,0.543,-0.239,-9.529,-0.007,0.012,-0.02
3643,0.541,-0.235,-9.524,-0.008,0.013,-0.02
3746,0.536,-0.256,-9.519,-0.008,0.012,-0.019
3849,0.543,-0.247,-9.531,-0.007,0.012,-0.019
3952,0.534,-0.244,-9.522,-0.007,0.012,-0.019
4055,0.543,-0.237,-9.529,-0.007,0.012,-0.019
4158,0.543,-0.237,-9.515,-0.008,0.012,-0.019
4261,0.539,-0.23,-9.522,-0.008,0.012,-0.02
4364,0.548,-0.247,-9.531,-0.007,0.012,-0.019
4467,0.529,-0.232,-9.527,-0.008,0.012,-0.019
4570,0.536,-0.242,-9.524,-0.008,0.012,-0.02
4673,0.548,-0.237,-9.534,-0.007,0.012,-0.019
4776,0.539,-0.249,-9.527,-0.008,0.013,-0.019
4879,0.534,-0.242,-9.534,-0.008,0.013,-0.02
4982,0.546,-0.244,-9.522,-0.008,0.012,-0.02
5085,0.543,-0.239,-9.522,-0.007,0.013,-0.019
5188,0.534,-0.244,-9.538,-0.008,0.013,-0.02
5291,0.536,-0.235,-9.527,-0.007,0.012,-0.019
5394,0.546,-0.244,-9.531,-0.008,0.012,-0.019
5497,0.536,-0.239,-9.512,-0.008,0.012,-0.02
5600,0.548,-0.244,-9.534,-0.007,0.012,-0.019
5703,0.541,-0.242,-9.536,-0.007,0.012,-0.019
5806,0.539,-0.247,-9.524,-0.007,0.012,-0.019
5909,0.534,-0.237,-9.527,-0.008,0.013,-0.019
6012,0.539,-0.249,-9.536,-0.008,0.012,-0.019
6115,0.541,-0.232,-9.531,-0.007,0.012,-0.019
6218,0.543,-0.237,-9.524,-0.007,0.012,-0.019
6321,0.543,-0.247,-9.531,-0.008,0.012,-0.019
6424,0.534,-0.239,-9.531,-0.008,0.012,-0.019
6527,0.543,-0.239,-9.531,-0.008,0.012,-0.019
6630,0.546,-0.239,-9.519,-0.008,0.012,-0.019
6733,0.546,-0.247,-9.534,-0.008,0.012,-0.02
6836,0.543,-0.244,-9.534,-0.008,0.012,-0.019
6939,0.534,-0.239,-9.531,-0.007,0.012,-0.019
7042,0.539,-0.235,-9.538,-0.007,0.012,-0.019
7145,0.543,-0.239,-9.522,-0.008,0.012,-0.019
7248,0.543,-0.244,-9.538,-0.008,0.012,-0.019
7351,0.536,-0.247,-9.529,-0.007,0.012,-0.02
7454,0.539,-0.247,-9.524,-0.008,0.012,-0.02
7557,0.541,-0.239,-9.524,-0.008,0.012,-0.019
7660,0.534,-0.239,-9.529,-0.007,0.012,-0.019
7763,0.539,-0.232,-9.524,-0.007,0.012,-0.02
7866,0.534,-0.242,-9.531,-0.007,0.012,-0.019
7969,0.543,-0.239,-9.536,-0.007,0.012,-0.02
8072,0.534,-0.242,-9.534,-0.008,0.012,-0.019
8175,0.536,-0.242,-9.541,-0.007,0.012,-0.02
8278,0.536,-0.23,-9.534,-0.008,0.013,-0.02
8381,0.543,-0.242,-9.534,-0.008,0.013,-0.02
8484,0.539,-0.256,-9.531,-0.008,0.013,-0.019
8587,0.543,-0.251,-9.536,-0.008,0.012,-0.02
8690,0.532,-0.244,-9.524,-0.008,0.011,-0.02
8793,0.534,-0.237,-9.534,-0.008,0.012,-0.019
8896,0.541,-0.247,-9.538,-0.007,0.012,-0.019
8999,0.515,-0.218,-9.586,-0.006,0.011,-0.014
9102,0.524,-0.247,-9.522,-0.007,0.012,-0.019
9205,0.532,-0.242,-9.543,-0.007,0.012,-0.019
9308,0.539,-0.249,-9.548,-0.008,0.012,-0.019
9411,0.546,-0.242,-9.541,-0.007,0.012,-0.02
9514,0.532,-0.254,-9.534,-0.008,0.012,-0.019
9617,0.543,-0.235,-9.534,-0.008,0.012,-0.019
9720,0.534,-0.251,-9.536,-0.008,0.012,-0.019
9823,0.536,-0.242,-9.536,-0.007,0.012,-0.019
9926,0.541,-0.242,-9.527,-0.008,0.012,-0.019
10029,0.534,-0.239,-9.519,-0.007,0.012,-0.019
10132,0.534,-0.242,-9.522,-0.007,0.012,-0.02
10235,0.541,-0.244,-9.534,-0.007,0.013,-0.019
10338,0.536,-0.247,-9.529,-0.008,0.013,-0.019
10441,0.539,-0.239,-9.548,-0.008,0.012,-0.019
10544,0.534,-0.247,-9.546,-0.007,0.012,-0.019
10647,0.534,-0.249,-9.543,-0.008,0.012,-0.02
10750,0.543,-0.242,-9.519,-0.008,0.012,-0.019
10853,0.529,-0.237,-9.536,-0.008,0.012,-0.02
10956,0.532,-0.249,-9.536,-0.008,0.012,-0.019
11059,0.527,-0.244,-9.529,-0.008,0.012,-0.019
11162,0.539,-0.237,-9.546,-0.008,0.012,-0.019
11265,0.515,-0.254,-9.524,-0.007,0.012,-0.019
11368,0.51,-0.261,-9.541,-0.008,0.013,-0.019
11471,0.539,-0.254,-9.527,-0.007,0.013,-0.02
11574,0.543,-0.247,-9.538,-0.007,0.012,-0.02
11677,0.536,-0.251,-9.531,-0.008,0.013,-0.019
11780,0.517,-0.259,-9.495,-0.008,0.012,-0.021
11883,0.548,-0.242,-9.548,-0.008,0.012,-0.02
11986,0.541,-0.244,-9.558,-0.007,0.012,-0.019
12089,0.539,-0.239,-9.531,-0.008,0.012,-0.019
12192,0.536,-0.237,-9.524,-0.007,0.012,-0.019
12295,0.536,-0.251,-9.524,-0.007,0.012,-0.019
12398,0.534,-0.237,-9.541,-0.008,0.013,-0.019
12501,0.534,-0.239,-9.529,-0.007,0.012,-0.019
12604,0.529,-0.239,-9.534,-0.008,0.012,-0.019
12707,0.529,-0.242,-9.522,-0.008,0.012,-0.019
12810,0.543,-0.23,-9.534,-0.008,0.012,-0.019
12913,0.555,-0.242,-9.531,-0.008,0.012,-0.019
13016,0.532,-0.237,-9.529,-0.008,0.012,-0.02
13119,0.539,-0.242,-9.519,-0.008,0.012,-0.019
13222,0.543,-0.235,-9.522,-0.008,0.013,-0.019
13325,0.541,-0.247,-9.522,-0.007,0.012,-0.019
13428,0.536,-0.244,-9.522,-0.007,0.012,-0.019
13531,0.541,-0.249,-9.515,-0.008,0.012,-0.02
13634,0.539,-0.242,-9.519,-0.008,0.012,-0.019
13737,0.548,-0.244,-9.536,-0.009,0.012,-0.019
13840,0.534,-0.232,-9.529,-0.008,0.012,-0.019
13943,0.534,-0.239,-9.527,-0.007,0.012,-0.02
14046,0.543,-0.237,-9.541,-0.008,0.012,-0.02
14149,0.543,-0.247,-9.529,-0.007,0.012,-0.019
14252,0.541,-0.239,-9.531,-0.008,0.012,-0.019
14355,0.536,-0.242,-9.524,-0.008,0.012,-0.019
14458,0.546,-0.232,-9.541,-0.008,0.012,-0.019
14561,0.553,-0.239,-9.517,-0.007,0.012,-0.019
14664,0.534,-0.239,-9.534,-0.008,0.011,-0.019
14767,0.536,-0.247,-9.543,-0.007,0.012,-0.019
14870,0.539,-0.239,-9.527,-0.007,0.012,-0.019
14973,0.539,-0.232,-9.546,-0.008,0.012,-0.02
15076,0.534,-0.251,-9.538,-0.008,0.012,-0.019
15179,0.539,-0.247,-9.529,-0.008,0.013,-0.019
15282,0.536,-0.239,-9.524,-0.008,0.012,-0.019
15385,0.543,-0.239,-9.529,-0.007,0.012,-0.019
15488,0.536,-0.254,-9.541,-0.008,0.012,-0.019
15591,0.541,-0.239,-9.538,-0.007,0.012,-0.019
15694,0.539,-0.239,-9.515,-0.008,0.012,-0.019
15797,0.532,-0.242,-9.546,-0.008,0.012,-0.02
15900,0.534,-0.242,-9.529,-0.007,0.012,-0.019
16003,0.534,-0.23,-9.536,-0.008,0.012,-0.019
16106,0.541,-0.242,-9.529,-0.008,0.012,-0.02
16209,0.543,-0.249,-9.536,-0.007,0.012,-0.019
16312,0.532,-0.244,-9.522,-0.007,0.012,-0.019
16415,0.532,-0.237,-9.541,-0.007,0.012,-0.019
16518,0.536,-0.244,-9.536,-0.007,0.013,-0.02
16621,0.546,-0.239,-9.522,-0.008,0.012,-0.019
16724,0.536,-0.247,-9.531,-0.007,0.011,-0.019
16827,0.534,-0.237,-9.519,-0.007,0.013,-0.02
16930,0.529,-0.239,-9.534,-0.008,0.012,-0.02
17033,0.534,-0.239,-9.546,-0.008,0.012,-0.019
17136,0.548,-0.235,-9.524,-0.008,0.013,-0.02
17239,0.536,-0.237,-9.527,-0.007,0.012,-0.019
17342,0.539,-0.239,-9.536,-0.007,0.013,-0.02
17445,0.539,-0.239,-9.519,-0.008,0.012,-0.02
17548,0.548,-0.242,-9.546,-0.007,0.012,-0.02
17651,0.546,-0.244,-9.527,-0.008,0.012,-0.019
17754,0.534,-0.239,-9.529,-0.007,0.012,-0.019
17857,0.543,-0.247,-9.527,-0.007,0.012,-0.02
17960,0.546,-0.249,-9.534,-0.008,0.012,-0.02
18063,0.539,-0.242,-9.541,-0.008,0.012,-0.02
18166,0.551,-0.242,-9.536,-0.008,0.012,-0.019
18269,0.536,-0.242,-9.529,-0.008,0.012,-0.02
18372,0.536,-0.244,-9.529,-0.008,0.012,-0.019
18475,0.536,-0.242,-9.529,-0.007,0.012,-0.019
18578,0.543,-0.242,-9.519,-0.008,0.013,-0.02
18681,0.532,-0.239,-9.515,-0.007,0.012,-0.019
18784,0.553,-0.251,-9.529,-0.008,0.012,-0.019
18887,0.548,-0.235,-9.524,-0.008,0.012,-0.019
18990,0.539,-0.242,-9.538,-0.008,0.012,-0.019
19093,0.541,-0.242,-9.548,-0.008,0.012,-0.02
19196,0.536,-0.242,-9.527,-0.008,0.012,-0.02
19299,0.534,-0.244,-9.536,-0.007,0.012,-0.019
19402,0.532,-0.244,-9.536,-0.008,0.013,-0.02
19505,0.536,-0.242,-9.529,-0.008,0.012,-0.02
19608,0.543,-0.239,-9.536,-0.008,0.012,-0.019
19711,0.541,-0.242,-9.546,-0.007,0.012,-0.019
19814,0.551,-0.249,-9.529,-0.007,0.012,-0.02
19917,0.543,-0.249,-9.534,-0.008,0.012,-0.019
20020,0.532,-0.237,-9.519,-0.008,0.012,-0.019
20123,0.539,-0.242,-9.524,-0.007,0.012,-0.019
20226,0.541,-0.251,-9.524,-0.008,0.012,-0.019
20329,0.548,-0.247,-9.531,-0.008,0.012,-0.019
20432,0.543,-0.232,-9.534,-0.008,0.011,-0.019
20535,0.534,-0.239,-9.529,-0.008,0.012,-0.02
20638,0.546,-0.242,-9.543,-0.007,0.012,-0.019
20741,0.539,-0.239,-9.541,-0.008,0.012,-0.019
20844,0.536,-0.237,-9.536,-0.008,0.012,-0.019
20947,0.534,-0.239,-9.536,-0.008,0.012,-0.019
21050,0.699,-0.259,-9.491,0.022,0.476,-0.026
21153,1.147,-0.278,-9.493,-0.001,0.121,-0.019
21256,1.125,-0.278,-9.471,-0.008,0.017,-0.019
21359,1.12,-0.283,-9.483,-0.007,0.012,-0.019
21462,1.132,-0.278,-9.481,-0.007,0.012,-0.019
21565,1.13,-0.283,-9.469,-0.008,0.012,-0.02
21668,1.135,-0.278,-9.479,-0.008,0.012,-0.019
21771,1.137,-0.278,-9.469,-0.007,0.013,-0.02
21874,1.135,-0.278,-9.471,-0.007,0.012,-0.019
21977,1.132,-0.278,-9.476,-0.008,0.013,-0.019
22080,1.125,-0.273,-9.467,-0.008,0.013,-0.02
22183,1.137,-0.285,-9.467,-0.008,0.012,-0.019
22286,1.13,-0.273,-9.488,-0.008,0.012,-0.019
22389,1.128,-0.275,-9.471,-0.008,0.012,-0.019
22492,1.135,-0.285,-9.479,-0.007,0.012,-0.02
22595,1.14,-0.292,-9.483,-0.007,0.012,-0.019
22698,1.13,-0.275,-9.491,-0.007,0.012,-0.02
22801,1.137,-0.275,-9.469,-0.007,0.012,-0.02
22904,1.128,-0.278,-9.469,-0.007,0.012,-0.02
23007,1.128,-0.287,-9.474,-0.007,0.012,-0.02
23110,1.13,-0.28,-9.469,-0.007,0.012,-0.02
23213,1.125,-0.28,-9.457,-0.008,0.012,-0.019
23316,1.128,-0.28,-9.469,-0.008,0.012,-0.019
23419,1.132,-0.285,-9.474,-0.007,0.012,-0.02
23522,1.125,-0.283,-9.481,-0.007,0.012,-0.02
23625,1.135,-0.271,-9.479,-0.007,0.012,-0.02
23728,1.125,-0.278,-9.469,-0.008,0.012,-0.02
23831,1.13,-0.283,-9.476,-0.008,0.012,-0.019
23934,1.123,-0.29,-9.488,-0.007,0.012,-0.019
24037,1.135,-0.275,-9.491,-0.008,0.012,-0.02
24140,1.13,-0.278,-9.474,-0.008,0.013,-0.02
24243,1.135,-0.278,-9.483,-0.008,0.012,-0.019
24346,1.13,-0.28,-9.486,-0.007,0.011,-0.02
24449,1.142,-0.278,-9.474,-0.008,0.012,-0.02
24552,1.14,-0.273,-9.471,-0.007,0.012,-0.02
24655,1.13,-0.283,-9.464,-0.007,0.012,-0.019
24758,1.116,-0.28,-9.476,-0.008,0.012,-0.02
24861,1.123,-0.283,-9.471,-0.008,0.012,-0.02
24964,1.125,-0.283,-9.476,-0.008,0.012,-0.02
25067,1.132,-0.285,-9.483,-0.007,0.012,-0.02
