time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
552,2.193,-0.189,-9.182,-0.004,0.013,-0.019
655,2.205,-0.196,-9.21,-0.004,0.014,-0.019
758,2.203,-0.194,-9.201,-0.004,0.013,-0.019
861,2.207,-0.189,-9.208,-0.005,0.014,-0.019
964,2.215,-0.194,-9.199,-0.004,0.013,-0.019
1067,2.222,-0.199,-9.201,-0.004,0.013,-0.019
1170,2.21,-0.189,-9.203,-0.004,0.013,-0.019
1273,2.21,-0.192,-9.199,-0.004,0.013,-0.019
1376,2.207,-0.204,-9.191,-0.004,0.013,-0.019
1479,2.205,-0.199,-9.194,-0.004,0.013,-0.019
1582,2.203,-0.194,-9.194,-0.004,0.014,-0.019
1685,2.205,-0.201,-9.199,-0.004,0.013,-0.019
1788,2.219,-0.196,-9.199,-0.004,0.013,-0.019
1891,2.222,-0.189,-9.199,-0.004,0.013,-0.019
1994,2.21,-0.196,-9.194,-0.004,0.013,-0.019
2097,2.215,-0.189,-9.206,-0.004,0.013,-0.019
2200,2.21,-0.199,-9.203,-0.004,0.013,-0.019
2303,2.207,-0.194,-9.199,-0.004,0.013,-0.019
2406,2.217,-0.199,-9.196,-0.004,0.013,-0.019
2509,2.2,-0.189,-9.191,-0.004,0.013,-0.019
2612,2.21,-0.194,-9.213,-0.004,0.013,-0.019
2715,2.203,-0.184,-9.213,-0.004,0.013,-0.019
2818,2.212,-0.196,-9.201,-0.004,0.013,-0.019
2921,2.215,-0.204,-9.206,-0.004,0.013,-0.019
3024,2.21,-0.199,-9.208,-0.004,0.013,-0.019
3127,2.21,-0.196,-9.201,-0.004,0.013,-0.019
3230,2.215,-0.194,-9.196,-0.004,0.013,-0.019
3333,2.21,-0.199,-9.196,-0.004,0.013,-0.019
3436,2.21,-0.192,-9.21,-0.003,0.013,-0.019
3539,2.2,-0.201,-9.201,-0.003,0.013,-0.019
3642,2.205,-0.192,-9.213,-0.004,0.013,-0.019
3745,2.212,-0.194,-9.196,-0.004,0.013,-0.019
3848,2.2,-0.206,-9.201,-0.004,0.013,-0.019
3951,2.203,-0.206,-9.21,-0.004,0.013,-0.019
4054,2.212,-0.199,-9.194,-0.005,0.013,-0.019
4157,2.212,-0.201,-9.199,-0.004,0.013,-0.019
4260,2.215,-0.204,-9.196,-0.004,0.013,-0.019
4363,2.207,-0.194,-9.21,-0.004,0.013,-0.019
4466,2.215,-0.199,-9.201,-0.004,0.013,-0.019
4569,2.205,-0.192,-9.206,-0.004,0.013,-0.019
4672,2.205,-0.199,-9.206,-0.004,0.013,-0.019
4775,2.215,-0.199,-9.199,-0.004,0.013,-0.019
4878,2.212,-0.194,-9.201,-0.004,0.013,-0.019
4981,2.21,-0.187,-9.189,-0.003,0.013,-0.019
5084,2.21,-0.196,-9.196,-0.003,0.013,-0.019
5187,2.198,-0.184,-9.189,-0.003,0.014,-0.019
5290,2.203,-0.199,-9.206,-0.004,0.014,-0.019
5393,2.198,-0.206,-9.201,-0.004,0.013,-0.019
5496,2.219,-0.211,-9.206,-0.005,0.014,-0.02
5599,2.215,-0.206,-9.203,-0.004,0.014,-0.019
5702,2.217,-0.187,-9.215,-0.004,0.013,-0.019
5805,2.2,-0.187,-9.189,-0.003,0.012,-0.019
5908,2.198,-0.189,-9.182,-0.003,0.014,-0.019
6011,2.203,-0.194,-9.194,-0.003,0.013,-0.019
6114,2.193,-0.208,-9.203,-0.004,0.013,-0.019
6217,2.217,-0.194,-9.196,-0.004,0.013,-0.019
