time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
656,-0.599,-0.182,-9.443,-0.004,0.012,-0.006
759,-0.601,-0.18,-9.426,-0.004,0.012,-0.005
862,-0.608,-0.172,-9.428,-0.005,0.012,-0.006
965,-0.606,-0.18,-9.438,-0.004,0.011,-0.006
1068,-0.601,-0.18,-9.436,-0.004,0.012,-0.006
1171,-0.606,-0.17,-9.433,-0.004,0.012,-0.006
1274,-0.589,-0.177,-9.428,-0.005,0.012,-0.006
1377,-0.606,-0.18,-9.426,-0.004,0.011,-0.006
1480,-0.606,-0.177,-9.436,-0.004,0.011,-0.006
1583,-0.611,-0.175,-9.443,-0.006,0.009,-0.006
1686,-0.603,-0.184,-9.424,-0.004,0.01,-0.007
1789,-0.603,-0.184,-9.431,-0.005,0.011,-0.006
1892,-0.613,-0.184,-9.433,-0.005,0.011,-0.006
1995,-0.615,-0.184,-9.436,-0.004,0.012,-0.006
2098,-0.608,-0.168,-9.448,-0.005,0.011,-0.006
2201,-0.611,-0.175,-9.431,-0.005,0.011,-0.006
2304,-0.603,-0.177,-9.428,-0.005,0.011,-0.006
2407,-0.608,-0.177,-9.414,-0.005,0.011,-0.006
2510,-0.613,-0.18,-9.428,-0.005,0.011,-0.006
2613,-0.613,-0.172,-9.436,-0.004,0.012,-0.006
2716,-0.606,-0.163,-9.44,-0.004,0.011,-0.006
2819,-0.611,-0.182,-9.436,-0.004,0.011,-0.006
2922,-0.613,-0.175,-9.419,-0.004,0.012,-0.006
3025,-0.606,-0.177,-9.426,-0.005,0.011,-0.006
3128,-0.613,-0.175,-9.424,-0.005,0.011,-0.006
3231,-0.611,-0.182,-9.436,-0.005,0.011,-0.006
3334,-0.601,-0.182,-9.436,-0.005,0.011,-0.006
3437,-0.603,-0.18,-9.438,-0.004,0.012,-0.006
3540,-0.608,-0.175,-9.431,-0.005,0.012,-0.006
3643,-0.615,-0.18,-9.419,-0.005,0.012,-0.006
3746,-0.608,-0.187,-9.426,-0.004,0.011,-0.006
3849,-0.603,-0.18,-9.431,-0.004,0.011,-0.006
3952,-0.608,-0.172,-9.421,-0.004,0.012,-0.006
4055,-0.603,-0.18,-9.428,-0.004,0.012,-0.006
4158,-0.599,-0.182,-9.426,-0.004,0.011,-0.006
4261,-0.613,-0.163,-9.443,-0.005,0.011,-0.006
4364,-0.608,-0.177,-9.428,-0.004,0.011,-0.006
4467,-0.599,-0.17,-9.438,-0.004,0.011,-0.006
4570,-0.608,-0.18,-9.426,-0.005,0.011,-0.006
4673,-0.603,-0.172,-9.45,-0.004,0.011,-0.006
4776,-0.603,-0.175,-9.44,-0.004,0.011,-0.006
4879,-0.608,-0.177,-9.431,-0.004,0.011,-0.006
4982,-0.615,-0.184,-9.438,-0.004,0.012,-0.006
5085,-0.608,-0.182,-9.443,-0.004,0.011,-0.006
5188,-0.606,-0.182,-9.448,-0.004,0.011,-0.006
5291,-0.606,-0.182,-9.433,-0.004,0.012,-0.006
5394,-0.618,-0.187,-9.428,-0.005,0.011,-0.006
5497,-0.599,-0.184,-9.443,-0.003,0.011,-0.007
5600,-0.611,-0.175,-9.445,-0.004,0.012,-0.006
5703,-0.603,-0.18,-9.448,-0.004,0.011,-0.006
5806,-0.603,-0.175,-9.436,-0.004,0.011,-0.006
5909,-0.608,-0.168,-9.438,-0.005,0.012,-0.006
6012,-0.608,-0.182,-9.44,-0.004,0.012,-0.006
6115,-0.613,-0.168,-9.443,-0.004,0.012,-0.006
6218,-0.601,-0.172,-9.443,-0.005,0.012,-0.006
6321,-0.594,-0.182,-9.445,-0.005,0.011,-0.006
6424,-0.599,-0.165,-9.445,-0.005,0.011,-0.006
6527,-0.599,-0.182,-9.44,-0.005,0.012,-0.006
6630,-0.611,-0.18,-9.424,-0.004,0.012,-0.006
6733,-0.601,-0.175,-9.445,-0.005,0.012,-0.006
6836,-0.608,-0.17,-9.438,-0.004,0.011,-0.006
6939,-0.611,-0.177,-9.44,-0.004,0.011,-0.006
7042,-0.611,-0.16,-9.438,-0.004,0.011,-0.006
7145,-0.608,-0.177,-9.426,-0.004,0.012,-0.006
7248,-0.601,-0.182,-9.438,-0.004,0.012,-0.006
7351,-0.611,-0.17,-9.436,-0.004,0.011,-0.006
