time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
656,-1.123,-1.243,-9.376,-0.009,0.009,-0.023
759,-1.118,-1.24,-9.376,-0.009,0.009,-0.023
862,-1.125,-1.238,-9.376,-0.009,0.01,-0.023
965,-1.13,-1.243,-9.371,-0.009,0.01,-0.024
1068,-1.12,-1.24,-9.366,-0.009,0.009,-0.023
1171,-1.123,-1.245,-9.361,-0.009,0.009,-0.023
1274,-1.125,-1.245,-9.383,-0.009,0.009,-0.023
1377,-1.123,-1.235,-9.359,-0.009,0.009,-0.023
1480,-1.12,-1.231,-9.366,-0.009,0.009,-0.023
1583,-1.123,-1.245,-9.349,-0.009,0.01,-0.023
1686,-1.12,-1.235,-9.38,-0.009,0.009,-0.023
1789,-1.13,-1.231,-9.376,-0.009,0.009,-0.023
1892,-1.13,-1.238,-9.357,-0.009,0.009,-0.023
1995,-1.128,-1.243,-9.366,-0.009,0.009,-0.023
2098,-1.128,-1.262,-9.376,-0.009,0.009,-0.023
2201,-1.128,-1.243,-9.369,-0.01,0.009,-0.023
2304,-1.12,-1.228,-9.361,-0.009,0.009,-0.023
2407,-1.12,-1.243,-9.361,-0.009,0.009,-0.023
2510,-1.12,-1.245,-9.354,-0.009,0.009,-0.023
2613,-1.13,-1.257,-9.378,-0.009,0.009,-0.023
2716,-1.113,-1.238,-9.361,-0.008,0.009,-0.023
2819,-1.123,-1.24,-9.366,-0.009,0.009,-0.023
2922,-1.12,-1.245,-9.369,-0.009,0.009,-0.023
3025,-1.125,-1.25,-9.371,-0.009,0.009,-0.023
3128,-1.12,-1.247,-9.354,-0.009,0.009,-0.023
3231,-1.116,-1.233,-9.369,-0.009,0.009,-0.023
3334,-1.12,-1.235,-9.357,-0.009,0.009,-0.023
3437,-1.12,-1.231,-9.39,-0.009,0.009,-0.023
3540,-1.118,-1.235,-9.373,-0.009,0.009,-0.023
3643,-1.116,-1.245,-9.359,-0.008,0.009,-0.023
3746,-1.118,-1.235,-9.366,-0.009,0.009,-0.023
3849,-1.118,-1.238,-9.373,-0.009,0.009,-0.023
3952,-1.123,-1.245,-9.376,-0.009,0.009,-0.023
4055,-1.116,-1.235,-9.376,-0.009,0.009,-0.024
4158,-1.123,-1.243,-9.361,-0.01,0.009,-0.023
4261,-1.118,-1.238,-9.378,-0.009,0.009,-0.023
4364,-1.116,-1.245,-9.39,-0.009,0.009,-0.023
4467,-1.12,-1.231,-9.371,-0.009,0.009,-0.023
4570,-1.12,-1.238,-9.364,-0.009,0.009,-0.023
4673,-1.13,-1.238,-9.371,-0.009,0.009,-0.023
4776,-1.118,-1.235,-9.373,-0.009,0.009,-0.023
4879,-1.116,-1.24,-9.371,-0.009,0.009,-0.023
4982,-1.132,-1.238,-9.376,-0.009,0.009,-0.023
5085,-1.128,-1.235,-9.373,-0.009,0.009,-0.023
5188,-1.12,-1.247,-9.361,-0.009,0.009,-0.023
5291,-1.135,-1.233,-9.369,-0.009,0.009,-0.023
5394,-1.137,-1.231,-9.376,-0.009,0.009,-0.023
5497,-1.13,-1.243,-9.376,-0.009,0.009,-0.023
5600,-1.128,-1.243,-9.378,-0.009,0.009,-0.023
5703,-1.116,-1.238,-9.371,-0.009,0.009,-0.023
5806,-1.128,-1.243,-9.373,-0.009,0.009,-0.023
5909,-1.116,-1.24,-9.383,-0.009,0.009,-0.023
6012,-1.123,-1.245,-9.371,-0.009,0.009,-0.023
6115,-1.12,-1.228,-9.376,-0.009,0.009,-0.023
6218,-1.13,-1.245,-9.366,-0.009,0.01,-0.023
6321,-1.132,-1.24,-9.364,-0.009,0.009,-0.023
6424,-1.128,-1.235,-9.371,-0.009,0.009,-0.023
6527,-1.13,-1.235,-9.369,-0.009,0.009,-0.023
6630,-1.128,-1.243,-9.373,-0.009,0.009,-0.023
6733,-1.132,-1.24,-9.366,-0.009,0.009,-0.023
6836,-1.128,-1.231,-9.378,-0.009,0.009,-0.023
6939,-1.125,-1.243,-9.373,-0.009,0.009,-0.023
7042,-1.12,-1.238,-9.371,-0.01,0.009,-0.024
7145,-1.113,-1.233,-9.366,-0.009,0.009,-0.023
7248,-1.125,-1.24,-9.373,-0.009,0.009,-0.023
7351,-1.123,-1.238,-9.359,-0.009,0.009,-0.023
7454,-1.125,-1.25,-9.366,-0.009,0.009,-0.023
7557,-1.123,-1.238,-9.371,-0.009,0.009,-0.023
7660,-1.125,-1.235,-9.369,-0.009,0.009,-0.023
7763,-1.13,-1.231,-9.352,-0.009,0.009,-0.023
7866,-1.125,-1.235,-9.38,-0.009,0.009,-0.023
7969,-1.123,-1.243,-9.376,-0.009,0.009,-0.023
8072,-1.125,-1.235,-9.373,-0.009,0.009,-0.023
8175,-1.116,-1.245,-9.376,-0.009,0.009,-0.023
8278,-1.123,-1.243,-9.364,-0.009,0.01,-0.023
8381,-1.135,-1.238,-9.371,-0.009,0.009,-0.023
8484,-1.125,-1.235,-9.371,-0.009,0.009,-0.023
8587,-1.132,-1.231,-9.371,-0.009,0.009,-0.023
8690,-1.125,-1.226,-9.357,-0.009,0.009,-0.023
8793,-1.13,-1.247,-9.373,-0.009,0.009,-0.023
8896,-1.13,-1.226,-9.369,-0.009,0.009,-0.023
8999,-1.13,-1.243,-9.373,-0.009,0.009,-0.023
9102,-1.132,-1.233,-9.388,-0.009,0.009,-0.023
9205,-1.12,-1.231,-9.371,-0.009,0.009,-0.023
9308,-1.106,-1.235,-9.383,-0.009,0.009,-0.023
9411,-1.12,-1.243,-9.369,-0.009,0.009,-0.023
9514,-1.123,-1.24,-9.369,-0.009,0.009,-0.023
9617,-1.116,-1.238,-9.373,-0.009,0.009,-0.023
9720,-1.123,-1.243,-9.361,-0.009,0.009,-0.023
9823,-1.123,-1.24,-9.376,-0.009,0.009,-0.023
9926,-1.128,-1.235,-9.366,-0.009,0.009,-0.023
10029,-1.12,-1.231,-9.369,-0.009,0.009,-0.023
10132,-1.123,-1.231,-9.371,-0.009,0.009,-0.023
10235,-1.116,-1.243,-9.357,-0.009,0.009,-0.023
10338,-1.116,-1.24,-9.364,-0.009,0.009,-0.023
10441,-1.128,-1.245,-9.388,-0.009,0.009,-0.023
10544,-1.12,-1.243,-9.364,-0.009,0.009,-0.023
10647,-1.132,-1.235,-9.376,-0.009,0.009,-0.023
10750,-1.12,-1.238,-9.366,-0.009,0.009,-0.023
10853,-1.13,-1.238,-9.371,-0.009,0.01,-0.023
10956,-1.13,-1.238,-9.376,-0.009,0.009,-0.023
11059,-1.12,-1.245,-9.364,-0.009,0.009,-0.023
11162,-1.125,-1.235,-9.376,-0.009,0.009,-0.023
11265,-1.111,-1.238,-9.385,-0.009,0.009,-0.023
11368,-1.125,-1.243,-9.366,-0.009,0.009,-0.023
11471,-1.128,-1.238,-9.359,-0.009,0.008,-0.023
11574,-1.123,-1.233,-9.38,-0.009,0.009,-0.023
11677,-1.118,-1.238,-9.371,-0.009,0.009,-0.023
11780,-1.123,-1.245,-9.369,-0.009,0.009,-0.023
11883,-1.128,-1.245,-9.378,-0.009,0.009,-0.023
11986,-1.125,-1.24,-9.373,-0.009,0.009,-0.023
12089,-1.125,-1.235,-9.361,-0.009,0.009,-0.023
12192,-1.132,-1.238,-9.364,-0.009,0.009,-0.023
12295,-1.125,-1.233,-9.364,-0.009,0.009,-0.023
12398,-1.123,-1.243,-9.352,-0.009,0.009,-0.023
12501,-1.125,-1.235,-9.373,-0.009,0.009,-0.023
12604,-1.13,-1.235,-9.38,-0.009,0.009,-0.023
12707,-1.123,-1.24,-9.371,-0.009,0.009,-0.023
12810,-1.137,-1.24,-9.371,-0.009,0.009,-0.023
12913,-1.128,-1.245,-9.369,-0.009,0.009,-0.023
13016,-1.128,-1.245,-9.361,-0.009,0.009,-0.023
13119,-1.118,-1.238,-9.378,-0.009,0.009,-0.023
13222,-1.128,-1.238,-9.376,-0.009,0.009,-0.023
13325,-1.123,-1.24,-9.376,-0.009,0.009,-0.023
13428,-1.12,-1.235,-9.373,-0.009,0.009,-0.024
13531,-1.132,-1.228,-9.371,-0.009,0.009,-0.023
13634,-1.12,-1.247,-9.378,-0.009,0.009,-0.023
13737,-1.12,-1.247,-9.357,-0.009,0.009,-0.023
13840,-1.128,-1.235,-9.383,-0.009,0.009,-0.023
13943,-1.128,-1.223,-9.364,-0.009,0.009,-0.023
14046,-1.13,-1.226,-9.364,-0.009,0.009,-0.023
14149,-1.13,-1.233,-9.369,-0.009,0.009,-0.023
14252,-1.113,-1.233,-9.364,-0.009,0.009,-0.023
14355,-1.125,-1.243,-9.371,-0.009,0.009,-0.023
14458,-1.123,-1.235,-9.383,-0.009,0.009,-0.023
14561,-1.132,-1.228,-9.38,-0.009,0.009,-0.023
14664,-1.116,-1.226,-9.373,-0.009,0.009,-0.023
14767,-1.123,-1.228,-9.378,-0.009,0.009,-0.023
14870,-1.135,-1.238,-9.369,-0.009,0.009,-0.023
14973,-1.13,-1.233,-9.38,-0.009,0.009,-0.023
15076,-1.125,-1.24,-9.38,-0.009,0.009,-0.023
15179,-1.132,-1.245,-9.361,-0.009,0.009,-0.023
