time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
655,-0.132,-1.568,-9.297,-0.005,0.01,-0.003
758,-0.151,-1.568,-9.301,-0.005,0.009,-0.003
861,-0.146,-1.585,-9.313,-0.006,0.009,-0.004
964,-0.132,-1.573,-9.311,-0.005,0.01,-0.003
1067,-0.134,-1.602,-9.294,-0.005,0.009,-0.003
1170,-0.144,-1.595,-9.316,-0.005,0.01,-0.004
1273,-0.141,-1.568,-9.321,-0.005,0.01,-0.004
1376,-0.134,-1.571,-9.323,-0.005,0.01,-0.003
1479,-0.136,-1.568,-9.301,-0.005,0.01,-0.003
1582,-0.117,-1.568,-9.321,-0.005,0.01,-0.003
1685,-0.134,-1.571,-9.316,-0.006,0.01,-0.004
1788,-0.139,-1.575,-9.311,-0.006,0.01,-0.003
1891,-0.136,-1.587,-9.306,-0.005,0.01,-0.004
1994,-0.127,-1.597,-9.309,-0.005,0.009,-0.003
2097,-0.146,-1.578,-9.311,-0.005,0.01,-0.003
2200,-0.146,-1.571,-9.304,-0.005,0.01,-0.003
2303,-0.146,-1.568,-9.316,-0.005,0.009,-0.004
2406,-0.144,-1.556,-9.316,-0.006,0.01,-0.004
2509,-0.144,-1.566,-9.318,-0.006,0.01,-0.004
2612,-0.132,-1.575,-9.316,-0.006,0.009,-0.004
2715,-0.139,-1.568,-9.313,-0.005,0.009,-0.003
2818,-0.136,-1.587,-9.323,-0.005,0.01,-0.003
2921,-0.136,-1.595,-9.309,-0.006,0.009,-0.003
3024,-0.134,-1.583,-9.311,-0.006,0.009,-0.003
3127,-0.139,-1.583,-9.316,-0.006,0.01,-0.004
3230,-0.141,-1.568,-9.297,-0.006,0.009,-0.004
3333,-0.151,-1.583,-9.316,-0.005,0.01,-0.004
3436,-0.146,-1.554,-9.287,-0.006,0.009,-0.004
3539,-0.153,-1.573,-9.304,-0.005,0.01,-0.003
3642,-0.146,-1.583,-9.318,-0.006,0.01,-0.003
3745,-0.132,-1.58,-9.318,-0.006,0.009,-0.003
3848,-0.146,-1.583,-9.318,-0.006,0.009,-0.003
3951,-0.136,-1.58,-9.313,-0.005,0.01,-0.003
4054,-0.144,-1.585,-9.321,-0.006,0.009,-0.004
4157,-0.146,-1.573,-9.313,-0.006,0.01,-0.003
4260,-0.136,-1.571,-9.321,-0.005,0.009,-0.003
4363,-0.148,-1.573,-9.325,-0.005,0.01,-0.003
4466,-0.136,-1.566,-9.33,-0.005,0.009,-0.003
4569,-0.129,-1.578,-9.304,-0.005,0.009,-0.003
4672,-0.139,-1.585,-9.309,-0.006,0.01,-0.004
4775,-0.144,-1.592,-9.325,-0.005,0.01,-0.003
4878,-0.144,-1.575,-9.316,-0.006,0.01,-0.003
4981,-0.136,-1.566,-9.311,-0.006,0.01,-0.003
5084,-0.139,-1.573,-9.328,-0.005,0.009,-0.003
5187,-0.144,-1.573,-9.313,-0.005,0.009,-0.003
5290,-0.139,-1.587,-9.323,-0.005,0.009,-0.003
5393,-0.132,-1.566,-9.313,-0.006,0.009,-0.003
