time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
656,9.689,-0.098,0.781,-0.007,0.008,0.011
759,9.699,-0.093,0.781,-0.007,0.007,0.012
862,9.699,-0.086,0.781,-0.007,0.007,0.012
965,9.697,-0.084,0.792,-0.008,0.007,0.012
1068,9.687,-0.105,0.759,-0.008,0.007,0.011
1171,9.699,-0.089,0.785,-0.007,0.008,0.013
1274,9.694,-0.091,0.807,-0.008,0.008,0.013
1377,9.687,-0.084,0.778,-0.008,0.007,0.012
1480,9.694,-0.093,0.797,-0.007,0.007,0.012
1583,9.685,-0.098,0.8,-0.008,0.007,0.012
1686,9.697,-0.096,0.778,-0.007,0.007,0.012
1789,9.697,-0.089,0.773,-0.008,0.007,0.012
1892,9.687,-0.098,0.792,-0.007,0.007,0.011
1995,9.677,-0.096,0.761,-0.008,0.007,0.012
2098,9.692,-0.086,0.778,-0.007,0.007,0.013
2201,9.685,-0.093,0.778,-0.007,0.008,0.012
2304,9.692,-0.089,0.771,-0.007,0.007,0.012
2407,9.692,-0.103,0.795,-0.007,0.007,0.012
2510,9.685,-0.086,0.781,-0.007,0.008,0.012
2613,9.701,-0.079,0.792,-0.007,0.008,0.011
2716,9.689,-0.081,0.742,-0.009,0.007,0.013
2819,9.68,-0.144,0.812,-0.006,0.008,0.01
2922,9.699,-0.086,0.788,-0.007,0.007,0.012
3025,9.682,-0.098,0.766,-0.007,0.007,0.012
3128,9.694,-0.093,0.781,-0.007,0.008,0.011
3231,9.692,-0.086,0.776,-0.007,0.007,0.012
3334,9.685,-0.096,0.766,-0.008,0.008,0.012
3437,9.692,-0.081,0.776,-0.007,0.008,0.011
3540,9.687,-0.096,0.781,-0.007,0.007,0.012
3643,9.682,-0.101,0.776,-0.007,0.008,0.012
3746,9.697,-0.089,0.776,-0.007,0.008,0.011
3849,9.694,-0.103,0.773,-0.007,0.008,0.012
3952,9.682,-0.091,0.778,-0.007,0.007,0.012
4055,9.699,-0.091,0.769,-0.007,0.007,0.012
4158,9.685,-0.103,0.769,-0.007,0.007,0.012
4261,9.692,-0.089,0.776,-0.007,0.008,0.012
4364,9.694,-0.089,0.769,-0.007,0.007,0.012
4467,9.692,-0.101,0.8,-0.007,0.007,0.012
4570,9.701,-0.093,0.776,-0.007,0.007,0.012
4673,9.685,-0.098,0.781,-0.007,0.007,0.012
4776,9.689,-0.093,0.769,-0.007,0.007,0.013
4879,9.687,-0.098,0.776,-0.007,0.007,0.012
4982,9.685,-0.105,0.79,-0.008,0.007,0.012
5085,9.685,-0.081,0.776,-0.007,0.008,0.011
5188,9.694,-0.086,0.781,-0.007,0.008,0.012
5291,9.701,-0.091,0.785,-0.008,0.007,0.011
5394,9.697,-0.091,0.773,-0.007,0.007,0.012
5497,9.694,-0.091,0.766,-0.007,0.007,0.012
5600,9.677,-0.093,0.79,-0.008,0.007,0.012
5703,9.697,-0.089,0.788,-0.007,0.008,0.012
5806,9.694,-0.093,0.788,-0.007,0.007,0.012
5909,9.697,-0.091,0.773,-0.007,0.007,0.013
6012,9.701,-0.091,0.785,-0.007,0.007,0.012
6115,9.694,-0.103,0.771,-0.007,0.007,0.012
6218,9.692,-0.086,0.785,-0.007,0.008,0.012
6321,9.699,-0.098,0.773,-0.007,0.007,0.012
6424,9.694,-0.098,0.788,-0.007,0.007,0.011
6527,9.699,-0.089,0.783,-0.007,0.007,0.012
6630,9.692,-0.093,0.795,-0.008,0.008,0.012
6733,9.685,-0.096,0.778,-0.008,0.007,0.012
6836,9.697,-0.086,0.769,-0.007,0.008,0.012
6939,9.689,-0.101,0.792,-0.007,0.007,0.012
7042,9.699,-0.089,0.785,-0.007,0.007,0.013
7145,9.699,-0.086,0.776,-0.007,0.008,0.012
7248,9.689,-0.098,0.783,-0.007,0.007,0.012
7351,9.692,-0.091,0.778,-0.007,0.007,0.012
7454,9.689,-0.089,0.778,-0.008,0.007,0.012
7557,9.689,-0.084,0.771,-0.007,0.007,0.012
7660,9.699,-0.093,0.795,-0.007,0.008,0.011
7763,9.699,-0.091,0.79,-0.008,0.007,0.012
7866,9.687,-0.103,0.781,-0.008,0.007,0.012
7969,9.699,-0.091,0.788,-0.008,0.007,0.012
8072,9.685,-0.105,0.778,-0.007,0.008,0.013
8175,9.68,-0.089,0.788,-0.007,0.007,0.012
8278,9.689,-0.096,0.792,-0.007,0.007,0.013
8381,9.697,-0.096,0.769,-0.008,0.008,0.012
8484,9.699,-0.084,0.781,-0.007,0.008,0.012
8587,9.689,-0.086,0.792,-0.007,0.007,0.012
8690,9.694,-0.096,0.769,-0.007,0.008,0.012
8793,9.689,-0.081,0.776,-0.008,0.007,0.012
8896,9.689,-0.098,0.781,-0.007,0.007,0.012
8999,9.689,-0.096,0.781,-0.008,0.007,0.012
9102,9.692,-0.093,0.778,-0.008,0.007,0.012
9205,9.689,-0.089,0.773,-0.007,0.007,0.012
9308,9.689,-0.103,0.771,-0.007,0.007,0.012
9411,9.697,-0.093,0.788,-0.007,0.007,0.012
9514,9.682,-0.089,0.757,-0.007,0.007,0.012
9617,9.694,-0.091,0.776,-0.007,0.007,0.012
9720,9.697,-0.096,0.781,-0.008,0.007,0.012
9823,9.692,-0.093,0.795,-0.008,0.008,0.012
9926,9.692,-0.093,0.785,-0.007,0.007,0.012
10029,9.687,-0.091,0.788,-0.007,0.007,0.012
10132,9.687,-0.098,0.778,-0.007,0.008,0.012
10235,9.685,-0.091,0.783,-0.007,0.007,0.011
10338,9.699,-0.101,0.778,-0.007,0.007,0.012
10441,9.687,-0.091,0.783,-0.007,0.007,0.012
10544,9.697,-0.093,0.781,-0.008,0.007,0.012
10647,9.689,-0.093,0.783,-0.008,0.007,0.012
10750,9.694,-0.091,0.764,-0.007,0.007,0.012
10853,9.697,-0.096,0.783,-0.007,0.007,0.012
10956,9.699,-0.091,0.778,-0.007,0.008,0.011
11059,9.692,-0.098,0.783,-0.007,0.007,0.011
11162,9.692,-0.103,0.778,-0.008,0.007,0.011
11265,9.687,-0.093,0.781,-0.007,0.007,0.011
11368,9.694,-0.084,0.788,-0.007,0.007,0.012
11471,9.687,-0.105,0.792,-0.007,0.008,0.013
11574,9.692,-0.091,0.807,-0.007,0.007,0.012
11677,9.692,-0.084,0.773,-0.007,0.007,0.012
11780,9.682,-0.093,0.771,-0.008,0.007,0.011
11883,9.701,-0.091,0.773,-0.007,0.008,0.012
11986,9.687,-0.101,0.792,-0.008,0.008,0.012
12089,9.692,-0.091,0.783,-0.008,0.007,0.012
12192,9.697,-0.093,0.776,-0.007,0.008,0.012
12295,9.694,-0.098,0.773,-0.007,0.007,0.012
12398,9.701,-0.089,0.773,-0.008,0.007,0.012
12501,9.706,-0.084,0.771,-0.007,0.007,0.012
12604,9.689,-0.089,0.773,-0.007,0.007,0.012
12707,9.689,-0.096,0.771,-0.007,0.008,0.012
12810,9.68,-0.108,0.776,-0.007,0.007,0.012
12913,9.692,-0.091,0.778,-0.007,0.007,0.012
13016,9.689,-0.091,0.778,-0.007,0.008,0.012
13119,9.694,-0.096,0.778,-0.007,0.007,0.012
13222,9.685,-0.091,0.776,-0.007,0.007,0.012
13325,9.692,-0.093,0.766,-0.007,0.007,0.012
13428,9.692,-0.103,0.764,-0.007,0.007,0.012
13531,9.692,-0.084,0.776,-0.007,0.007,0.012
13634,9.699,-0.086,0.788,-0.007,0.007,0.012
13737,9.68,-0.096,0.773,-0.008,0.007,0.012
13840,9.699,-0.101,0.778,-0.007,0.008,0.013
13943,9.699,-0.091,0.788,-0.008,0.007,0.012
14046,9.694,-0.101,0.778,-0.007,0.007,0.012
14149,9.692,-0.098,0.773,-0.007,0.007,0.012
14252,9.694,-0.098,0.778,-0.007,0.008,0.012
14355,9.697,-0.093,0.764,-0.007,0.008,0.012
14458,9.697,-0.089,0.792,-0.008,0.007,0.012
14561,9.68,-0.103,0.781,-0.008,0.007,0.012
14664,9.694,-0.093,0.764,-0.007,0.007,0.012
14767,9.692,-0.091,0.778,-0.007,0.007,0.012
14870,9.699,-0.098,0.783,-0.007,0.007,0.012
14973,9.697,-0.093,0.783,-0.007,0.007,0.012
15076,9.692,-0.086,0.771,-0.007,0.007,0.012
15179,9.689,-0.093,0.769,-0.007,0.007,0.012
15282,9.692,-0.086,0.788,-0.008,0.008,0.012
15385,9.687,-0.084,0.771,-0.007,0.007,0.012
15488,9.692,-0.091,0.781,-0.007,0.007,0.012
15591,9.699,-0.096,0.776,-0.007,0.007,0.012
15694,9.699,-0.098,0.776,-0.007,0.007,0.011
15797,9.689,-0.093,0.771,-0.007,0.008,0.011
15900,9.699,-0.081,0.781,-0.007,0.007,0.012
16003,9.689,-0.103,0.783,-0.007,0.007,0.012
16106,9.697,-0.093,0.771,-0.007,0.007,0.012
