time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
655,-9.826,-0.053,1.851,-0.005,0.012,-0.02
758,-9.838,-0.048,1.832,-0.004,0.012,-0.02
861,-9.838,-0.057,1.841,-0.004,0.012,-0.02
964,-9.84,-0.06,1.853,-0.005,0.012,-0.02
1067,-9.838,-0.055,1.856,-0.004,0.013,-0.02
1170,-9.833,-0.045,1.846,-0.004,0.012,-0.02
1273,-9.828,-0.057,1.87,-0.004,0.012,-0.02
1376,-9.823,-0.05,1.863,-0.004,0.012,-0.02
1479,-9.838,-0.055,1.865,-0.004,0.012,-0.02
1582,-9.831,-0.06,1.846,-0.004,0.012,-0.019
1685,-9.833,-0.05,1.841,-0.004,0.012,-0.02
1788,-9.823,-0.045,1.844,-0.004,0.012,-0.02
1891,-9.84,-0.062,1.836,-0.004,0.011,-0.02
1994,-9.835,-0.053,1.846,-0.005,0.012,-0.02
2097,-9.838,-0.043,1.851,-0.004,0.012,-0.019
2200,-9.828,-0.05,1.853,-0.004,0.013,-0.02
2303,-9.828,-0.05,1.851,-0.004,0.012,-0.02
2406,-9.838,-0.055,1.856,-0.004,0.012,-0.019
2509,-9.826,-0.055,1.86,-0.004,0.012,-0.019
2612,-9.835,-0.055,1.841,-0.004,0.013,-0.02
2715,-9.826,-0.05,1.865,-0.004,0.012,-0.02
2818,-9.831,-0.057,1.858,-0.004,0.012,-0.02
2921,-9.831,-0.053,1.836,-0.004,0.012,-0.02
3024,-9.833,-0.055,1.858,-0.004,0.012,-0.02
3127,-9.833,-0.053,1.844,-0.004,0.012,-0.02
3230,-9.833,-0.053,1.851,-0.004,0.012,-0.02
3333,-9.833,-0.055,1.856,-0.004,0.012,-0.02
3436,-9.835,-0.057,1.844,-0.004,0.012,-0.02
3539,-9.835,-0.057,1.846,-0.004,0.012,-0.02
3642,-9.835,-0.053,1.851,-0.004,0.012,-0.02
3745,-9.84,-0.057,1.848,-0.004,0.012,-0.02
3848,-9.831,-0.055,1.848,-0.005,0.011,-0.02
3951,-9.833,-0.057,1.846,-0.005,0.012,-0.02
4054,-9.845,-0.045,1.858,-0.004,0.012,-0.02
4157,-9.838,-0.065,1.848,-0.004,0.012,-0.02
4260,-9.838,-0.045,1.848,-0.004,0.012,-0.02
4363,-9.833,-0.05,1.858,-0.004,0.012,-0.02
4466,-9.835,-0.053,1.836,-0.004,0.013,-0.02
4569,-9.84,-0.057,1.848,-0.004,0.012,-0.02
4672,-9.828,-0.065,1.841,-0.004,0.012,-0.02
4775,-9.838,-0.057,1.839,-0.004,0.013,-0.019
4878,-9.826,-0.053,1.853,-0.004,0.012,-0.02
4981,-9.823,-0.057,1.856,-0.004,0.011,-0.02
5084,-9.833,-0.05,1.86,-0.004,0.012,-0.02
5187,-9.838,-0.065,1.846,-0.004,0.012,-0.019
5290,-9.838,-0.053,1.848,-0.004,0.012,-0.02
5393,-9.845,-0.055,1.851,-0.004,0.012,-0.02
5496,-9.831,-0.053,1.848,-0.004,0.011,-0.019
5599,-9.835,-0.062,1.856,-0.004,0.011,-0.02
5702,-9.819,-0.045,1.829,-0.004,0.012,-0.02
5805,-9.843,-0.053,1.853,-0.004,0.012,-0.02
5908,-9.831,-0.053,1.836,-0.005,0.012,-0.02
6011,-9.835,-0.062,1.853,-0.005,0.012,-0.02
6114,-9.828,-0.05,1.856,-0.005,0.012,-0.019
6217,-9.831,-0.06,1.856,-0.005,0.012,-0.02
6320,-9.833,-0.053,1.846,-0.005,0.012,-0.02
6423,-9.833,-0.053,1.863,-0.004,0.012,-0.019
6526,-9.835,-0.057,1.848,-0.004,0.012,-0.02
6629,-9.835,-0.067,1.853,-0.004,0.012,-0.019
6732,-9.831,-0.057,1.841,-0.005,0.012,-0.02
6835,-9.828,-0.055,1.839,-0.004,0.012,-0.02
6938,-9.821,-0.055,1.851,-0.005,0.012,-0.02
7041,-9.823,-0.057,1.844,-0.005,0.011,-0.02
7144,-9.838,-0.05,1.841,-0.004,0.013,-0.02
7247,-9.831,-0.06,1.863,-0.004,0.012,-0.019
7350,-9.828,-0.057,1.846,-0.004,0.011,-0.02
7453,-9.833,-0.055,1.846,-0.005,0.011,-0.02
7556,-9.833,-0.062,1.848,-0.004,0.012,-0.02
7659,-9.835,-0.053,1.853,-0.004,0.012,-0.019
7762,-9.821,-0.06,1.851,-0.005,0.012,-0.02
7865,-9.823,-0.06,1.834,-0.004,0.012,-0.019
7968,-9.821,-0.057,1.839,-0.004,0.012,-0.019
8071,-9.843,-0.05,1.853,-0.004,0.012,-0.02
8174,-9.833,-0.053,1.841,-0.004,0.012,-0.02
8277,-9.838,-0.053,1.846,-0.005,0.012,-0.02
8380,-9.828,-0.053,1.841,-0.004,0.012,-0.02
8483,-9.828,-0.057,1.846,-0.005,0.012,-0.021
8586,-9.838,-0.05,1.851,-0.004,0.012,-0.02
8689,-9.826,-0.05,1.853,-0.004,0.011,-0.02
8792,-9.843,-0.057,1.858,-0.004,0.012,-0.021
8895,-9.826,-0.043,1.829,-0.005,0.012,-0.02
8998,-9.835,-0.05,1.851,-0.004,0.012,-0.02
9101,-9.826,-0.05,1.858,-0.005,0.012,-0.02
9204,-9.831,-0.057,1.841,-0.005,0.012,-0.02
9307,-9.833,-0.045,1.834,-0.005,0.012,-0.02
9410,-9.833,-0.05,1.846,-0.005,0.012,-0.02
9513,-9.835,-0.05,1.858,-0.005,0.012,-0.02
9616,-9.833,-0.055,1.844,-0.004,0.012,-0.02
9719,-9.838,-0.065,1.853,-0.005,0.012,-0.02
9822,-9.828,-0.053,1.846,-0.004,0.012,-0.02
9925,-9.831,-0.053,1.851,-0.004,0.012,-0.02
10028,-9.828,-0.053,1.846,-0.005,0.012,-0.02
10131,-9.833,-0.055,1.839,-0.004,0.012,-0.02
10234,-9.831,-0.067,1.846,-0.004,0.012,-0.02
10337,-9.84,-0.06,1.836,-0.005,0.012,-0.02
10440,-9.831,-0.057,1.848,-0.005,0.012,-0.02
10543,-9.833,-0.05,1.846,-0.004,0.012,-0.02
10646,-9.833,-0.055,1.853,-0.004,0.012,-0.02
10749,-9.84,-0.055,1.836,-0.004,0.012,-0.02
10852,-9.833,-0.053,1.839,-0.004,0.012,-0.02
10955,-9.833,-0.06,1.86,-0.004,0.012,-0.02
11058,-9.84,-0.045,1.846,-0.004,0.012,-0.02
11161,-9.821,-0.053,1.841,-0.005,0.013,-0.019
11264,-9.826,-0.055,1.858,-0.004,0.012,-0.021
11367,-9.831,-0.055,1.839,-0.005,0.012,-0.021
11470,-9.828,-0.05,1.829,-0.004,0.012,-0.019
