,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3,275,0,0,0,0,0,0,0,0,22,0
2,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
3,0,291,0,6,0,0,0,0,0,0,0,0,2,1,0
4,0,0,0,0,1,0,0,0,0,0,14,0,0,285,0
5,0,0,0,0,0,298,0,0,1,0,0,1,0,0,0
6,0,299,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,215,0,0,85,0
8,0,0,0,0,0,31,0,0,3,0,0,266,0,0,0
9,0,0,0,0,3,0,0,0,0,232,0,0,365,0,0
10,0,0,0,0,0,0,0,0,0,0,257,0,0,43,0
11,0,0,0,0,0,14,0,0,3,0,0,282,0,0,1
12,0,0,0,4,17,0,0,0,0,0,2,0,273,4,0
13,0,0,0,0,1,0,0,0,0,0,157,0,0,142,0
14,0,0,0,0,0,218,0,0,19,0,0,356,0,0,7
