t (ms),a_x,a_y,a_z,g_x,g_y,g_z
636477,-6.541,0.943,-6.922,0.058,-0.056,-0.002
636580,-6.747,0.857,-6.742,0.038,-0.041,-0.018
636683,-6.783,0.910,-6.728,-0.015,-0.014,-0.026
636787,-6.993,0.910,-6.586,-0.057,0.052,-0.010
636890,-6.910,0.962,-6.761,-0.114,0.044,0.000
636994,-6.713,1.298,-6.728,-0.058,-0.004,0.007
637097,-6.615,1.255,-6.874,-0.031,-0.049,-0.047
637201,-6.596,1.152,-7.051,-0.019,-0.222,-0.084
637304,-6.941,1.092,-6.692,-0.040,-0.381,-0.073
637408,-7.345,1.087,-6.280,0.004,-0.560,-0.095
637511,-7.728,0.979,-5.626,0.017,-0.546,-0.109
637614,-8.131,0.936,-5.100,0.004,-0.371,-0.081
637718,-8.296,0.879,-4.669,-0.015,-0.206,-0.043
637822,-8.459,0.931,-4.628,-0.017,-0.062,-0.012
637926,-8.437,1.006,-4.721,0.020,-0.036,-0.037
638029,-8.377,1.001,-4.690,0.024,0.021,-0.043
638133,-8.284,0.924,-4.808,0.016,0.136,-0.025
638236,-8.255,0.903,-4.980,0.011,0.190,-0.018
638340,-8.131,0.840,-5.126,0.023,0.245,-0.023
638443,-7.901,0.869,-5.413,0.053,0.397,0.010
638547,-7.573,0.895,-5.957,0.097,0.493,0.017
638650,-7.405,0.646,-6.232,0.014,0.345,0.054
638754,-7.228,1.164,-6.282,-0.055,0.263,0.056
638857,-7.053,0.989,-6.414,-0.140,0.232,0.027
638961,-6.979,1.274,-6.560,0.100,0.149,-0.066
639065,-6.857,0.816,-6.816,0.144,0.104,-0.023
639169,-6.713,0.838,-6.735,-0.095,0.043,-0.022
639273,-6.718,1.041,-6.802,-0.036,0.093,-0.021
639377,-6.706,0.974,-6.900,-0.018,0.052,-0.006
639481,-6.630,1.041,-6.917,-0.022,0.064,0.000
639585,-6.634,1.089,-6.859,-0.024,0.029,-0.010
639689,-6.668,1.154,-6.831,0.028,0.026,-0.022
639793,-6.709,1.097,-7.037,0.003,-0.091,-0.053
639896,-6.584,1.049,-6.989,-0.056,-0.303,-0.079
640000,-6.965,0.996,-6.744,-0.091,-0.474,-0.090
640104,-7.357,1.058,-6.189,-0.038,-0.585,-0.124
640208,-7.829,0.850,-5.531,0.026,-0.493,-0.125
640312,-8.203,0.869,-4.793,0.009,-0.236,-0.112
640416,-8.128,0.967,-5.054,0.029,-0.022,-0.017
640519,-8.090,0.783,-5.073,-0.013,0.110,0.013
640623,-8.040,0.905,-5.265,-0.044,0.203,0.009
640727,-7.934,1.051,-5.315,0.027,0.264,-0.070
640831,-7.678,0.874,-5.760,0.030,0.383,0.021
640934,-7.446,0.625,-6.146,0.014,0.470,0.087
641037,-7.087,1.008,-6.665,0.088,0.443,0.088
641141,-6.812,1.061,-6.589,0.010,0.317,0.037
641244,-6.613,0.946,-6.847,0.001,0.184,0.048
641348,-6.785,1.264,-6.924,0.044,0.116,-0.015
641451,-6.534,0.821,-7.116,-0.108,0.058,-0.028
641554,-6.448,1.381,-6.938,-0.051,0.016,0.013
641658,-6.460,1.173,-7.034,0.077,0.007,0.009
641761,-6.522,1.022,-7.063,0.012,0.026,-0.037
641864,-6.500,1.118,-6.919,-0.034,-0.021,-0.041
641967,-6.653,1.214,-6.960,0.007,-0.044,-0.039
