t (ms),a_x,a_y,a_z,g_x,g_y,g_z
1275454,-4.891,1.104,-8.337,0.096,0.009,-0.064
1275557,-4.812,0.685,-8.363,0.030,-0.047,-0.030
1275660,-4.942,1.053,-8.126,-0.055,0.034,0.014
1275764,-4.908,0.991,-8.282,0.003,0.033,0.015
1275867,-4.906,1.037,-8.224,0.006,0.027,0.000
1275970,-4.863,1.022,-8.279,0.008,0.034,-0.023
1276074,-4.855,1.020,-8.241,-0.001,0.032,-0.016
1276177,-4.817,1.010,-8.320,0.008,0.033,-0.021
1276281,-4.741,0.979,-8.305,-0.007,0.032,-0.017
1276385,-4.800,1.001,-8.313,-0.015,0.028,-0.015
1276489,-4.796,1.020,-8.329,-0.010,0.024,-0.015
1276592,-4.760,1.037,-8.332,-0.006,0.022,-0.018
1276696,-4.741,1.046,-8.351,-0.001,0.016,-0.022
1276800,-4.741,1.037,-8.363,-0.002,0.027,-0.021
1276904,-4.714,1.015,-8.361,-0.012,0.014,-0.025
1277008,-4.702,1.120,-8.277,-0.003,0.043,-0.035
1277112,-4.805,0.905,-8.279,0.111,0.020,-0.026
1277216,-4.824,0.816,-8.373,-0.075,0.001,-0.018
1277320,-4.626,1.159,-8.361,-0.160,0.010,-0.020
1277424,-4.630,1.252,-8.432,-0.076,-0.023,-0.058
1277528,-4.750,1.130,-8.528,-0.021,-0.137,-0.033
1277631,-5.004,1.180,-8.356,-0.065,-0.306,-0.014
1277735,-5.349,1.247,-7.970,-0.040,-0.423,-0.054
1277839,-5.849,1.166,-7.353,0.124,-0.308,-0.106
1277943,-5.945,1.135,-7.697,-0.045,-0.307,-0.033
1278047,-6.199,1.271,-7.276,-0.071,-0.371,-0.046
1278151,-6.469,1.159,-6.790,0.001,-0.163,-0.056
1278255,-6.553,1.204,-6.778,-0.044,0.206,-0.008
1278359,-6.254,1.525,-7.389,0.073,0.471,-0.007
1278463,-5.768,1.113,-7.499,0.106,0.600,0.017
1278567,-5.389,0.802,-8.193,0.054,0.406,0.025
1278671,-5.037,1.104,-8.131,0.029,0.258,0.046
1278775,-4.690,1.149,-8.456,0.031,0.184,-0.023
1278879,-4.762,0.800,-8.552,0.057,0.083,-0.041
1278983,-4.705,0.912,-8.274,-0.012,0.056,0.043
1279087,-4.776,1.135,-8.329,0.054,0.105,-0.001
1279190,-4.623,1.006,-8.531,-0.064,0.025,-0.044
1279294,-4.539,1.085,-8.519,-0.076,-0.015,-0.059
1279397,-4.705,1.001,-8.392,0.017,0.045,-0.004
1279500,-4.542,1.120,-8.521,-0.049,0.052,-0.078
1279603,-4.657,0.893,-8.147,-0.035,-0.026,-0.019
1279706,-4.626,1.125,-8.399,-0.010,0.081,0.035
1279809,-4.559,1.123,-8.504,-0.033,0.067,-0.035
1279912,-4.513,1.087,-8.499,-0.016,0.022,-0.035
1280015,-4.542,1.228,-8.552,-0.067,-0.060,-0.038
1280118,-4.575,1.247,-8.389,-0.025,-0.077,-0.036
1280221,-4.542,1.279,-8.361,0.053,0.037,0.005
1280324,-4.640,1.070,-8.337,0.090,0.032,-0.102
1280427,-4.662,0.948,-8.574,-0.011,-0.022,-0.050
1280530,-4.767,1.156,-8.384,-0.065,-0.227,-0.023
1280633,-5.066,0.991,-8.121,-0.100,-0.203,-0.059
1280736,-5.164,1.305,-8.176,-0.118,-0.285,-0.056
1280839,-5.397,1.281,-7.762,-0.018,-0.411,-0.103
1280942,-6.026,1.041,-7.389,-0.048,-0.361,-0.034
1281045,-6.117,1.135,-7.422,-0.040,-0.232,-0.067
1281148,-6.151,1.204,-7.128,-0.055,-0.064,-0.048
1281251,-6.122,1.159,-7.135,0.009,0.250,0.025
1281354,-5.804,1.204,-7.501,0.100,0.504,0.056
1281457,-5.260,1.276,-8.121,0.122,0.688,0.060
1281560,-4.827,1.255,-8.487,0.026,0.444,0.083
1281663,-4.446,1.097,-8.645,0.110,0.246,0.005
1281766,-4.391,1.116,-8.689,0.052,0.057,-0.037
1281869,-4.427,0.663,-8.521,0.052,0.060,-0.026
1281972,-4.441,0.821,-8.586,-0.099,0.066,-0.030
1282075,-4.252,1.116,-8.543,-0.086,0.029,-0.024
1282178,-4.312,0.998,-8.538,0.064,-0.028,-0.025
1282281,-4.456,0.982,-8.602,-0.001,-0.053,-0.029
1282384,-4.355,1.073,-8.454,-0.042,0.027,-0.034
1282487,-4.348,1.104,-8.669,-0.083,0.001,-0.038
1282590,-4.355,1.106,-8.468,0.007,0.005,-0.003
1282693,-4.386,0.984,-8.610,0.001,0.042,-0.019
1282796,-4.422,1.111,-8.550,-0.038,-0.011,-0.037
1282899,-4.192,1.041,-8.626,-0.037,0.168,-0.020
1283002,-4.216,1.087,-8.540,0.006,-0.003,-0.058
1283105,-4.295,1.037,-8.712,-0.082,-0.104,-0.038
1283208,-4.561,1.286,-8.650,-0.107,-0.309,-0.045
1283311,-4.793,1.152,-8.375,-0.087,-0.431,-0.099
1283414,-5.361,1.283,-8.056,-0.027,-0.679,-0.116
1283517,-6.014,1.144,-7.070,-0.033,-0.582,-0.059
1283620,-6.304,1.152,-7.118,-0.067,-0.254,-0.063
1283723,-6.340,1.204,-7.025,-0.103,-0.112,0.002
1283826,-6.321,1.360,-6.953,-0.024,0.133,-0.003
1283929,-6.208,1.310,-7.226,0.076,0.394,0.043
1284032,-5.717,1.267,-7.515,0.111,0.701,0.075
1284135,-5.102,1.365,-8.205,0.108,0.707,0.084
1284238,-4.585,1.262,-8.435,0.082,0.308,0.054
1284341,-4.434,1.360,-8.667,0.080,0.104,-0.024
1284444,-4.353,1.058,-8.622,0.074,0.055,-0.037
1284547,-4.477,0.886,-8.511,0.011,0.056,-0.050
1284650,-4.355,1.082,-8.595,-0.066,0.020,-0.026
1284753,-4.432,1.207,-8.526,0.006,-0.036,-0.036
1284856,-4.511,1.099,-8.404,0.010,-0.043,-0.070
1284959,-4.343,1.046,-8.657,-0.156,0.126,-0.039
1285062,-4.511,1.295,-8.327,-0.010,-0.027,-0.030
1285165,-4.391,1.178,-8.598,-0.012,0.098,0.010
1285268,-4.341,1.300,-8.511,0.048,0.046,-0.041
1285371,-4.195,1.221,-8.468,-0.017,0.176,-0.022
1285474,-4.266,1.106,-8.641,0.005,0.072,-0.099
1285577,-4.044,1.154,-8.775,-0.044,-0.051,-0.054
1285680,-4.104,1.041,-8.799,-0.132,-0.115,0.059
1285783,-4.235,1.492,-8.531,-0.094,-0.212,0.003
1285886,-4.535,1.642,-8.595,-0.003,-0.324,-0.053
1285989,-5.104,1.563,-8.253,0.073,-0.774,-0.141
1286092,-5.950,1.099,-7.226,0.047,-0.654,-0.196
1286195,-6.182,0.979,-6.989,-0.071,-0.321,-0.098
1286298,-6.359,1.034,-6.807,-0.096,-0.042,-0.009
1286401,-6.270,1.209,-6.967,0.008,0.287,0.017
1286504,-5.974,1.185,-7.436,0.095,0.498,0.022
1286607,-5.411,1.149,-7.810,0.095,0.671,0.069
1286710,-4.860,1.159,-8.473,0.042,0.457,0.105
1286813,-4.669,1.360,-8.399,0.112,0.112,-0.004
1286917,-4.616,1.037,-8.305,0.074,0.114,-0.050
1287020,-4.559,1.152,-8.519,0.045,0.087,-0.037
1287123,-4.513,1.051,-8.473,-0.063,0.025,-0.031
1287226,-4.556,1.384,-8.423,0.017,-0.042,-0.044
1287329,-4.525,0.958,-8.495,-0.073,-0.076,-0.088
1287433,-4.755,1.097,-8.191,-0.121,-0.053,-0.065
1287537,-4.563,1.346,-8.636,-0.018,0.023,0.001
1287641,-4.666,1.180,-8.135,0.018,0.029,0.009
1287745,-4.561,1.274,-8.535,0.013,0.065,-0.031
1287848,-4.561,1.211,-8.401,-0.011,0.001,-0.048
1287952,-4.654,1.159,-8.344,0.017,0.005,-0.018
1288056,-4.709,1.164,-8.317,-0.013,-0.003,-0.020
1288160,-4.568,1.183,-8.322,0.033,0.086,-0.051
1288263,-4.460,1.180,-8.507,-0.178,0.122,-0.021
1288367,-4.386,1.585,-8.574,-0.031,0.093,-0.058
1288470,-4.202,1.269,-8.780,-0.023,-0.152,-0.051
1288574,-4.697,1.245,-8.468,-0.027,-0.339,0.006
1288677,-5.116,1.448,-8.131,-0.152,-0.581,0.009
1288781,-5.825,1.774,-7.532,-0.049,-0.720,-0.162
1288884,-6.342,1.314,-6.843,0.144,-0.495,-0.077
1288988,-6.364,1.317,-6.378,0.012,-0.028,-0.028
1289091,-6.230,1.389,-7.039,-0.063,0.446,0.080
1289195,-5.794,1.695,-7.736,0.115,0.666,0.042
1289298,-5.057,1.410,-7.975,0.119,0.674,0.026
1289402,-4.808,1.365,-8.370,0.124,0.346,0.036
1289505,-4.559,1.444,-8.490,0.092,0.248,0.019
1289609,-4.446,1.214,-8.456,0.057,0.107,0.022
1289712,-4.381,1.262,-8.365,0.036,0.083,-0.063
1289816,-4.302,1.269,-8.739,-0.097,0.108,-0.047
1289919,-4.264,1.377,-8.590,-0.054,-0.100,-0.049
1290023,-4.345,1.209,-8.317,0.045,-0.050,-0.041
