t (ms),a_x,a_y,a_z,g_x,g_y,g_z
947854,-8.835,0.405,-4.058,-0.001,0.014,-0.023
947957,-8.839,0.419,-4.080,-0.005,0.011,-0.026
948060,-8.832,0.383,-4.063,-0.002,0.006,-0.030
948163,-8.837,0.393,-4.082,-0.010,0.005,-0.028
948266,-8.842,0.397,-4.046,-0.005,-0.003,-0.028
948369,-8.871,0.388,-4.037,-0.001,0.004,-0.022
948472,-8.866,0.393,-4.025,-0.006,0.008,-0.022
948575,-8.866,0.402,-4.027,-0.007,0.007,-0.021
948678,-8.851,0.412,-4.044,-0.004,0.005,-0.023
948781,-8.878,0.405,-4.044,-0.003,-0.015,-0.029
948884,-8.921,0.390,-3.970,0.002,-0.014,-0.024
948987,-8.887,0.378,-3.979,0.004,-0.014,-0.026
949090,-8.916,0.383,-3.960,0.005,-0.015,-0.024
949193,-8.928,0.385,-3.905,0.006,-0.022,-0.026
949296,-8.930,0.362,-3.855,0.001,-0.011,-0.028
949399,-8.938,0.412,-3.907,0.000,0.013,-0.015
949502,-8.918,0.369,-3.864,0.001,0.017,-0.018
949605,-8.914,0.390,-3.895,-0.006,0.005,-0.024
949708,-8.938,0.381,-3.891,-0.011,0.017,-0.023
949811,-8.926,0.378,-3.879,-0.009,0.006,-0.026
949914,-8.945,0.378,-3.857,-0.005,0.010,-0.026
950017,-8.942,0.381,-3.869,-0.004,0.009,-0.020
950120,-8.938,0.383,-3.869,-0.005,0.013,-0.019
950223,-8.942,0.381,-3.862,-0.004,0.011,-0.023
950326,-8.940,0.390,-3.862,-0.003,0.012,-0.023
950429,-8.961,0.381,-3.838,-0.002,0.011,-0.026
950532,-8.914,0.378,-3.905,-0.004,0.017,-0.023
950635,-8.947,0.405,-3.876,-0.005,0.013,-0.022
950738,-8.954,0.385,-3.859,-0.003,0.013,-0.022
950841,-8.940,0.388,-3.859,-0.002,0.011,-0.021
950944,-8.926,0.405,-3.879,0.003,0.015,-0.018
951047,-8.933,0.393,-3.871,-0.003,0.014,-0.020
951150,-8.952,0.397,-3.888,-0.009,0.020,-0.018
951253,-8.942,0.419,-3.893,-0.007,0.027,-0.016
951357,-8.892,0.397,-3.912,-0.004,0.015,-0.021
951460,-8.918,0.417,-3.886,-0.003,0.016,-0.023
951564,-8.935,0.400,-3.905,-0.002,0.018,-0.022
951667,-8.926,0.414,-3.929,-0.003,0.017,-0.023
951771,-8.923,0.397,-3.917,-0.002,0.014,-0.026
951874,-8.930,0.412,-3.895,-0.008,0.013,-0.027
951978,-8.933,0.385,-3.879,-0.001,0.017,-0.025
952081,-8.885,0.390,-3.953,-0.004,0.017,-0.026
952184,-8.923,0.405,-3.915,-0.006,0.015,-0.024
952288,-8.911,0.405,-3.924,-0.003,0.015,-0.023
952392,-8.923,0.424,-3.917,-0.003,0.015,-0.022
952496,-8.918,0.402,-3.915,-0.005,0.016,-0.023
952599,-8.916,0.397,-3.943,-0.009,0.015,-0.025
952703,-8.906,0.421,-3.934,-0.005,0.011,-0.024
952806,-8.916,0.383,-3.910,-0.002,0.005,-0.026
952910,-8.894,0.402,-3.972,-0.004,0.021,-0.019
953013,-8.897,0.419,-3.893,-0.003,0.012,-0.022
953117,-8.930,0.421,-3.903,0.000,0.014,-0.021
953220,-8.906,0.417,-3.938,0.000,0.014,-0.020
953324,-8.897,0.409,-3.934,-0.003,0.014,-0.022
953427,-8.916,0.412,-3.929,-0.005,0.014,-0.025
953531,-8.904,0.405,-3.929,-0.003,0.014,-0.023
953634,-8.902,0.414,-3.950,-0.003,0.014,-0.021
953738,-8.921,0.417,-3.910,-0.001,0.019,-0.022
953841,-8.882,0.414,-3.986,-0.006,0.015,-0.024
953945,-8.902,0.438,-3.950,-0.009,0.012,-0.023
954048,-8.902,0.433,-3.919,-0.008,0.013,-0.023
954152,-8.902,0.441,-3.938,-0.005,0.013,-0.022
954255,-8.890,0.421,-3.948,-0.003,0.013,-0.024
954359,-8.899,0.421,-3.955,-0.004,0.013,-0.023
954462,-8.911,0.419,-3.958,-0.002,0.014,-0.022
954566,-8.894,0.426,-3.960,-0.005,0.014,-0.024
954669,-8.909,0.441,-3.960,-0.009,0.023,-0.017
954773,-8.873,0.429,-3.965,-0.005,0.010,-0.022
954876,-8.897,0.431,-3.955,-0.003,0.012,-0.025
954980,-8.899,0.419,-3.958,-0.003,0.014,-0.024
955083,-8.894,0.438,-3.967,-0.003,0.014,-0.023
955187,-8.899,0.421,-3.948,-0.005,0.013,-0.026
955290,-8.904,0.417,-3.962,-0.002,0.012,-0.025
955394,-8.899,0.424,-3.958,0.001,0.014,-0.021
955497,-8.902,0.407,-3.934,0.002,0.015,-0.020
955601,-8.856,0.429,-4.020,-0.007,0.020,-0.022
955704,-8.885,0.448,-3.974,-0.007,0.015,-0.023
955808,-8.894,0.438,-3.953,-0.006,0.017,-0.024
955911,-8.885,0.436,-3.979,-0.006,0.011,-0.025
956015,-8.890,0.421,-3.955,-0.004,0.012,-0.024
956118,-8.897,0.417,-3.970,-0.003,0.014,-0.019
956222,-8.892,0.431,-3.977,-0.004,0.013,-0.022
956325,-8.894,0.436,-3.970,-0.004,0.011,-0.022
956428,-8.873,0.431,-4.015,-0.008,0.019,-0.021
956531,-8.887,0.441,-3.989,-0.006,0.010,-0.023
956634,-8.902,0.448,-3.977,-0.001,0.010,-0.023
956737,-8.892,0.431,-3.989,-0.003,0.011,-0.022
956840,-8.887,0.448,-3.989,-0.004,0.014,-0.023
956943,-8.897,0.438,-3.989,-0.006,0.013,-0.025
957046,-8.897,0.438,-3.982,-0.006,0.013,-0.024
957149,-8.890,0.424,-3.986,-0.005,0.012,-0.025
957252,-8.878,0.460,-3.994,-0.009,0.020,-0.021
957355,-8.871,0.438,-3.994,-0.004,0.012,-0.021
957459,-8.873,0.433,-3.979,-0.002,0.012,-0.023
957562,-8.897,0.436,-4.005,-0.001,0.014,-0.022
957666,-8.871,0.457,-4.005,-0.001,0.013,-0.023
957769,-8.882,0.453,-4.005,-0.004,0.013,-0.023
957873,-8.882,0.436,-4.001,-0.005,0.012,-0.024
957976,-8.890,0.438,-3.994,-0.004,0.014,-0.023
958080,-8.887,0.433,-4.013,-0.004,0.015,-0.023
958183,-8.882,0.464,-4.001,-0.011,0.022,-0.019
958287,-8.859,0.450,-3.994,-0.006,0.012,-0.023
958390,-8.868,0.448,-3.994,-0.002,0.012,-0.024
958494,-8.871,0.429,-4.008,-0.003,0.015,-0.023
958597,-8.894,0.460,-4.010,-0.003,0.016,-0.022
958701,-8.880,0.462,-4.017,-0.004,0.015,-0.023
958804,-8.873,0.460,-4.025,-0.007,0.013,-0.024
958908,-8.880,0.443,-3.991,-0.005,0.010,-0.023
959011,-8.868,0.455,-4.020,-0.004,0.011,-0.022
959115,-8.882,0.429,-3.991,-0.002,0.015,-0.023
959218,-8.830,0.453,-4.058,-0.005,0.021,-0.021
959322,-8.878,0.464,-4.008,-0.005,0.016,-0.022
959425,-8.880,0.462,-4.005,-0.004,0.018,-0.023
959529,-8.851,0.457,-4.037,-0.004,0.013,-0.022
959632,-8.854,0.469,-4.037,-0.005,0.011,-0.023
959736,-8.863,0.457,-4.022,-0.007,0.012,-0.025
959839,-8.866,0.472,-4.015,-0.005,0.011,-0.025
959943,-8.873,0.453,-4.013,-0.004,0.012,-0.022
960046,-8.868,0.457,-4.013,-0.005,0.009,-0.023
960150,-8.851,0.462,-4.058,-0.010,0.018,-0.021
960253,-8.863,0.460,-3.994,-0.007,0.010,-0.023
960357,-8.885,0.472,-3.998,-0.005,0.013,-0.025
960460,-8.854,0.462,-4.039,0.002,0.017,-0.030
960564,-8.861,0.472,-4.044,-0.002,0.015,-0.029
960667,-8.859,0.443,-4.044,0.001,0.012,-0.030
960771,-8.859,0.467,-4.046,0.003,0.013,-0.026
960874,-8.863,0.414,-4.025,-0.004,0.012,-0.028
960978,-8.880,0.414,-4.029,-0.014,0.018,-0.023
961081,-8.861,0.464,-4.058,-0.004,0.024,-0.013
961184,-8.847,0.441,-4.041,-0.006,0.012,-0.021
961287,-8.856,0.472,-4.032,-0.004,0.012,-0.023
961390,-8.854,0.453,-4.049,-0.002,0.014,-0.024
961493,-8.859,0.448,-4.056,-0.005,0.015,-0.021
961597,-8.856,0.491,-4.032,-0.001,0.015,-0.023
961700,-8.854,0.445,-4.041,-0.005,0.013,-0.025
961803,-8.851,0.462,-4.046,-0.003,0.013,-0.024
961906,-8.849,0.460,-4.051,-0.005,0.013,-0.024
962010,-8.854,0.445,-4.003,-0.003,0.016,-0.026
962113,-8.844,0.453,-4.092,0.000,0.013,-0.028
962217,-8.868,0.455,-4.063,-0.006,0.011,-0.025
962320,-8.856,0.448,-4.049,-0.002,0.013,-0.023
962424,-8.851,0.445,-4.032,-0.004,0.013,-0.022
962528,-8.844,0.448,-4.061,-0.003,0.015,-0.023
962631,-8.854,0.453,-4.053,-0.007,0.014,-0.022
962735,-8.861,0.443,-4.044,-0.002,0.012,-0.025
962838,-8.856,0.460,-4.061,-0.008,0.013,-0.025
962942,-8.851,0.445,-4.073,-0.008,0.016,-0.022
963045,-8.854,0.469,-4.061,-0.014,0.025,-0.022
963149,-8.830,0.450,-4.096,-0.009,0.012,-0.023
963252,-8.832,0.450,-4.063,-0.003,0.011,-0.023
963356,-8.868,0.450,-4.063,-0.006,0.012,-0.023
963459,-8.844,0.472,-4.075,-0.006,0.013,-0.021
963563,-8.847,0.467,-4.051,-0.003,0.012,-0.023
963666,-8.849,0.474,-4.077,-0.006,0.014,-0.023
963770,-8.851,0.472,-4.058,-0.003,0.012,-0.023
963873,-8.849,0.469,-4.077,-0.005,0.014,-0.023
963977,-8.868,0.474,-4.025,-0.001,0.018,-0.022
964080,-8.825,0.491,-4.089,-0.006,0.021,-0.028
964184,-8.832,0.450,-4.085,-0.001,0.013,-0.022
964287,-8.844,0.479,-4.077,-0.005,0.011,-0.020
964391,-8.849,0.467,-4.070,-0.009,0.015,-0.020
964494,-8.815,0.469,-4.104,-0.006,0.009,-0.022
964598,-8.844,0.488,-4.087,-0.007,0.006,-0.025
964701,-8.859,0.484,-4.044,-0.003,0.007,-0.027
964805,-8.835,0.479,-4.053,-0.006,0.012,-0.025
964908,-8.851,0.464,-4.025,-0.002,0.013,-0.024
965012,-8.818,0.467,-4.101,-0.006,0.015,-0.025
