t (ms),a_x,a_y,a_z,g_x,g_y,g_z
33757,-2.995,0.484,-9.208,-0.015,0.011,-0.018
33860,-2.986,0.503,-9.234,-0.019,0.015,-0.015
33963,-3.021,0.524,-9.201,-0.035,0.031,-0.010
34066,-2.959,0.560,-9.242,-0.043,0.026,-0.009
34169,-2.928,0.594,-9.227,-0.042,0.031,-0.012
34272,-2.887,0.678,-9.266,-0.033,0.021,-0.008
34375,-2.883,0.670,-9.232,-0.019,0.013,-0.015
34478,-2.899,0.680,-9.237,-0.018,0.014,-0.020
34581,-2.921,0.649,-9.220,-0.015,0.011,-0.023
34684,-2.914,0.627,-9.258,-0.016,0.014,-0.023
34787,-2.916,0.625,-9.254,-0.013,0.010,-0.021
34891,-2.957,0.625,-9.230,-0.006,0.025,-0.023
34994,-3.055,0.606,-9.076,-0.027,0.103,-0.072
35097,-2.591,0.627,-9.498,0.055,0.060,-0.018
35200,-2.737,0.539,-9.342,0.169,-0.043,-0.051
35303,-2.873,0.335,-9.215,0.157,-0.064,-0.063
35406,-2.919,0.017,-9.206,0.072,-0.010,-0.026
35509,-2.904,0.005,-9.232,0.007,0.034,-0.001
35612,-2.921,0.038,-9.232,-0.037,0.026,-0.004
35715,-2.931,0.091,-9.282,-0.039,-0.051,-0.028
35818,-2.990,0.098,-9.263,0.011,-0.097,-0.041
35921,-3.072,0.091,-9.213,-0.000,-0.044,-0.036
36024,-3.100,0.062,-9.158,-0.058,0.009,-0.038
36127,-3.148,0.091,-9.199,-0.070,0.030,-0.034
36230,-3.129,0.290,-9.218,-0.063,0.015,-0.055
36333,-3.124,0.227,-9.191,-0.048,0.003,-0.038
36436,-3.103,0.201,-9.187,-0.072,0.024,-0.028
36539,-3.077,0.292,-9.213,-0.088,0.050,-0.013
36642,-3.057,0.429,-9.239,-0.083,0.032,-0.009
36745,-3.069,0.373,-9.184,-0.083,0.015,0.008
36848,-2.926,0.584,-9.304,-0.046,0.019,0.024
36951,-3.050,0.522,-9.208,-0.043,-0.018,-0.017
37054,-3.208,0.529,-9.143,-0.079,0.002,-0.022
37157,-3.067,0.680,-9.127,0.004,0.018,0.034
37260,-3.062,0.809,-9.081,-0.005,0.064,0.009
37363,-2.909,0.493,-9.409,-0.027,0.074,-0.070
37466,-2.993,0.441,-9.297,-0.112,0.033,-0.067
