t (ms),a_x,a_y,a_z,g_x,g_y,g_z
19994,-6.764,1.906,-6.766,0.146,0.09,0.112
20097,-6.766,1.611,-6.917,0.141,0.074,-0.095
20200,-6.749,1.286,-6.974,-0.055,0.162,-0.122
20303,-6.524,1.609,-7.156,-0.105,0.176,-0.058
20405,-6.44,1.525,-7.197,-0.046,0.166,-0.02
20508,-6.316,1.482,-7.3,-0.077,0.078,0.003
20611,-6.388,1.657,-7.226,-0.082,0.094,-0.007
20714,-6.366,1.736,-7.247,-0.025,0.036,0.004
20817,-6.294,1.7,-7.242,-0.04,0.08,0.011
20920,-6.275,1.779,-7.384,-0.018,0.043,0
21022,-6.29,1.717,-7.29,-0.012,0.034,-0.003
21125,-6.311,1.822,-7.42,-0.06,0.068,-0.023
21228,-6.266,1.865,-7.209,-0.094,0.087,0.017
21331,-6.151,1.937,-7.439,-0.099,0.102,-0.002
21433,-5.986,1.992,-7.472,-0.025,0.056,0.034
21536,-5.942,2.042,-7.511,-0.001,0.04,0.042
21638,-5.947,2.131,-7.475,0.013,0.024,0.033
21741,-6.007,2.143,-7.451,0.033,0.029,0.035
21843,-5.918,2.059,-7.556,-0.019,0.035,0.013
21945,-5.969,2.109,-7.46,-0.044,0.041,-0.016
22048,-5.895,2.167,-7.554,-0.032,0.031,-0.001
22151,-5.854,2.186,-7.568,-0.037,0.025,-0.005
22254,-5.851,2.176,-7.568,-0.028,0.019,-0.013
22357,-5.897,2.179,-7.542,-0.035,0.019,-0.026
22459,-5.887,2.167,-7.523,-0.021,0.014,-0.023
22562,-5.909,2.186,-7.506,-0.023,0.019,-0.02
22665,-5.904,2.219,-7.573,-0.017,-0.002,-0.032
22768,-5.95,2.164,-7.439,-0.017,-0.003,-0.034
22870,-5.851,2.167,-7.518,-0.025,0.013,-0.026
22973,-5.844,2.179,-7.575,-0.017,0.005,-0.023
23076,-5.918,2.145,-7.499,-0.017,-0.002,-0.021
23179,-5.95,2.191,-7.477,-0.014,0.003,-0.019
23282,-5.918,2.219,-7.47,-0.02,0.003,-0.018
23385,-5.918,2.195,-7.47,-0.025,0.011,-0.023
23488,-5.914,2.205,-7.479,-0.027,0.018,-0.027
23590,-5.947,2.162,-7.456,-0.016,0.022,-0.026
23693,-5.986,2.172,-7.479,-0.009,0.029,-0.012
23796,-5.938,2.167,-7.501,-0.013,0.012,-0.018
23899,-5.892,2.191,-7.515,-0.015,0.018,-0.016
24002,-5.906,2.205,-7.506,-0.016,0.017,-0.015
24104,-5.926,2.193,-7.479,-0.018,0.014,-0.016
24207,-5.899,2.179,-7.503,-0.017,0.017,-0.016
24310,-5.909,2.2,-7.506,-0.017,0.017,-0.019
24413,-5.911,2.193,-7.499,-0.015,0.015,-0.016
24516,-5.904,2.212,-7.508,-0.018,0.02,-0.017
24618,-5.904,2.188,-7.477,-0.018,0.018,-0.02
24721,-5.868,2.205,-7.542,-0.016,0.021,-0.018
24824,-5.897,2.191,-7.508,-0.012,0.01,-0.018
24927,-5.897,2.21,-7.489,-0.01,0.013,-0.015
25029,-5.878,2.205,-7.511,-0.012,0.013,-0.017
25131,-5.873,2.205,-7.518,-0.011,0.017,-0.015
25234,-5.895,2.2,-7.503,-0.014,0.015,-0.017
25337,-5.88,2.222,-7.532,-0.013,0.015,-0.018
25439,-5.897,2.2,-7.515,-0.013,0.015,-0.017
25541,-5.878,2.205,-7.535,-0.01,0.017,-0.015
25644,-5.866,2.195,-7.515,-0.021,0.017,-0.021
25747,-5.902,2.212,-7.499,-0.01,0.023,-0.014
25850,-5.827,2.207,-7.554,-0.013,0.018,-0.019
25953,-5.883,2.203,-7.532,-0.014,0.018,-0.014
26055,-5.856,2.212,-7.523,-0.015,0.014,-0.014
26158,-5.856,2.205,-7.532,-0.012,0.013,-0.014
26260,-5.851,2.219,-7.549,-0.007,0.013,-0.01
26362,-5.851,2.222,-7.547,-0.013,0.017,-0.015
26465,-5.847,2.219,-7.523,-0.015,0.017,-0.019
26567,-5.839,2.21,-7.549,-0.014,0.012,-0.018
26669,-5.851,2.21,-7.544,-0.013,0.011,-0.019
26772,-5.839,2.212,-7.547,-0.013,0.015,-0.017
26875,-5.868,2.2,-7.527,-0.017,0.019,-0.02
26978,-5.804,2.205,-7.585,-0.013,0.02,-0.016
27081,-5.835,2.21,-7.539,-0.011,0.012,-0.016
27184,-5.842,2.227,-7.515,-0.012,0.013,-0.015
27287,-5.849,2.203,-7.535,-0.014,0.017,-0.016
27390,-5.813,2.224,-7.568,-0.015,0.016,-0.018
27493,-5.808,2.207,-7.573,-0.016,0.013,-0.019
27595,-5.844,2.21,-7.542,-0.015,0.01,-0.021
27698,-5.835,2.193,-7.52,-0.013,0.008,-0.018
27800,-5.827,2.21,-7.561,-0.013,0.013,-0.018
27903,-5.832,2.212,-7.551,-0.011,0.014,-0.015
28006,-5.847,2.212,-7.554,-0.015,0.012,-0.019
28109,-5.82,2.21,-7.566,-0.015,0.02,-0.02
28211,-5.849,2.207,-7.547,-0.013,0.011,-0.017
28314,-5.844,2.205,-7.539,-0.012,0.01,-0.017
28416,-5.83,2.198,-7.556,-0.013,0.016,-0.018
28519,-5.82,2.219,-7.578,-0.014,0.015,-0.017
28622,-5.827,2.207,-7.573,-0.013,0.013,-0.018
28725,-5.827,2.21,-7.558,-0.012,0.016,-0.017
28827,-5.811,2.207,-7.58,-0.013,0.016,-0.016
28930,-5.82,2.205,-7.568,0.002,0.008,-0.017
29033,-5.813,2.191,-7.554,0.009,0.011,-0.014
29136,-5.871,2.195,-7.549,0.005,0.024,-0.01
29238,-5.751,2.191,-7.609,-0.013,0.014,-0.018
29341,-5.78,2.167,-7.59,-0.027,0.018,-0.027
29443,-5.832,2.179,-7.575,-0.034,0.017,-0.024
29546,-5.83,2.186,-7.537,-0.018,0.013,-0.015
29648,-5.792,2.2,-7.585,-0.016,0.019,-0.013
29750,-5.799,2.205,-7.602,-0.012,0.016,-0.014
29853,-5.801,2.203,-7.573,-0.015,0.013,-0.017
29955,-5.789,2.195,-7.594,-0.015,0.014,-0.018
30058,-5.801,2.191,-7.568,-0.013,0.012,-0.017
30161,-5.806,2.186,-7.532,-0.012,0.01,-0.018
30264,-5.768,2.152,-7.647,-0.021,0.015,-0.022
30367,-5.789,2.21,-7.573,-0.002,0.005,-0.013
30470,-5.808,2.179,-7.551,-0.012,0.012,-0.015
30573,-5.806,2.186,-7.606,-0.015,0.016,-0.016
30675,-5.784,2.215,-7.578,-0.012,0.015,-0.016
30778,-5.796,2.181,-7.58,-0.012,0.014,-0.016
30881,-5.782,2.2,-7.594,-0.012,0.015,-0.017
30984,-5.806,2.191,-7.599,-0.014,0.015,-0.013
31087,-5.78,2.205,-7.594,-0.01,0.013,-0.014
31190,-5.78,2.195,-7.587,-0.012,0.013,-0.015
31293,-5.765,2.195,-7.623,-0.015,0.021,-0.014
31396,-5.787,2.205,-7.587,-0.013,0.014,-0.01
31499,-5.789,2.21,-7.597,-0.011,0.015,-0.013
31602,-5.78,2.203,-7.606,-0.013,0.014,-0.02
31705,-5.763,2.217,-7.602,-0.015,0.014,-0.02
31808,-5.782,2.191,-7.604,-0.013,0.013,-0.018
31911,-5.753,2.2,-7.597,-0.014,0.014,-0.017
32014,-5.775,2.207,-7.606,-0.013,0.015,-0.018
32116,-5.76,2.217,-7.609,-0.015,0.011,-0.019
32219,-5.768,2.229,-7.609,-0.009,0.018,-0.014
32321,-5.748,2.198,-7.623,-0.015,0.012,-0.019
32424,-5.756,2.212,-7.614,-0.013,0.014,-0.018
32527,-5.756,2.21,-7.614,-0.015,0.013,-0.018
32630,-5.76,2.2,-7.621,-0.014,0.012,-0.017
32733,-5.746,2.215,-7.609,-0.014,0.013,-0.018
32836,-5.77,2.203,-7.621,-0.015,0.016,-0.016
32939,-5.775,2.205,-7.616,-0.012,0.016,-0.016
33042,-5.756,2.2,-7.611,-0.015,0.015,-0.018
33145,-5.76,2.224,-7.616,-0.015,0.018,-0.018
33248,-5.782,2.217,-7.59,-0.011,0.02,-0.017
33351,-5.72,2.193,-7.647,-0.015,0.02,-0.02
33454,-5.758,2.193,-7.623,-0.013,0.015,-0.018
33557,-5.739,2.207,-7.621,-0.012,0.012,-0.017
33660,-5.748,2.203,-7.621,-0.013,0.012,-0.017
33763,-5.732,2.191,-7.657,-0.013,0.014,-0.019
33866,-5.746,2.212,-7.621,-0.011,0.014,-0.017
33969,-5.751,2.198,-7.606,-0.011,0.013,-0.016
34072,-5.753,2.195,-7.628,-0.012,0.013,-0.016
34174,-5.748,2.215,-7.63,-0.011,0.015,-0.015
34277,-5.746,2.2,-7.606,-0.015,0.016,-0.016
34379,-5.705,2.198,-7.657,-0.017,0.023,-0.02
34482,-5.727,2.205,-7.647,-0.013,0.012,-0.017
34584,-5.727,2.21,-7.626,-0.013,0.007,-0.019
34687,-5.739,2.195,-7.626,-0.013,0.011,-0.019
34789,-5.732,2.191,-7.63,-0.011,0.011,-0.017
34892,-5.741,2.205,-7.616,-0.008,0.009,-0.016
34995,-5.748,2.2,-7.638,-0.008,0.011,-0.014
35097,-5.758,2.184,-7.638,-0.012,0.012,-0.014
35200,-5.734,2.2,-7.609,-0.015,0.015,-0.019
35302,-5.763,2.186,-7.633,-0.016,0.013,-0.019
35404,-5.732,2.222,-7.623,-0.003,0.02,-0.014
35506,-5.751,2.14,-7.654,-0.026,0.017,-0.026
35609,-5.701,2.191,-7.669,-0.019,0.021,-0.017
35711,-5.722,2.219,-7.642,-0.001,0.011,-0.013
35814,-5.717,2.191,-7.645,-0.011,0.013,-0.014
35916,-5.715,2.2,-7.633,-0.019,0.012,-0.022
36019,-5.72,2.184,-7.661,-0.016,0.018,-0.02
36121,-5.722,2.207,-7.642,-0.004,0.012,-0.009
36224,-5.708,2.186,-7.659,-0.011,0.013,-0.016
36326,-5.708,2.195,-7.664,-0.018,0.018,-0.022
36429,-5.729,2.205,-7.649,-0.013,0.021,-0.016
36531,-5.672,2.176,-7.671,-0.016,0.014,-0.022
36634,-5.701,2.191,-7.661,-0.012,0.014,-0.018
36737,-5.703,2.207,-7.647,-0.013,0.014,-0.018
36840,-5.689,2.2,-7.657,-0.013,0.012,-0.017
36943,-5.71,2.179,-7.664,-0.018,0.014,-0.019
37045,-5.725,2.176,-7.654,-0.018,0.015,-0.019
37148,-5.713,2.193,-7.645,-0.016,0.009,-0.019
37251,-5.722,2.179,-7.642,-0.018,0.01,-0.022
37354,-5.72,2.193,-7.673,-0.016,0.012,-0.02
37457,-5.689,2.184,-7.707,-0.014,0.022,-0.02
37560,-5.701,2.198,-7.673,-0.013,0.014,-0.017
37663,-5.705,2.193,-7.647,-0.015,0.019,-0.021
37766,-5.674,2.195,-7.683,-0.01,0.014,-0.019
37869,-5.698,2.169,-7.666,-0.022,0.011,-0.019
37972,-5.72,2.172,-7.647,-0.019,0.01,-0.017
38075,-5.703,2.193,-7.671,-0.011,0.01,-0.014
38177,-5.713,2.195,-7.676,-0.013,0.009,-0.014
