t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
198812,-5.387,3.182,-7.547,-0.128,0.06,-0.049,-0.549,0.324,-0.77,1.0,0.15,0.515,0.072,-0.0,0.0,0.0,0.0,0.0,-0.0,2.152,1.241,2.45,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,-5.655,3.041,-7.653,0.026,-0.096,-0.194,3.199,0.927,5.857,0.066,0.035,0.025
198915,-5.516,3.213,-7.551,-0.122,0.086,-0.093,-0.562,0.328,-0.77,1.008,0.176,0.522,0.099,-0.0,-0.0,-0.0,0.001,-0.0,0.0,2.162,1.239,2.44,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.037,0.097,-0.028,-0.158,0.273,-0.05,3.199,0.927,5.857,0.066,0.035,0.025
199018,-5.43,3.0,-7.566,-0.006,0.034,-0.027,-0.554,0.306,-0.772,0.998,0.044,0.508,0.018,0.0,-0.0,-0.0,0.001,-0.001,0.0,2.159,1.259,2.455,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,-0.01,-0.024,0.03,-0.355,0.11,-0.13,3.199,0.927,5.857,0.066,0.035,0.025
199121,-5.483,3.12,-7.621,0.105,-0.102,-0.021,-0.559,0.318,-0.777,1.009,0.148,0.517,0.061,-0.0,-0.0,0.0,0.0,-0.001,-0.0,2.158,1.25,2.45,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.025,0.042,-0.02,0.035,-0.123,0.007,3.199,0.927,5.857,0.066,0.035,0.025
199224,-5.619,2.84,-7.42,0.071,-0.094,-0.088,-0.573,0.29,-0.757,0.993,0.147,0.501,0.084,-0.0,-0.0,0.0,-0.001,0.001,-0.0,2.186,1.274,2.438,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.02,-0.009,0.002,-0.15,0.108,0.03,3.199,0.927,5.857,0.066,0.035,0.025
199327,-5.667,2.658,-7.331,-0.069,0.008,-0.03,-0.578,0.271,-0.748,0.983,0.076,0.489,0.025,0.0,-0.0,-0.0,-0.0,0.0,0.001,2.199,1.292,2.435,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.021,-0.013,-0.015,-0.048,-0.04,-0.008,3.199,0.927,5.857,0.066,0.035,0.025
199430,-5.588,2.832,-7.525,-0.015,-0.058,0.039,-0.57,0.289,-0.767,0.998,0.071,0.502,0.032,0.0,0.0,-0.0,0.001,-0.0,0.0,2.178,1.277,2.447,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.02,-0.009,0.002,-0.15,0.108,0.03,3.199,0.927,5.857,0.066,0.035,0.025
199533,-5.559,2.95,-7.487,0.037,-0.005,0.038,-0.567,0.301,-0.763,0.997,0.053,0.507,0.019,-0.0,0.0,-0.0,0.0,0.0,-0.0,2.176,1.264,2.442,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.025,0.042,-0.02,0.035,-0.123,0.007,3.199,0.927,5.857,0.066,0.035,0.025
199636,-5.6,2.988,-7.532,0.067,-0.01,0.024,-0.571,0.305,-0.768,1.004,0.072,0.511,0.025,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.175,1.262,2.441,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,-0.01,-0.024,0.03,-0.355,0.11,-0.13,3.199,0.927,5.857,0.066,0.035,0.025
199739,-5.605,3.029,-7.465,0.086,-0.015,0.013,-0.572,0.309,-0.761,1.001,0.088,0.512,0.026,-0.0,-0.0,0.0,-0.0,0.0,-0.0,2.179,1.257,2.435,-0.566,-0.549,-0.578,0.304,0.328,0.271,-0.765,-0.748,-0.777,0.003,0.105,-0.128,-0.01,0.086,-0.102,-0.019,0.039,-0.093,1.635,0.16,0.566,0.305,0.765,0.081,0.059,0.05,0.008,0.013,0.006,0.071,0.046,0.038,0.0,0.0,0.0,0.007,0.003,0.002,0.009,0.016,0.008,0.081,0.059,0.046,0.012,0.023,0.008,0.126,0.075,0.066,0.037,0.097,-0.028,-0.158,0.273,-0.05,3.199,0.927,5.857,0.066,0.035,0.025
