t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
44463,-8.698,2.478,-3.9,0.016,-0.023,0.014,-0.887,0.253,-0.398,1.005,0.031,0.447,0.017,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.653,1.316,1.978,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,-8.908,2.555,-3.841,-0.092,0.002,-0.001,7.935,0.653,1.476,0.003,0.008,0.001
44566,-8.753,2.392,-3.816,-0.032,-0.032,-0.002,-0.893,0.244,-0.389,1.004,0.045,0.439,0.013,0.0,0.0,0.0,-0.0,0.0,-0.0,2.667,1.325,1.969,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.022,-0.014,-0.046,-0.007,-0.036,0.002,7.935,0.653,1.476,0.003,0.008,0.001
44669,-8.693,2.5,-3.867,-0.035,-0.02,-0.001,-0.886,0.255,-0.394,1.003,0.04,0.447,0.009,-0.0,0.0,0.0,0.0,0.0,0.0,2.654,1.314,1.975,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,-0.007,-0.015,-0.004,0.053,-0.04,0.05,7.935,0.653,1.476,0.003,0.008,0.001
44771,-8.76,2.476,-3.733,-0.019,-0.026,0.005,-0.893,0.252,-0.381,1.003,0.033,0.441,0.014,-0.0,0.0,0.0,0.0,0.0,0.0,2.669,1.317,1.96,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,-0.0,0.005,-0.011,0.014,0.004,-0.0,7.935,0.653,1.476,0.003,0.008,0.001
44873,-8.717,2.504,-3.826,-0.006,-0.019,0.005,-0.889,0.255,-0.39,1.004,0.021,0.445,0.008,-0.0,0.0,0.0,0.0,0.0,0.0,2.659,1.314,1.97,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.001,0.008,-0.003,0.041,-0.036,0.008,7.935,0.653,1.476,0.003,0.008,0.001
44975,-8.799,2.502,-3.661,0.003,-0.007,0.009,-0.897,0.255,-0.373,1.004,0.012,0.44,0.006,-0.0,0.0,0.0,0.0,0.0,-0.0,2.675,1.314,1.951,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.006,0.007,-0.011,0.05,-0.016,0.021,7.935,0.653,1.476,0.003,0.008,0.001
45078,-8.83,2.528,-3.594,-0.005,0.035,0.002,-0.9,0.258,-0.366,1.005,0.035,0.44,0.007,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.68,1.311,1.943,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.001,0.008,-0.003,0.041,-0.036,0.008,7.935,0.653,1.476,0.003,0.008,0.001
45181,-8.732,2.614,-3.749,-0.016,0.044,-0.025,-0.89,0.267,-0.382,1.005,0.053,0.449,0.026,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.659,1.302,1.961,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,-0.0,0.005,-0.011,0.014,0.004,-0.0,7.935,0.653,1.476,0.003,0.008,0.001
45284,-8.715,2.55,-3.706,0.009,0.02,-0.01,-0.889,0.26,-0.378,1.0,0.024,0.444,0.012,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.665,1.308,1.958,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,-0.007,-0.015,-0.004,0.053,-0.04,0.05,7.935,0.653,1.476,0.003,0.008,0.001
45386,-8.669,2.512,-3.826,-0.007,0.03,0.002,-0.884,0.256,-0.39,1.0,0.031,0.445,0.007,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.656,1.312,1.972,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.022,-0.014,-0.046,-0.007,-0.036,0.002,7.935,0.653,1.476,0.003,0.008,0.001
45488,-8.674,2.5,-3.847,-0.064,0.017,-0.022,-0.885,0.255,-0.392,1.001,0.07,0.446,0.029,-0.0,0.0,0.0,-0.0,-0.0,-0.0,2.655,1.313,1.973,-0.886,-0.881,-0.892,0.267,0.309,0.242,-0.386,-0.364,-0.398,-0.024,0.051,-0.079,0.019,0.037,-0.011,-0.022,0.034,-0.073,1.539,0.097,0.886,0.268,0.386,0.048,0.023,0.038,0.002,0.014,0.007,0.038,0.009,0.025,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.018,0.009,0.042,0.013,0.031,0.003,0.019,0.012,0.07,0.012,0.032,-8.858,2.674,-3.855,-0.238,0.187,-0.215,7.847,0.718,1.487,0.023,0.005,0.014
45590,-8.744,2.535,-3.771,-0.079,0.025,-0.031,-0.892,0.258,-0.385,1.005,0.088,0.446,0.039,0.0,0.0,-0.0,0.0,0.0,0.0,2.662,1.311,1.964,-0.886,-0.881,-0.892,0.267,0.309,0.242,-0.386,-0.364,-0.398,-0.024,0.051,-0.079,0.019,0.037,-0.011,-0.022,0.034,-0.073,1.539,0.097,0.886,0.268,0.386,0.048,0.023,0.038,0.002,0.014,0.007,0.038,0.009,0.025,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.018,0.009,0.042,0.013,0.031,0.003,0.019,0.012,0.07,0.012,0.032,-0.004,-0.091,-0.046,-0.104,0.006,0.008,7.847,0.718,1.487,0.023,0.005,0.014
45693,-8.636,2.523,-3.85,-0.055,0.018,0.026,-0.881,0.257,-0.393,0.998,0.063,0.446,0.03,0.0,0.0,0.0,0.0,-0.0,0.0,2.652,1.31,1.975,-0.886,-0.881,-0.892,0.267,0.309,0.242,-0.386,-0.364,-0.398,-0.024,0.051,-0.079,0.019,0.037,-0.011,-0.022,0.034,-0.073,1.539,0.097,0.886,0.268,0.386,0.048,0.023,0.038,0.002,0.014,0.007,0.038,0.009,0.025,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.018,0.009,0.042,0.013,0.031,0.003,0.019,0.012,0.07,0.012,0.032,-0.004,0.002,0.01,0.0,-0.002,-0.052,7.847,0.718,1.487,0.023,0.005,0.014
