t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
19994,-6.764,1.906,-6.766,0.146,0.09,0.112,-0.69,0.194,-0.69,0.995,0.205,0.452,0.114,0.0,-0.0,-0.0,-0.0,-0.0,-0.002,2.337,1.375,2.337,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-6.616,1.66,-7.281,-0.161,0.999,-0.172,4.381,0.278,5.305,0.073,0.123,0.04
20097,-6.766,1.611,-6.917,0.141,0.074,-0.095,-0.69,0.164,-0.705,1.0,0.185,0.43,0.1,0.0,-0.0,-0.0,-0.001,0.0,-0.001,2.332,1.406,2.353,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.069,0.048,0.071,0.437,-0.094,0.036,4.381,0.278,5.305,0.073,0.123,0.04
20200,-6.749,1.286,-6.974,-0.055,0.162,-0.122,-0.688,0.131,-0.711,0.998,0.21,0.4,0.103,0.0,0.0,-0.0,-0.001,0.0,0.0,2.331,1.439,2.364,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.01,0.03,0.022,0.249,-0.083,0.211,4.381,0.278,5.305,0.073,0.123,0.04
20303,-6.524,1.609,-7.156,-0.105,0.176,-0.058,-0.665,0.164,-0.73,1.001,0.213,0.43,0.102,0.0,0.0,-0.0,0.0,0.0,0.0,2.297,1.406,2.388,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.026,0.067,0.034,0.117,0.032,0.176,4.381,0.278,5.305,0.073,0.123,0.04
20405,-6.44,1.525,-7.197,-0.046,0.166,-0.02,-0.657,0.156,-0.734,0.997,0.173,0.422,0.053,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.29,1.414,2.398,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.017,0.002,0.034,0.004,0.003,0.163,4.381,0.278,5.305,0.073,0.123,0.04
20508,-6.316,1.482,-7.3,-0.077,0.078,0.003,-0.644,0.151,-0.744,0.996,0.11,0.417,0.026,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.274,1.419,2.415,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.04,-0.014,0.061,0.007,0.185,0.12,4.381,0.278,5.305,0.073,0.123,0.04
20611,-6.388,1.657,-7.226,-0.082,0.094,-0.007,-0.651,0.169,-0.737,0.998,0.125,0.433,0.038,-0.0,0.0,0.0,0.0,-0.0,0.0,2.282,1.401,2.402,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.017,0.002,0.034,0.004,0.003,0.163,4.381,0.278,5.305,0.073,0.123,0.04
20714,-6.366,1.736,-7.247,-0.025,0.036,0.004,-0.649,0.177,-0.739,0.999,0.044,0.439,0.015,0.0,0.0,-0.0,0.0,-0.0,0.0,2.278,1.393,2.403,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.026,0.067,0.034,0.117,0.032,0.176,4.381,0.278,5.305,0.073,0.123,0.04
20817,-6.294,1.7,-7.242,-0.04,0.08,0.011,-0.642,0.173,-0.738,0.993,0.09,0.434,0.033,0.0,0.0,-0.0,0.0,0.0,-0.0,2.274,1.396,2.408,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.01,0.03,0.022,0.249,-0.083,0.211,4.381,0.278,5.305,0.073,0.123,0.04
20920,-6.275,1.779,-7.384,-0.018,0.043,0.0,-0.64,0.181,-0.753,1.005,0.047,0.443,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.261,1.39,2.418,-0.662,-0.64,-0.69,0.166,0.194,0.131,-0.728,-0.69,-0.753,-0.016,0.146,-0.105,0.1,0.176,0.036,-0.017,0.112,-0.122,1.556,0.217,0.662,0.167,0.728,0.085,0.111,0.064,0.017,0.013,0.016,0.064,0.041,0.045,0.0,0.0,0.0,0.007,0.002,0.004,0.019,0.017,0.019,0.084,0.048,0.061,0.037,0.018,0.023,0.052,0.07,0.052,-0.069,0.048,0.071,0.437,-0.094,0.036,4.381,0.278,5.305,0.073,0.123,0.04
