t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
400285,-4.231,1.599,-8.552,-0.191,-0.245,-0.074,-0.431,0.163,-0.872,0.986,0.319,0.394,0.151,-0.001,0.0,0.0,-0.001,-0.0,-0.0,2.023,1.405,2.655,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,-4.817,2.011,-8.404,-0.654,-0.347,-0.204,2.329,0.409,7.07,0.147,0.17,0.032
400388,-4.949,1.705,-8.085,-0.257,-0.286,-0.12,-0.505,0.174,-0.824,0.982,0.403,0.417,0.207,-0.001,0.0,0.001,-0.0,0.001,0.0,2.111,1.393,2.566,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,-0.022,-0.096,0.034,-0.491,-0.655,-0.255,2.329,0.409,7.07,0.147,0.17,0.032
400491,-5.344,2.002,-7.518,-0.199,-0.044,-0.07,-0.545,0.204,-0.767,0.963,0.215,0.44,0.085,0.0,0.0,-0.0,0.001,0.002,0.001,2.173,1.357,2.493,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.149,-0.022,-0.093,-0.067,-0.357,-0.132,2.329,0.409,7.07,0.147,0.17,0.032
400594,-4.911,1.858,-8.317,0.001,0.115,0.061,-0.501,0.189,-0.848,1.003,0.13,0.431,0.019,0.0,0.0,-0.0,0.001,0.001,0.001,2.094,1.381,2.578,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.074,-0.04,-0.086,0.065,0.026,0.129,2.329,0.409,7.07,0.147,0.17,0.032
400697,-4.48,2.363,-8.507,0.059,0.108,0.042,-0.457,0.241,-0.867,1.009,0.13,0.457,0.064,0.0,0.0,-0.0,-0.0,-0.001,-0.0,2.041,1.33,2.604,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.032,-0.046,-0.02,-0.099,-0.07,-0.006,2.329,0.409,7.07,0.147,0.17,0.032
400799,-4.508,2.078,-8.375,-0.006,0.005,-0.022,-0.46,0.212,-0.854,0.993,0.023,0.437,0.009,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.052,1.356,2.606,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.041,0.027,0.014,-0.074,0.009,-0.008,2.329,0.409,7.07,0.147,0.17,0.032
400902,-4.652,2.006,-8.222,-0.014,0.018,0.0,-0.474,0.205,-0.838,0.984,0.023,0.433,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.073,1.361,2.589,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.032,-0.046,-0.02,-0.099,-0.07,-0.006,2.329,0.409,7.07,0.147,0.17,0.032
401005,-4.781,2.037,-8.241,-0.026,0.01,0.015,-0.488,0.208,-0.84,0.993,0.032,0.44,0.016,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.084,1.36,2.578,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.074,-0.04,-0.086,0.065,0.026,0.129,2.329,0.409,7.07,0.147,0.17,0.032
401108,-4.721,2.023,-8.341,-0.019,-0.006,-0.004,-0.481,0.206,-0.851,0.999,0.02,0.439,0.008,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.073,1.363,2.59,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,0.149,-0.022,-0.093,-0.067,-0.357,-0.132,2.329,0.409,7.07,0.147,0.17,0.032
401211,-4.662,2.054,-8.265,-0.002,-0.022,-0.032,-0.475,0.209,-0.843,0.99,0.039,0.437,0.011,0.0,0.0,0.0,0.0,0.0,0.0,2.071,1.358,2.59,-0.482,-0.431,-0.545,0.201,0.241,0.163,-0.84,-0.767,-0.872,-0.065,0.059,-0.257,-0.035,0.115,-0.286,-0.02,0.061,-0.12,1.523,0.207,0.483,0.202,0.841,0.121,0.13,0.057,0.022,0.015,0.019,0.09,0.094,0.043,0.001,0.0,0.001,0.01,0.016,0.003,0.03,0.02,0.028,0.102,0.126,0.053,0.034,0.016,0.015,0.147,0.054,0.072,-0.022,-0.096,0.034,-0.491,-0.655,-0.255,2.329,0.409,7.07,0.147,0.17,0.032
