t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
113308,-5.964,1.784,-7.556,0.01,0.007,-0.025,-0.608,0.182,-0.77,0.998,0.028,0.44,0.012,-0.0,-0.0,0.0,-0.0,0.0,-0.0,2.226,1.387,2.452,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,-6.12,1.779,-7.674,-0.092,0.143,-0.191,3.746,0.317,5.889,0.002,0.002,0.005
113411,-6.041,1.729,-7.513,0.004,0.013,-0.044,-0.616,0.176,-0.766,0.999,0.046,0.436,0.013,-0.0,-0.0,0.0,-0.0,0.0,-0.0,2.236,1.394,2.445,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,-0.004,0.004,0.004,0.041,-0.019,-0.052,3.746,0.317,5.889,0.002,0.002,0.005
113513,-6.055,1.7,-7.484,-0.009,0.014,-0.035,-0.617,0.173,-0.763,0.996,0.039,0.433,0.016,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.239,1.396,2.443,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.007,0.007,-0.01,0.024,-0.0,-0.007,3.746,0.317,5.889,0.002,0.002,0.005
113616,-6.045,1.712,-7.501,-0.015,0.021,-0.011,-0.616,0.175,-0.765,0.998,0.028,0.435,0.015,0.0,0.0,-0.0,-0.0,0.0,0.0,2.236,1.394,2.445,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.006,0.006,-0.003,0.013,0.002,0.018,3.746,0.317,5.889,0.002,0.002,0.005
113718,-5.983,1.743,-7.532,-0.019,0.021,-0.016,-0.61,0.178,-0.768,0.997,0.033,0.437,0.019,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.229,1.391,2.45,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.006,0.001,-0.003,0.014,-0.021,0.01,3.746,0.317,5.889,0.002,0.002,0.005
113821,-5.99,1.733,-7.549,-0.013,0.013,-0.012,-0.611,0.177,-0.77,0.999,0.022,0.437,0.013,-0.0,0.0,-0.0,0.0,0.0,0.0,2.229,1.393,2.451,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.01,0.005,-0.002,0.008,0.005,0.003,3.746,0.317,5.889,0.002,0.002,0.005
113923,-5.993,1.76,-7.537,-0.011,0.022,-0.007,-0.611,0.179,-0.769,0.998,0.026,0.438,0.012,0.0,0.0,0.0,0.0,-0.0,0.0,2.229,1.391,2.45,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.006,0.001,-0.003,0.014,-0.021,0.01,3.746,0.317,5.889,0.002,0.002,0.005
114026,-5.974,1.757,-7.532,-0.012,0.007,-0.012,-0.609,0.179,-0.768,0.996,0.018,0.437,0.01,0.0,0.0,0.0,-0.0,-0.0,-0.0,2.228,1.39,2.451,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.006,0.006,-0.003,0.013,0.002,0.018,3.746,0.317,5.889,0.002,0.002,0.005
114129,-5.974,1.762,-7.535,-0.013,0.01,-0.011,-0.609,0.18,-0.768,0.997,0.02,0.438,0.011,-0.0,0.0,0.0,-0.0,0.0,-0.0,2.228,1.389,2.451,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,0.007,0.007,-0.01,0.024,-0.0,-0.007,3.746,0.317,5.889,0.002,0.002,0.005
114232,-6.007,1.767,-7.525,-0.014,0.015,-0.018,-0.613,0.18,-0.767,0.998,0.027,0.439,0.016,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.232,1.389,2.447,-0.612,-0.608,-0.617,0.178,0.182,0.173,-0.767,-0.763,-0.77,-0.009,0.01,-0.019,0.014,0.022,0.007,-0.019,-0.007,-0.044,1.557,0.045,0.612,0.178,0.767,0.013,0.015,0.022,0.003,0.002,0.002,0.007,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.009,0.005,0.011,0.006,0.004,0.003,0.004,0.009,0.012,-0.004,0.004,0.004,0.041,-0.019,-0.052,3.746,0.317,5.889,0.002,0.002,0.005
114334,-5.978,1.762,-7.527,-0.015,0.014,-0.014,-0.61,0.18,-0.768,0.997,0.025,0.439,0.014,0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.229,1.389,2.45,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,-6.104,1.8,-7.676,-0.153,0.068,-0.14,3.726,0.324,5.892,0.003,0.001,0.002
114437,-5.962,1.753,-7.537,-0.014,0.013,-0.015,-0.608,0.179,-0.769,0.997,0.024,0.437,0.014,0.0,-0.0,0.0,0.0,-0.0,0.0,2.227,1.39,2.452,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,0.004,0.002,0.001,-0.012,-0.021,0.012,3.726,0.324,5.892,0.003,0.001,0.002
114539,-5.976,1.76,-7.523,-0.011,0.011,-0.014,-0.609,0.179,-0.767,0.996,0.021,0.437,0.012,-0.0,0.0,0.0,0.0,-0.0,0.0,2.229,1.39,2.45,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,0.005,-0.0,-0.001,-0.001,0.027,-0.011,3.726,0.324,5.892,0.003,0.001,0.002
114642,-5.988,1.772,-7.525,-0.009,0.01,-0.013,-0.611,0.181,-0.767,0.997,0.019,0.439,0.011,-0.0,0.0,-0.0,-0.0,0.0,-0.0,2.23,1.388,2.448,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,-0.001,-0.002,-0.005,0.011,0.008,-0.005,3.726,0.324,5.892,0.003,0.001,0.002
114744,-5.981,1.776,-7.527,-0.013,0.013,-0.017,-0.61,0.181,-0.768,0.997,0.025,0.439,0.014,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.229,1.388,2.45,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,-0.008,0.0,0.002,0.005,0.019,0.004,3.726,0.324,5.892,0.003,0.001,0.002
114847,-6.002,1.762,-7.523,-0.014,0.018,-0.017,-0.612,0.18,-0.767,0.998,0.028,0.439,0.016,0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.231,1.389,2.448,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,0.004,-0.0,0.004,-0.003,0.006,0.0,3.726,0.324,5.892,0.003,0.001,0.002
114950,-5.962,1.748,-7.532,-0.015,0.007,-0.018,-0.608,0.178,-0.768,0.996,0.024,0.436,0.012,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.228,1.391,2.452,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,-0.008,0.0,0.002,0.005,0.019,0.004,3.726,0.324,5.892,0.003,0.001,0.002
115053,-6.017,1.743,-7.549,-0.015,0.001,-0.014,-0.614,0.178,-0.77,1.001,0.021,0.438,0.006,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.231,1.392,2.449,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,-0.001,-0.002,-0.005,0.011,0.008,-0.005,3.726,0.324,5.892,0.003,0.001,0.002
115156,-6.014,1.781,-7.499,-0.024,-0.008,-0.007,-0.613,0.182,-0.765,0.997,0.026,0.44,0.011,0.0,0.0,0.0,-0.0,-0.0,0.0,2.233,1.387,2.445,-0.61,-0.608,-0.614,0.18,0.182,0.178,-0.768,-0.765,-0.77,-0.015,-0.009,-0.024,0.007,0.018,-0.011,-0.014,-0.007,-0.018,1.558,0.04,0.61,0.18,0.768,0.016,0.011,0.014,0.002,0.001,0.001,0.003,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.004,0.009,0.003,0.003,0.002,0.001,0.002,0.01,0.003,0.005,-0.0,-0.001,-0.001,0.027,-0.011,3.726,0.324,5.892,0.003,0.001,0.002
