SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
1.004,0.032,0.444,0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.662,1.314,1.965,-0.891,-0.884,-0.9,0.256,0.267,0.244,-0.384,-0.366,-0.398,-0.009,0.016,-0.035,0.0,0.044,-0.032,-0.0,0.014,-0.025,1.53,0.048,0.891,0.256,0.384,0.018,0.027,0.01,0.004,0.004,0.008,0.013,0.026,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.006,0.009,0.016,0.027,0.01,0.006,0.004,0.011,0.019,0.05,0.007,0.022,-0.014,-0.046,-0.007,-0.036,0.002,7.935,0.653,1.476,0.003,0.008,0.001
1.002,0.064,0.448,0.03,-0.0,0.0,0.0,-0.0,-0.0,-0.0,2.654,1.307,1.966,-0.886,-0.881,-0.892,0.267,0.309,0.242,-0.386,-0.364,-0.398,-0.024,0.051,-0.079,0.019,0.037,-0.011,-0.022,0.034,-0.073,1.539,0.097,0.886,0.268,0.386,0.048,0.023,0.038,0.002,0.014,0.007,0.038,0.009,0.025,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.018,0.009,0.042,0.013,0.031,0.003,0.019,0.012,0.07,0.012,0.032,-0.004,-0.091,-0.046,-0.104,0.006,0.008,7.847,0.718,1.487,0.023,0.005,0.014
1.002,0.026,0.45,0.008,-0.0,0.0,0.0,-0.0,0.0,0.0,2.655,1.302,1.965,-0.886,-0.881,-0.888,0.267,0.274,0.259,-0.386,-0.381,-0.392,-0.016,-0.003,-0.026,0.01,0.027,0.0,-0.006,0.01,-0.019,1.538,0.034,0.886,0.267,0.386,0.018,0.013,0.009,0.001,0.004,0.004,0.008,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.004,0.008,0.008,0.007,0.002,0.009,0.008,0.014,0.014,0.004,-0.007,-0.008,0.005,-0.006,0.046,-0.022,7.846,0.713,1.486,0.003,0.002,0.001
1.002,0.038,0.454,0.016,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.649,1.294,1.967,-0.883,-0.878,-0.886,0.274,0.292,0.263,-0.387,-0.378,-0.395,-0.021,0.0,-0.06,0.018,0.039,0.007,-0.02,0.0,-0.038,1.544,0.059,0.883,0.275,0.387,0.029,0.021,0.022,0.002,0.007,0.003,0.015,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009,0.005,0.02,0.01,0.011,0.003,0.007,0.004,0.015,0.012,0.009,0.001,-0.003,-0.003,0.071,0.014,-0.051,7.802,0.754,1.496,0.009,0.004,0.005
1.002,0.033,0.452,0.013,-0.0,-0.0,0.0,0.0,0.0,0.0,2.651,1.298,1.966,-0.883,-0.871,-0.894,0.273,0.301,0.257,-0.388,-0.376,-0.398,0.005,0.071,-0.035,0.023,0.067,-0.028,-0.022,0.012,-0.091,1.544,0.076,0.883,0.273,0.388,0.03,0.036,0.038,0.005,0.011,0.005,0.021,0.023,0.026,0.0,0.0,0.0,0.001,0.001,0.001,0.007,0.013,0.006,0.029,0.029,0.031,0.008,0.017,0.007,0.023,0.038,0.036,-0.015,-0.06,-0.016,-0.116,0.068,0.055,7.796,0.748,1.502,0.009,0.013,0.015
1.002,0.074,0.443,0.034,0.0,-0.0,-0.0,0.0,0.001,-0.0,2.649,1.327,1.992,-0.881,-0.862,-0.897,0.242,0.261,0.222,-0.409,-0.394,-0.428,0.009,0.071,-0.099,0.008,0.101,-0.074,-0.032,-0.002,-0.066,1.533,0.113,0.881,0.242,0.409,0.054,0.046,0.037,0.008,0.01,0.009,0.04,0.036,0.016,0.0,0.0,0.0,0.003,0.002,0.0,0.01,0.012,0.011,0.053,0.046,0.019,0.011,0.015,0.018,0.034,0.048,0.027,0.013,0.035,-0.005,-0.085,0.131,0.03,7.768,0.588,1.676,0.029,0.022,0.014
1.002,0.04,0.442,0.016,0.0,0.0,0.0,0.0,-0.0,-0.0,2.662,1.32,1.971,-0.89,-0.882,-0.897,0.248,0.255,0.241,-0.389,-0.374,-0.405,-0.03,-0.013,-0.07,-0.014,0.007,-0.028,-0.02,0.008,-0.043,1.527,0.067,0.89,0.248,0.389,0.033,0.018,0.025,0.005,0.003,0.007,0.01,0.01,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.004,0.009,0.015,0.012,0.014,0.009,0.004,0.01,0.011,0.019,0.018,0.001,-0.006,-0.008,-0.037,0.002,0.035,7.918,0.617,1.516,0.011,0.003,0.006
1.002,0.038,0.433,0.02,-0.0,-0.0,0.0,0.0,0.0,0.0,2.682,1.328,1.955,-0.898,-0.891,-0.902,0.24,0.245,0.232,-0.376,-0.369,-0.385,-0.017,-0.007,-0.023,0.016,0.051,-0.006,-0.028,-0.019,-0.039,1.514,0.063,0.898,0.24,0.376,0.018,0.022,0.029,0.003,0.004,0.004,0.004,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.005,0.005,0.014,0.005,0.003,0.007,0.006,0.008,0.012,0.005,-0.014,-0.001,0.022,0.019,-0.073,0.026,8.062,0.577,1.416,0.003,0.005,0.008
1.002,0.032,0.432,0.016,-0.0,0.0,0.0,0.0,0.0,0.0,2.677,1.334,1.964,-0.896,-0.888,-0.902,0.236,0.24,0.23,-0.383,-0.37,-0.391,-0.012,-0.003,-0.025,0.02,0.033,0.011,-0.019,-0.012,-0.031,1.514,0.051,0.896,0.236,0.383,0.013,0.021,0.02,0.004,0.003,0.005,0.003,0.006,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.006,0.005,0.007,0.006,0.004,0.005,0.008,0.003,0.012,0.008,-0.001,0.006,0.013,-0.026,0.042,0.033,8.019,0.556,1.465,0.002,0.005,0.004
1.002,0.03,0.433,0.016,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.67,1.335,1.972,-0.893,-0.89,-0.897,0.235,0.239,0.232,-0.388,-0.377,-0.392,-0.019,-0.016,-0.023,0.007,0.028,-0.019,-0.016,-0.008,-0.021,1.516,0.05,0.893,0.235,0.388,0.019,0.018,0.016,0.002,0.002,0.004,0.002,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.005,0.002,0.016,0.005,0.004,0.002,0.005,0.003,0.029,0.008,0.003,0.01,0.008,0.002,0.01,-0.013,7.978,0.551,1.509,0.004,0.003,0.003
1.003,0.04,0.43,0.018,0.0,0.0,-0.0,0.0,0.0,-0.0,2.686,1.332,1.953,-0.901,-0.893,-0.909,0.238,0.243,0.233,-0.371,-0.357,-0.386,-0.014,-0.009,-0.028,-0.008,0.034,-0.06,-0.021,-0.011,-0.029,1.509,0.059,0.901,0.238,0.371,0.015,0.03,0.022,0.005,0.003,0.009,0.005,0.025,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.003,0.01,0.006,0.028,0.005,0.011,0.005,0.018,0.008,0.044,0.008,0.022,0.011,-0.023,-0.027,0.17,0.003,8.109,0.565,1.38,0.002,0.009,0.005
