ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.887,0.253,-0.398,0.016,-0.023,0.014
-0.893,0.244,-0.389,-0.032,-0.032,-0.002
-0.886,0.255,-0.394,-0.035,-0.02,-0.001
-0.893,0.252,-0.381,-0.019,-0.026,0.005
-0.889,0.255,-0.39,-0.006,-0.019,0.005
-0.897,0.255,-0.373,0.003,-0.007,0.009
-0.9,0.258,-0.366,-0.005,0.035,0.002
-0.89,0.267,-0.382,-0.016,0.044,-0.025
-0.889,0.26,-0.378,0.009,0.02,-0.01
-0.884,0.256,-0.39,-0.007,0.03,0.002
-0.885,0.255,-0.392,-0.064,0.017,-0.022
-0.892,0.258,-0.385,-0.079,0.025,-0.031
-0.881,0.257,-0.393,-0.055,0.018,0.026
-0.885,0.277,-0.385,-0.055,-0.011,0.034
-0.887,0.309,-0.364,-0.045,0.026,-0.032
-0.884,0.282,-0.379,0.022,0.02,-0.05
-0.885,0.259,-0.386,0.02,0.01,-0.006
-0.889,0.272,-0.38,-0.033,0.037,-0.044
-0.883,0.263,-0.393,0.051,0.032,-0.073
-0.887,0.242,-0.398,0.0,0.013,-0.017
-0.887,0.259,-0.391,-0.026,0.015,-0.006
-0.888,0.263,-0.382,-0.015,0.017,-0.004
-0.886,0.266,-0.388,-0.004,0.027,-0.004
-0.881,0.262,-0.392,-0.003,0.0,-0.002
-0.885,0.264,-0.385,-0.009,0.004,0.01
-0.886,0.266,-0.39,-0.026,0.003,-0.008
-0.884,0.274,-0.384,-0.024,0.003,-0.005
-0.887,0.273,-0.381,-0.012,0.002,-0.008
-0.887,0.27,-0.381,-0.021,0.013,-0.009
-0.887,0.273,-0.381,-0.021,0.017,-0.019
-0.884,0.273,-0.387,-0.011,0.039,-0.02
-0.884,0.275,-0.387,-0.024,0.014,-0.021
-0.885,0.274,-0.385,-0.01,0.029,-0.02
-0.882,0.268,-0.389,-0.003,0.017,-0.016
-0.882,0.266,-0.395,-0.02,0.01,-0.017
-0.886,0.263,-0.385,-0.06,0.025,0.0
-0.883,0.292,-0.382,-0.057,0.019,-0.004
-0.885,0.289,-0.378,0.0,0.008,-0.027
-0.878,0.275,-0.392,-0.007,0.017,-0.038
-0.884,0.27,-0.387,-0.02,0.007,-0.032
-0.887,0.269,-0.385,0.005,0.01,-0.012
-0.886,0.266,-0.384,0.005,0.008,0.005
-0.886,0.271,-0.387,-0.026,0.023,-0.007
-0.875,0.283,-0.394,-0.003,0.011,-0.009
-0.884,0.276,-0.385,0.006,-0.028,0.012
