g_x_mean,accl_y,g_y_mean,jerk_z,accl_x,ag_z_min,ag_y_min,g_z_mean,SMA_g,IQR_g_z,VAR_g_x,accl_z,MAD_g_x,ag_x_mean,ag_x_max,VAR_g_y,RMS_g_z,ag_y_max,IQR_g_y,ag_y_mean,STD_ag_x,RMS_ag_z,g_z_min,STD_g_y,ag_z_max,RMS_ag_y,ag_z_mean,STD_g_x,ag_x_min,th_z,VAR_ag_z,VAR_ag_x,g_y_min,STD_g_z,g_x_max,RMS_ag_x,MAD_g_y,MAD_g_z,IQR_g_x,STD_ag_z,IQR_ag_z,SVM_g,MAD_ag_z,RMS_g_y,RMS_g_x,VAR_g_z,g_z_max,th_y,MAD_ag_x,g_y_max,th_x,FFT_ag_z,FFT_g_y,FFT_g_z,FFT_ag_x,E_ag_y,FFT_g_x,STD_ag_y,IQR_ag_x,CM_a,g_x_min,MAD_ag_y,SVM_a,IQR_ag_y,E_ag_x,E_ag_z,SMA_a,E_g_y,FFT_ag_y,jerk_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.009,-0.0,0.0,0.0,-0.0,-0.398,0.244,-0.0,0.048,0.007,0.0,-0.0,0.013,-0.891,-0.884,0.001,0.01,0.267,0.05,0.256,0.005,0.384,-0.025,0.027,-0.366,0.256,-0.384,0.016,-0.9,1.965,0.0,0.0,-0.032,0.01,0.016,0.891,0.026,0.008,0.019,0.009,0.011,0.032,0.008,0.027,0.018,0.0,0.014,1.314,0.004,0.044,2.662,-0.046,-0.036,0.002,0.022,0.653,-0.007,0.006,0.006,0.444,-0.035,0.004,1.004,0.004,7.935,1.476,1.53,0.008,-0.014,-0.0,0.0,0.003,0.01,-0.0,0.001
-0.024,-0.0,0.019,0.0,-0.0,-0.398,0.242,-0.022,0.097,0.032,0.002,-0.0,0.038,-0.886,-0.881,0.0,0.038,0.309,0.012,0.267,0.003,0.386,-0.073,0.013,-0.364,0.268,-0.386,0.042,-0.892,1.966,0.0,0.0,-0.011,0.031,0.051,0.886,0.009,0.025,0.07,0.009,0.012,0.064,0.007,0.023,0.048,0.001,0.034,1.307,0.002,0.037,2.654,-0.046,0.006,0.008,-0.004,0.718,-0.104,0.018,0.003,0.448,-0.079,0.014,1.002,0.019,7.847,1.487,1.539,0.005,-0.091,0.0,0.0,0.023,0.03,-0.0,0.014
-0.016,0.0,0.01,0.0,-0.0,-0.392,0.259,-0.006,0.034,0.004,0.0,0.0,0.008,-0.886,-0.881,0.0,0.009,0.274,0.014,0.267,0.002,0.386,-0.019,0.008,-0.381,0.267,-0.386,0.008,-0.888,1.965,0.0,0.0,0.0,0.007,-0.003,0.886,0.008,0.004,0.014,0.004,0.008,0.026,0.004,0.013,0.018,0.0,0.01,1.302,0.001,0.027,2.655,0.005,0.046,-0.022,-0.007,0.713,-0.006,0.005,0.002,0.45,-0.026,0.004,1.002,0.009,7.846,1.486,1.538,0.002,-0.008,0.0,0.0,0.003,0.008,-0.0,0.001
-0.021,-0.0,0.018,-0.0,-0.0,-0.395,0.263,-0.02,0.059,0.009,0.0,-0.0,0.015,-0.883,-0.878,0.0,0.022,0.292,0.012,0.274,0.002,0.387,-0.038,0.01,-0.378,0.275,-0.387,0.02,-0.886,1.967,0.0,0.0,0.007,0.011,0.0,0.883,0.008,0.008,0.015,0.005,0.004,0.038,0.003,0.021,0.029,0.0,0.0,1.294,0.002,0.039,2.649,-0.003,0.014,-0.051,0.001,0.754,0.071,0.009,0.003,0.454,-0.06,0.007,1.002,0.007,7.802,1.496,1.544,0.004,-0.003,0.0,0.0,0.009,0.016,0.0,0.005
0.005,0.0,0.023,0.0,0.0,-0.398,0.257,-0.022,0.076,0.036,0.001,0.0,0.021,-0.883,-0.871,0.001,0.038,0.301,0.038,0.273,0.007,0.388,-0.091,0.029,-0.376,0.273,-0.388,0.029,-0.894,1.966,0.0,0.0,-0.028,0.031,0.071,0.883,0.023,0.026,0.023,0.006,0.007,0.033,0.005,0.036,0.03,0.001,0.012,1.298,0.005,0.067,2.651,-0.016,0.068,0.055,-0.015,0.748,-0.116,0.013,0.008,0.452,-0.035,0.011,1.002,0.017,7.796,1.502,1.544,0.013,-0.06,-0.0,0.0,0.009,0.013,-0.0,0.015
0.009,0.001,0.008,-0.0,0.0,-0.428,0.222,-0.032,0.113,0.027,0.003,-0.0,0.04,-0.881,-0.862,0.002,0.037,0.261,0.048,0.242,0.01,0.409,-0.066,0.046,-0.394,0.242,-0.409,0.053,-0.897,1.992,0.0,0.0,-0.074,0.019,0.071,0.881,0.036,0.016,0.034,0.011,0.018,0.074,0.009,0.046,0.054,0.0,-0.002,1.327,0.008,0.101,2.649,-0.005,0.131,0.03,0.013,0.588,-0.085,0.012,0.011,0.443,-0.099,0.01,1.002,0.015,7.768,1.676,1.533,0.022,0.035,-0.0,0.0,0.029,0.034,0.0,0.014
-0.03,-0.0,-0.014,0.0,0.0,-0.405,0.241,-0.02,0.067,0.018,0.0,-0.0,0.01,-0.89,-0.882,0.0,0.025,0.255,0.019,0.248,0.005,0.389,-0.043,0.012,-0.374,0.248,-0.389,0.015,-0.897,1.971,0.0,0.0,-0.028,0.014,-0.013,0.89,0.01,0.012,0.011,0.009,0.01,0.04,0.007,0.018,0.033,0.0,0.008,1.32,0.005,0.007,2.662,-0.008,0.002,0.035,0.001,0.617,-0.037,0.004,0.009,0.442,-0.07,0.003,1.002,0.004,7.918,1.516,1.527,0.003,-0.006,0.0,0.0,0.011,0.016,0.0,0.006
-0.017,0.0,0.016,0.0,0.0,-0.385,0.232,-0.028,0.063,0.005,0.0,0.0,0.004,-0.898,-0.891,0.0,0.029,0.245,0.012,0.24,0.003,0.376,-0.039,0.014,-0.369,0.24,-0.376,0.005,-0.902,1.955,0.0,0.0,-0.006,0.005,-0.007,0.898,0.01,0.004,0.008,0.005,0.006,0.038,0.004,0.022,0.018,0.0,-0.019,1.328,0.003,0.051,2.682,0.022,-0.073,0.026,-0.014,0.577,0.019,0.004,0.003,0.433,-0.023,0.004,1.002,0.007,8.062,1.416,1.514,0.005,-0.001,-0.0,0.0,0.003,0.02,-0.0,0.008
-0.012,0.0,0.02,0.0,0.0,-0.391,0.23,-0.019,0.051,0.008,0.0,0.0,0.003,-0.896,-0.888,0.0,0.02,0.24,0.012,0.236,0.004,0.383,-0.031,0.007,-0.37,0.236,-0.383,0.005,-0.902,1.964,0.0,0.0,0.011,0.006,-0.003,0.896,0.006,0.005,0.003,0.006,0.008,0.032,0.005,0.021,0.013,0.0,-0.012,1.334,0.004,0.033,2.677,0.013,0.042,0.033,-0.001,0.556,-0.026,0.003,0.004,0.432,-0.025,0.003,1.002,0.005,8.019,1.465,1.514,0.005,0.006,0.0,0.0,0.002,0.016,-0.0,0.004
-0.019,-0.0,0.007,-0.0,-0.0,-0.392,0.232,-0.016,0.05,0.008,0.0,-0.0,0.002,-0.893,-0.89,0.0,0.016,0.239,0.029,0.235,0.002,0.388,-0.021,0.016,-0.377,0.235,-0.388,0.002,-0.897,1.972,0.0,0.0,-0.019,0.005,-0.016,0.893,0.014,0.004,0.003,0.005,0.005,0.03,0.004,0.018,0.019,0.0,-0.008,1.335,0.002,0.028,2.67,0.008,0.01,-0.013,0.003,0.551,0.002,0.002,0.004,0.433,-0.023,0.002,1.002,0.002,7.978,1.509,1.516,0.003,0.01,0.0,0.0,0.004,0.016,0.0,0.003
