accl_x,ag_x_max,ag_x_mean,RMS_ag_x,ag_x_min,FFT_g_x,FFT_ag_y,FFT_g_z,E_ag_x,E_ag_z,th_x,SVM_a,FFT_ag_x,IQR_g_z,accl_z,th_z,FFT_g_y,accl_y,th_y,RMS_ag_y,ag_y_mean,ag_y_max,ag_y_min,CM_a,SMA_a,STD_g_y,VAR_g_y,ag_z_min,RMS_ag_z,g_x_max,ag_z_max,ag_z_mean,CM_g,MAD_g_y,VAR_g_x,VAR_ag_y,IQR_g_x,IQR_ag_x,IQR_g_y,g_z_max,MAD_g_z,VAR_ag_x,MAD_ag_y,g_y_max,g_z_mean,STD_ag_y,g_x_min,STD_g_z,STD_g_x,IQR_ag_y,VAR_g_z,g_x_mean,MAD_g_x,MAD_ag_x,E_ag_y,E_g_x,STD_ag_x,RMS_g_x,SVM_g,RMS_g_z,g_z_min,g_y_min,E_g_z,FFT_ag_z,RMS_g_y,SMA_g,IQR_ag_z,g_y_mean,STD_ag_z,MAD_ag_z,E_g_y,jerk_z,VAR_ag_z,jerk_x,jerk_y
-0.0,-0.884,-0.891,0.891,-0.9,-0.007,-0.014,0.002,7.935,1.476,2.662,1.004,0.022,0.007,-0.0,1.965,-0.036,-0.0,1.314,0.256,0.256,0.267,0.244,0.444,1.53,0.027,0.001,-0.398,0.384,0.016,-0.366,-0.384,0.01,0.026,0.0,0.0,0.019,0.006,0.05,0.014,0.008,0.0,0.004,0.044,-0.0,0.006,-0.035,0.01,0.016,0.004,0.0,-0.009,0.013,0.004,0.653,0.003,0.005,0.018,0.032,0.01,-0.025,-0.032,0.001,-0.046,0.027,0.048,0.011,0.0,0.009,0.008,0.008,0.0,0.0,-0.0,-0.0
-0.0,-0.881,-0.886,0.886,-0.892,-0.104,-0.091,0.008,7.847,1.487,2.654,1.002,-0.004,0.032,-0.0,1.966,0.006,-0.0,1.307,0.268,0.267,0.309,0.242,0.448,1.539,0.013,0.0,-0.398,0.386,0.051,-0.364,-0.386,0.03,0.009,0.002,0.0,0.07,0.003,0.012,0.034,0.025,0.0,0.014,0.037,-0.022,0.018,-0.079,0.031,0.042,0.019,0.001,-0.024,0.038,0.002,0.718,0.023,0.003,0.048,0.064,0.038,-0.073,-0.011,0.014,-0.046,0.023,0.097,0.012,0.019,0.009,0.007,0.005,0.0,0.0,-0.0,0.0
-0.0,-0.881,-0.886,0.886,-0.888,-0.006,-0.008,-0.022,7.846,1.486,2.655,1.002,-0.007,0.004,0.0,1.965,0.046,0.0,1.302,0.267,0.267,0.274,0.259,0.45,1.538,0.008,0.0,-0.392,0.386,-0.003,-0.381,-0.386,0.008,0.008,0.0,0.0,0.014,0.002,0.014,0.01,0.004,0.0,0.004,0.027,-0.006,0.005,-0.026,0.007,0.008,0.009,0.0,-0.016,0.008,0.001,0.713,0.003,0.002,0.018,0.026,0.009,-0.019,0.0,0.001,0.005,0.013,0.034,0.008,0.01,0.004,0.004,0.002,0.0,0.0,-0.0,0.0
-0.0,-0.878,-0.883,0.883,-0.886,0.071,-0.003,-0.051,7.802,1.496,2.649,1.002,0.001,0.009,-0.0,1.967,0.014,-0.0,1.294,0.275,0.274,0.292,0.263,0.454,1.544,0.01,0.0,-0.395,0.387,0.0,-0.378,-0.387,0.016,0.008,0.0,0.0,0.015,0.003,0.012,0.0,0.008,0.0,0.007,0.039,-0.02,0.009,-0.06,0.011,0.02,0.007,0.0,-0.021,0.015,0.002,0.754,0.009,0.002,0.029,0.038,0.022,-0.038,0.007,0.005,-0.003,0.021,0.059,0.004,0.018,0.005,0.003,0.004,-0.0,0.0,0.0,0.0
0.0,-0.871,-0.883,0.883,-0.894,-0.116,-0.06,0.055,7.796,1.502,2.651,1.002,-0.015,0.036,0.0,1.966,0.068,0.0,1.298,0.273,0.273,0.301,0.257,0.452,1.544,0.029,0.001,-0.398,0.388,0.071,-0.376,-0.388,0.013,0.023,0.001,0.0,0.023,0.008,0.038,0.012,0.026,0.0,0.011,0.067,-0.022,0.013,-0.035,0.031,0.029,0.017,0.001,0.005,0.021,0.005,0.748,0.009,0.007,0.03,0.033,0.038,-0.091,-0.028,0.015,-0.016,0.036,0.076,0.007,0.023,0.006,0.005,0.013,0.0,0.0,-0.0,-0.0
0.0,-0.862,-0.881,0.881,-0.897,-0.085,0.035,0.03,7.768,1.676,2.649,1.002,0.013,0.027,-0.0,1.992,0.131,0.001,1.327,0.242,0.242,0.261,0.222,0.443,1.533,0.046,0.002,-0.428,0.409,0.071,-0.394,-0.409,0.034,0.036,0.003,0.0,0.034,0.011,0.048,-0.002,0.016,0.0,0.01,0.101,-0.032,0.012,-0.099,0.019,0.053,0.015,0.0,0.009,0.04,0.008,0.588,0.029,0.01,0.054,0.074,0.037,-0.066,-0.074,0.014,-0.005,0.046,0.113,0.018,0.008,0.011,0.009,0.022,-0.0,0.0,0.0,-0.0
0.0,-0.882,-0.89,0.89,-0.897,-0.037,-0.006,0.035,7.918,1.516,2.662,1.002,0.001,0.018,-0.0,1.971,0.002,-0.0,1.32,0.248,0.248,0.255,0.241,0.442,1.527,0.012,0.0,-0.405,0.389,-0.013,-0.374,-0.389,0.016,0.01,0.0,0.0,0.011,0.009,0.019,0.008,0.012,0.0,0.003,0.007,-0.02,0.004,-0.07,0.014,0.015,0.004,0.0,-0.03,0.01,0.005,0.617,0.011,0.005,0.033,0.04,0.025,-0.043,-0.028,0.006,-0.008,0.018,0.067,0.01,-0.014,0.009,0.007,0.003,0.0,0.0,0.0,0.0
0.0,-0.891,-0.898,0.898,-0.902,0.019,-0.001,0.026,8.062,1.416,2.682,1.002,-0.014,0.005,0.0,1.955,-0.073,0.0,1.328,0.24,0.24,0.245,0.232,0.433,1.514,0.014,0.0,-0.385,0.376,-0.007,-0.369,-0.376,0.02,0.01,0.0,0.0,0.008,0.003,0.012,-0.019,0.004,0.0,0.004,0.051,-0.028,0.004,-0.023,0.005,0.005,0.007,0.0,-0.017,0.004,0.003,0.577,0.003,0.003,0.018,0.038,0.029,-0.039,-0.006,0.008,0.022,0.022,0.063,0.006,0.016,0.005,0.004,0.005,0.0,0.0,-0.0,-0.0
0.0,-0.888,-0.896,0.896,-0.902,-0.026,0.006,0.033,8.019,1.465,2.677,1.002,-0.001,0.008,0.0,1.964,0.042,0.0,1.334,0.236,0.236,0.24,0.23,0.432,1.514,0.007,0.0,-0.391,0.383,-0.003,-0.37,-0.383,0.016,0.006,0.0,0.0,0.003,0.004,0.012,-0.012,0.005,0.0,0.003,0.033,-0.019,0.003,-0.025,0.006,0.005,0.005,0.0,-0.012,0.003,0.004,0.556,0.002,0.004,0.013,0.032,0.02,-0.031,0.011,0.004,0.013,0.021,0.051,0.008,0.02,0.006,0.005,0.005,0.0,0.0,-0.0,0.0
-0.0,-0.89,-0.893,0.893,-0.897,0.002,0.01,-0.013,7.978,1.509,2.67,1.002,0.003,0.008,-0.0,1.972,0.01,-0.0,1.335,0.235,0.235,0.239,0.232,0.433,1.516,0.016,0.0,-0.392,0.388,-0.016,-0.377,-0.388,0.016,0.014,0.0,0.0,0.003,0.004,0.029,-0.008,0.004,0.0,0.002,0.028,-0.016,0.002,-0.023,0.005,0.002,0.002,0.0,-0.019,0.002,0.002,0.551,0.004,0.002,0.019,0.03,0.016,-0.021,-0.019,0.003,0.008,0.018,0.05,0.005,0.007,0.005,0.004,0.003,-0.0,0.0,0.0,0.0
0.0,-0.893,-0.901,0.901,-0.909,-0.027,0.011,0.003,8.109,1.38,2.686,1.003,0.022,0.008,-0.0,1.953,0.17,0.0,1.332,0.238,0.238,0.243,0.233,0.43,1.509,0.028,0.001,-0.386,0.371,-0.009,-0.357,-0.371,0.018,0.025,0.0,0.0,0.008,0.011,0.044,-0.011,0.004,0.0,0.003,0.034,-0.021,0.003,-0.028,0.005,0.006,0.005,0.0,-0.014,0.005,0.005,0.565,0.002,0.006,0.015,0.04,0.022,-0.029,-0.06,0.005,-0.023,0.03,0.059,0.018,-0.008,0.01,0.009,0.009,-0.0,0.0,0.0,0.0
0.0,-0.902,-0.908,0.908,-0.917,-0.024,0.015,0.012,8.239,1.285,2.704,1.003,0.016,0.015,-0.0,1.937,0.004,0.0,1.339,0.231,0.231,0.238,0.225,0.422,1.497,0.009,0.0,-0.365,0.359,-0.004,-0.35,-0.358,0.016,0.008,0.0,0.0,0.014,0.004,0.014,-0.003,0.009,0.0,0.003,0.026,-0.023,0.004,-0.027,0.011,0.008,0.005,0.0,-0.016,0.007,0.003,0.532,0.003,0.004,0.018,0.036,0.025,-0.039,-0.002,0.006,-0.027,0.017,0.054,0.008,0.014,0.005,0.004,0.003,0.0,0.0,-0.0,0.0
