jerk_z,ag_y_mean,ag_y_max,g_z_min,ag_z_max,RMS_ag_y,ag_z_mean,accl_z,g_y_min,g_x_max,SMA_g,ag_x_max,VAR_ag_z,RMS_g_y,STD_g_x,MAD_g_y,g_z_max,MAD_g_z,accl_y,g_y_max,ag_x_mean,STD_g_z,accl_x,IQR_g_y,IQR_g_z,g_x_mean,VAR_g_z,ag_y_min,VAR_g_x,STD_ag_z,th_z,MAD_g_x,RMS_ag_x,g_z_mean,IQR_ag_z,IQR_g_x,g_y_mean,ag_x_min,SVM_g,STD_ag_x,ag_z_min,RMS_g_z,VAR_g_y,STD_g_y,MAD_ag_z,RMS_ag_z,VAR_ag_x,th_y,FFT_ag_z,th_x,FFT_g_y,FFT_g_z,MAD_ag_x,E_ag_y,FFT_ag_x,FFT_g_x,IQR_ag_x,MAD_ag_y,CM_a,g_x_min,RMS_g_x,IQR_ag_y,SVM_a,STD_ag_y,E_ag_x,jerk_y,E_ag_z,SMA_a,E_g_y,FFT_ag_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
0.0,0.256,0.267,-0.025,-0.366,0.256,-0.384,-0.0,-0.032,0.016,0.048,-0.884,0.0,0.027,0.016,0.026,0.014,0.008,-0.0,0.044,-0.891,0.01,-0.0,0.05,0.007,-0.009,0.0,0.244,0.0,0.009,1.965,0.013,0.891,-0.0,0.011,0.019,0.0,-0.9,0.032,0.005,-0.398,0.01,0.001,0.027,0.008,0.384,0.0,1.314,-0.046,2.662,-0.036,0.002,0.004,0.653,0.022,-0.007,0.006,0.004,0.444,-0.035,0.018,0.004,1.004,0.006,7.935,-0.0,1.476,1.53,0.008,-0.014,0.0,0.003,0.01,-0.0,0.001
0.0,0.267,0.309,-0.073,-0.364,0.268,-0.386,-0.0,-0.011,0.051,0.097,-0.881,0.0,0.023,0.042,0.009,0.034,0.025,-0.0,0.037,-0.886,0.031,-0.0,0.012,0.032,-0.024,0.001,0.242,0.002,0.009,1.966,0.038,0.886,-0.022,0.012,0.07,0.019,-0.892,0.064,0.003,-0.398,0.038,0.0,0.013,0.007,0.386,0.0,1.307,-0.046,2.654,0.006,0.008,0.002,0.718,-0.004,-0.104,0.003,0.014,0.448,-0.079,0.048,0.019,1.002,0.018,7.847,0.0,1.487,1.539,0.005,-0.091,0.0,0.023,0.03,-0.0,0.014
0.0,0.267,0.274,-0.019,-0.381,0.267,-0.386,0.0,0.0,-0.003,0.034,-0.881,0.0,0.013,0.008,0.008,0.01,0.004,0.0,0.027,-0.886,0.007,-0.0,0.014,0.004,-0.016,0.0,0.259,0.0,0.004,1.965,0.008,0.886,-0.006,0.008,0.014,0.01,-0.888,0.026,0.002,-0.392,0.009,0.0,0.008,0.004,0.386,0.0,1.302,0.005,2.655,0.046,-0.022,0.001,0.713,-0.007,-0.006,0.002,0.004,0.45,-0.026,0.018,0.009,1.002,0.005,7.846,0.0,1.486,1.538,0.002,-0.008,0.0,0.003,0.008,-0.0,0.001
-0.0,0.274,0.292,-0.038,-0.378,0.275,-0.387,-0.0,0.007,0.0,0.059,-0.878,0.0,0.021,0.02,0.008,0.0,0.008,-0.0,0.039,-0.883,0.011,-0.0,0.012,0.009,-0.021,0.0,0.263,0.0,0.005,1.967,0.015,0.883,-0.02,0.004,0.015,0.018,-0.886,0.038,0.002,-0.395,0.022,0.0,0.01,0.003,0.387,0.0,1.294,-0.003,2.649,0.014,-0.051,0.002,0.754,0.001,0.071,0.003,0.007,0.454,-0.06,0.029,0.007,1.002,0.009,7.802,0.0,1.496,1.544,0.004,-0.003,0.0,0.009,0.016,0.0,0.005
0.0,0.273,0.301,-0.091,-0.376,0.273,-0.388,0.0,-0.028,0.071,0.076,-0.871,0.0,0.036,0.029,0.023,0.012,0.026,0.0,0.067,-0.883,0.031,0.0,0.038,0.036,0.005,0.001,0.257,0.001,0.006,1.966,0.021,0.883,-0.022,0.007,0.023,0.023,-0.894,0.033,0.007,-0.398,0.038,0.001,0.029,0.005,0.388,0.0,1.298,-0.016,2.651,0.068,0.055,0.005,0.748,-0.015,-0.116,0.008,0.011,0.452,-0.035,0.03,0.017,1.002,0.013,7.796,-0.0,1.502,1.544,0.013,-0.06,0.0,0.009,0.013,-0.0,0.015
-0.0,0.242,0.261,-0.066,-0.394,0.242,-0.409,-0.0,-0.074,0.071,0.113,-0.862,0.0,0.046,0.053,0.036,-0.002,0.016,0.001,0.101,-0.881,0.019,0.0,0.048,0.027,0.009,0.0,0.222,0.003,0.011,1.992,0.04,0.881,-0.032,0.018,0.034,0.008,-0.897,0.074,0.01,-0.428,0.037,0.002,0.046,0.009,0.409,0.0,1.327,-0.005,2.649,0.131,0.03,0.008,0.588,0.013,-0.085,0.011,0.01,0.443,-0.099,0.054,0.015,1.002,0.012,7.768,-0.0,1.676,1.533,0.022,0.035,0.0,0.029,0.034,0.0,0.014
0.0,0.248,0.255,-0.043,-0.374,0.248,-0.389,-0.0,-0.028,-0.013,0.067,-0.882,0.0,0.018,0.015,0.01,0.008,0.012,-0.0,0.007,-0.89,0.014,0.0,0.019,0.018,-0.03,0.0,0.241,0.0,0.009,1.971,0.01,0.89,-0.02,0.01,0.011,-0.014,-0.897,0.04,0.005,-0.405,0.025,0.0,0.012,0.007,0.389,0.0,1.32,-0.008,2.662,0.002,0.035,0.005,0.617,0.001,-0.037,0.009,0.003,0.442,-0.07,0.033,0.004,1.002,0.004,7.918,0.0,1.516,1.527,0.003,-0.006,0.0,0.011,0.016,0.0,0.006
0.0,0.24,0.245,-0.039,-0.369,0.24,-0.376,0.0,-0.006,-0.007,0.063,-0.891,0.0,0.022,0.005,0.01,-0.019,0.004,0.0,0.051,-0.898,0.005,0.0,0.012,0.005,-0.017,0.0,0.232,0.0,0.005,1.955,0.004,0.898,-0.028,0.006,0.008,0.016,-0.902,0.038,0.003,-0.385,0.029,0.0,0.014,0.004,0.376,0.0,1.328,0.022,2.682,-0.073,0.026,0.003,0.577,-0.014,0.019,0.003,0.004,0.433,-0.023,0.018,0.007,1.002,0.004,8.062,-0.0,1.416,1.514,0.005,-0.001,0.0,0.003,0.02,-0.0,0.008
0.0,0.236,0.24,-0.031,-0.37,0.236,-0.383,0.0,0.011,-0.003,0.051,-0.888,0.0,0.021,0.005,0.006,-0.012,0.005,0.0,0.033,-0.896,0.006,0.0,0.012,0.008,-0.012,0.0,0.23,0.0,0.006,1.964,0.003,0.896,-0.019,0.008,0.003,0.02,-0.902,0.032,0.004,-0.391,0.02,0.0,0.007,0.005,0.383,0.0,1.334,0.013,2.677,0.042,0.033,0.004,0.556,-0.001,-0.026,0.004,0.003,0.432,-0.025,0.013,0.005,1.002,0.003,8.019,0.0,1.465,1.514,0.005,0.006,0.0,0.002,0.016,-0.0,0.004
-0.0,0.235,0.239,-0.021,-0.377,0.235,-0.388,-0.0,-0.019,-0.016,0.05,-0.89,0.0,0.018,0.002,0.014,-0.008,0.004,-0.0,0.028,-0.893,0.005,-0.0,0.029,0.008,-0.019,0.0,0.232,0.0,0.005,1.972,0.002,0.893,-0.016,0.005,0.003,0.007,-0.897,0.03,0.002,-0.392,0.016,0.0,0.016,0.004,0.388,0.0,1.335,0.008,2.67,0.01,-0.013,0.002,0.551,0.003,0.002,0.004,0.002,0.433,-0.023,0.019,0.002,1.002,0.002,7.978,0.0,1.509,1.516,0.003,0.01,0.0,0.004,0.016,0.0,0.003
-0.0,0.238,0.243,-0.029,-0.357,0.238,-0.371,-0.0,-0.06,-0.009,0.059,-0.893,0.0,0.03,0.006,0.025,-0.011,0.004,0.0,0.034,-0.901,0.005,0.0,0.044,0.008,-0.014,0.0,0.233,0.0,0.01,1.953,0.005,0.901,-0.021,0.018,0.008,-0.008,-0.909,0.04,0.006,-0.386,0.022,0.001,0.028,0.009,0.371,0.0,1.332,-0.023,2.686,0.17,0.003,0.005,0.565,0.022,-0.027,0.011,0.003,0.43,-0.028,0.015,0.005,1.003,0.003,8.109,0.0,1.38,1.509,0.009,0.011,0.0,0.002,0.018,0.0,0.005
0.0,0.231,0.238,-0.039,-0.35,0.231,-0.358,-0.0,-0.002,-0.004,0.054,-0.902,0.0,0.017,0.008,0.008,-0.003,0.009,0.0,0.026,-0.908,0.011,0.0,0.014,0.015,-0.016,0.0,0.225,0.0,0.005,1.937,0.007,0.908,-0.023,0.008,0.014,0.014,-0.917,0.036,0.004,-0.365,0.025,0.0,0.009,0.004,0.359,0.0,1.339,-0.027,2.704,0.004,0.012,0.003,0.532,0.016,-0.024,0.004,0.003,0.422,-0.027,0.018,0.005,1.003,0.004,8.239,0.0,1.285,1.497,0.003,0.015,0.0,0.003,0.016,-0.0,0.006
-0.0,0.228,0.235,-0.037,-0.352,0.228,-0.366,-0.0,0.009,0.005,0.063,-0.897,0.0,0.029,0.011,0.009,-0.013,0.009,-0.0,0.039,-0.904,0.009,-0.0,0.02,0.019,-0.012,0.0,0.225,0.0,0.007,1.946,0.01,0.905,-0.024,0.011,0.018,0.027,-0.911,0.041,0.004,-0.375,0.025,0.0,0.011,0.006,0.366,0.0,1.342,0.008,2.696,-0.024,0.034,0.003,0.52,0.0,0.044,0.004,0.002,0.423,-0.029,0.016,0.004,1.002,0.003,8.181,0.0,1.337,1.498,0.008,0.007,0.0,0.003,0.018,0.0,0.006
