RMS_ag_x,ag_x_mean,ag_x_min,ag_x_max,E_ag_x,accl_x,E_ag_z,th_x,SVM_a,FFT_ag_y,accl_y,E_ag_y,IQR_g_x,VAR_g_x,FFT_g_x,FFT_g_y,th_z,th_y,STD_g_x,MAD_g_x,ag_y_max,RMS_ag_y,ag_y_mean,RMS_ag_z,FFT_ag_x,ag_z_max,ag_z_mean,ag_z_min,ag_y_min,VAR_ag_x,accl_z,VAR_g_z,IQR_g_z,STD_g_y,STD_ag_x,E_g_z,CM_g,MAD_ag_x,RMS_g_z,g_x_max,IQR_ag_x,MAD_g_y,SMA_a,VAR_ag_y,RMS_g_x,VAR_g_y,g_z_mean,IQR_g_y,E_g_x,g_x_min,MAD_g_z,g_z_max,STD_g_z,STD_ag_y,CM_a,MAD_ag_y,g_x_mean,g_z_min,SVM_g,FFT_g_z,IQR_ag_y,g_y_max,SMA_g,FFT_ag_z,RMS_g_y,g_y_min,STD_ag_z,IQR_ag_z,MAD_ag_z,g_y_mean,E_g_y,VAR_ag_z,jerk_x,jerk_y,jerk_z
0.891,-0.891,-0.9,-0.884,7.935,-0.0,1.476,2.662,1.004,-0.014,-0.0,0.653,0.019,0.0,-0.007,-0.036,1.965,1.314,0.016,0.013,0.267,0.256,0.256,0.384,0.022,-0.366,-0.384,-0.398,0.244,0.0,-0.0,0.0,0.007,0.027,0.005,0.001,0.01,0.004,0.01,0.016,0.006,0.026,1.53,0.0,0.018,0.001,-0.0,0.05,0.003,-0.035,0.008,0.014,0.01,0.006,0.444,0.004,-0.009,-0.025,0.032,0.002,0.004,0.044,0.048,-0.046,0.027,-0.032,0.009,0.011,0.008,0.0,0.008,0.0,-0.0,-0.0,0.0
0.886,-0.886,-0.892,-0.881,7.847,-0.0,1.487,2.654,1.002,-0.091,-0.0,0.718,0.07,0.002,-0.104,0.006,1.966,1.307,0.042,0.038,0.309,0.268,0.267,0.386,-0.004,-0.364,-0.386,-0.398,0.242,0.0,-0.0,0.001,0.032,0.013,0.003,0.014,0.03,0.002,0.038,0.051,0.003,0.009,1.539,0.0,0.048,0.0,-0.022,0.012,0.023,-0.079,0.025,0.034,0.031,0.018,0.448,0.014,-0.024,-0.073,0.064,0.008,0.019,0.037,0.097,-0.046,0.023,-0.011,0.009,0.012,0.007,0.019,0.005,0.0,-0.0,0.0,0.0
0.886,-0.886,-0.888,-0.881,7.846,-0.0,1.486,2.655,1.002,-0.008,0.0,0.713,0.014,0.0,-0.006,0.046,1.965,1.302,0.008,0.008,0.274,0.267,0.267,0.386,-0.007,-0.381,-0.386,-0.392,0.259,0.0,0.0,0.0,0.004,0.008,0.002,0.001,0.008,0.001,0.009,-0.003,0.002,0.008,1.538,0.0,0.018,0.0,-0.006,0.014,0.003,-0.026,0.004,0.01,0.007,0.005,0.45,0.004,-0.016,-0.019,0.026,-0.022,0.009,0.027,0.034,0.005,0.013,0.0,0.004,0.008,0.004,0.01,0.002,0.0,-0.0,0.0,0.0
0.883,-0.883,-0.886,-0.878,7.802,-0.0,1.496,2.649,1.002,-0.003,-0.0,0.754,0.015,0.0,0.071,0.014,1.967,1.294,0.02,0.015,0.292,0.275,0.274,0.387,0.001,-0.378,-0.387,-0.395,0.263,0.0,-0.0,0.0,0.009,0.01,0.002,0.005,0.016,0.002,0.022,0.0,0.003,0.008,1.544,0.0,0.029,0.0,-0.02,0.012,0.009,-0.06,0.008,0.0,0.011,0.009,0.454,0.007,-0.021,-0.038,0.038,-0.051,0.007,0.039,0.059,-0.003,0.021,0.007,0.005,0.004,0.003,0.018,0.004,0.0,0.0,0.0,-0.0
0.883,-0.883,-0.894,-0.871,7.796,0.0,1.502,2.651,1.002,-0.06,0.0,0.748,0.023,0.001,-0.116,0.068,1.966,1.298,0.029,0.021,0.301,0.273,0.273,0.388,-0.015,-0.376,-0.388,-0.398,0.257,0.0,0.0,0.001,0.036,0.029,0.007,0.015,0.013,0.005,0.038,0.071,0.008,0.023,1.544,0.0,0.03,0.001,-0.022,0.038,0.009,-0.035,0.026,0.012,0.031,0.013,0.452,0.011,0.005,-0.091,0.033,0.055,0.017,0.067,0.076,-0.016,0.036,-0.028,0.006,0.007,0.005,0.023,0.013,0.0,-0.0,-0.0,0.0
0.881,-0.881,-0.897,-0.862,7.768,0.0,1.676,2.649,1.002,0.035,0.001,0.588,0.034,0.003,-0.085,0.131,1.992,1.327,0.053,0.04,0.261,0.242,0.242,0.409,0.013,-0.394,-0.409,-0.428,0.222,0.0,-0.0,0.0,0.027,0.046,0.01,0.014,0.034,0.008,0.037,0.071,0.011,0.036,1.533,0.0,0.054,0.002,-0.032,0.048,0.029,-0.099,0.016,-0.002,0.019,0.012,0.443,0.01,0.009,-0.066,0.074,0.03,0.015,0.101,0.113,-0.005,0.046,-0.074,0.011,0.018,0.009,0.008,0.022,0.0,0.0,-0.0,-0.0
0.89,-0.89,-0.897,-0.882,7.918,0.0,1.516,2.662,1.002,-0.006,-0.0,0.617,0.011,0.0,-0.037,0.002,1.971,1.32,0.015,0.01,0.255,0.248,0.248,0.389,0.001,-0.374,-0.389,-0.405,0.241,0.0,-0.0,0.0,0.018,0.012,0.005,0.006,0.016,0.005,0.025,-0.013,0.009,0.01,1.527,0.0,0.033,0.0,-0.02,0.019,0.011,-0.07,0.012,0.008,0.014,0.004,0.442,0.003,-0.03,-0.043,0.04,0.035,0.004,0.007,0.067,-0.008,0.018,-0.028,0.009,0.01,0.007,-0.014,0.003,0.0,0.0,0.0,0.0
0.898,-0.898,-0.902,-0.891,8.062,0.0,1.416,2.682,1.002,-0.001,0.0,0.577,0.008,0.0,0.019,-0.073,1.955,1.328,0.005,0.004,0.245,0.24,0.24,0.376,-0.014,-0.369,-0.376,-0.385,0.232,0.0,0.0,0.0,0.005,0.014,0.003,0.008,0.02,0.003,0.029,-0.007,0.003,0.01,1.514,0.0,0.018,0.0,-0.028,0.012,0.003,-0.023,0.004,-0.019,0.005,0.004,0.433,0.004,-0.017,-0.039,0.038,0.026,0.007,0.051,0.063,0.022,0.022,-0.006,0.005,0.006,0.004,0.016,0.005,0.0,-0.0,-0.0,0.0
0.896,-0.896,-0.902,-0.888,8.019,0.0,1.465,2.677,1.002,0.006,0.0,0.556,0.003,0.0,-0.026,0.042,1.964,1.334,0.005,0.003,0.24,0.236,0.236,0.383,-0.001,-0.37,-0.383,-0.391,0.23,0.0,0.0,0.0,0.008,0.007,0.004,0.004,0.016,0.004,0.02,-0.003,0.004,0.006,1.514,0.0,0.013,0.0,-0.019,0.012,0.002,-0.025,0.005,-0.012,0.006,0.003,0.432,0.003,-0.012,-0.031,0.032,0.033,0.005,0.033,0.051,0.013,0.021,0.011,0.006,0.008,0.005,0.02,0.005,0.0,-0.0,0.0,0.0
0.893,-0.893,-0.897,-0.89,7.978,-0.0,1.509,2.67,1.002,0.01,-0.0,0.551,0.003,0.0,0.002,0.01,1.972,1.335,0.002,0.002,0.239,0.235,0.235,0.388,0.003,-0.377,-0.388,-0.392,0.232,0.0,-0.0,0.0,0.008,0.016,0.002,0.003,0.016,0.002,0.016,-0.016,0.004,0.014,1.516,0.0,0.019,0.0,-0.016,0.029,0.004,-0.023,0.004,-0.008,0.005,0.002,0.433,0.002,-0.019,-0.021,0.03,-0.013,0.002,0.028,0.05,0.008,0.018,-0.019,0.005,0.005,0.004,0.007,0.003,0.0,0.0,0.0,-0.0
